"India/State/ UT",Enrolment – All Types of Management,,,,,,,,,,,
"",Pre-Primary,Primary (1 to 5),Upper Primary (6-8),Elementary (1-8),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,5703209,4942317,10645526,63529651,58491640,122021291,33965154,31889045,65854199,97494805,90380685,187875490
Andaman and Nicobar Islands,3525,3353,6878,14028,13392,27420,9031,8928,17959,23059,22320,45379
Andhra Pradesh,107157,95181,202338,1995805,1806538,3802343,1121378,1035910,2157288,3117183,2842448,5959631
Arunachal Pradesh,10444,9584,20028,85160,83936,169096,41267,44320,85587,126427,128256,254683
Assam,238439,221831,460270,1873589,1832649,3706238,941722,1011924,1953646,2815311,2844573,5659884
Bihar,289413,198059,487472,7087578,6640705,13728283,3475667,3552349,7028016,10563245,10193054,20756299
Chandigarh,11779,10676,22455,48303,42909,91212,34199,29625,63824,82502,72534,155036
Chhattisgarh,139981,124338,264319,1360383,1296333,2656716,745791,727096,1472887,2106174,2023429,4129603
"Daman and Diu andDadra and Nagar Haveli",2906,2466,5372,30620,27759,58379,18086,16353,34439,48706,44112,92818
Delhi,128048,120292,248340,925377,823755,1749132,612766,540492,1153258,1538143,1364247,2902390
Goa,10715,9801,20516,62280,58499,120779,37097,34680,71777,99377,93179,192556
Gujarat,103948,83899,187847,2847754,2534675,5382429,1636748,1445579,3082327,4484502,3980254,8464756
Haryana,115650,90837,206487,1367212,1131360,2498572,794337,648976,1443313,2161549,1780336,3941885
Himachal Pradesh,49681,44093,93774,290534,264666,555200,177686,162206,339892,468220,426872,895092
Jammu and Kashmir,155079,139510,294589,568559,522456,1091015,301755,275000,576755,870314,797456,1667770
Jharkhand,197076,154908,351984,1969395,1834184,3803579,1023517,1031686,2055203,2992912,2865870,5858782
Karnataka,148714,129597,278311,2758532,2557571,5316103,1622911,1535279,3158190,4381443,4092850,8474293
Kerala,282674,273318,555992,1257560,1202998,2460558,761333,729084,1490417,2018893,1932082,3950975
Ladakh,5551,5093,10644,11693,11289,22982,5923,6155,12078,17616,17444,35060
Lakshadweep,547,536,1083,2707,2587,5294,1302,1155,2457,4009,3742,7751
Madhya Pradesh,430147,355976,786123,3883132,3574207,7457339,2228271,2046802,4275073,6111403,5621009,11732412
Maharashtra,317166,279766,596932,5030291,4514119,9544410,3107096,2739490,5846586,8137387,7253609,15390996
Manipur,34214,32076,66290,169006,161823,330829,78642,77141,155783,247648,238964,486612
Meghalaya,112085,108145,220230,273092,268417,541509,114362,128055,242417,387454,396472,783926
Mizoram,17430,16838,34268,69079,64969,134048,35362,34158,69520,104441,99127,203568
Nagaland,41872,39738,81610,92336,88836,181172,49065,49404,98469,141401,138240,279641
Odisha,83030,69060,152090,1834628,1715165,3549793,1107699,1034862,2142561,2942327,2750027,5692354
Puducherry,11987,11108,23095,52485,48723,101208,32513,30440,62953,84998,79163,164161
Punjab,395693,343534,739227,1271177,1078840,2350017,793511,662673,1456184,2064688,1741513,3806201
Rajasthan,421300,331511,752811,4402364,3917474,8319838,2264719,1962198,4226917,6667083,5879672,12546755
Sikkim,9927,9028,18955,24993,22312,47305,15780,15487,31267,40773,37799,78572
Tamil Nadu,473190,425818,899008,2672562,2488995,5161557,1601099,1509666,3110765,4273661,3998661,8272322
Telangana,127166,106283,233449,1581978,1449369,3031347,928336,866417,1794753,2510314,2315786,4826100
Tripura,15310,13164,28474,161299,157158,318457,92938,91326,184264,254237,248484,502721
Uttar Pradesh,230384,180755,411139,12527017,11599200,24126217,5732984,5391750,11124734,18260001,16990950,35250951
Uttarakhand,50739,41250,91989,559003,490608,1049611,313092,281109,594201,872095,771717,1643812
West Bengal,930242,860895,1791137,4368140,4163164,8531304,2107169,2131270,4238439,6475309,6294434,12769743
