"India/State/ UT",Age-Specific Enrolment Rat (ASER),,,,,,,,,,,,,,
"",Age 6-10 years,Age 11-13 years,Age 6-13 years,Age 14-15 years,Age 16-17 years,,,,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,97.4,99.9,98.6,91.4,91.9,91.6,95.2,96.9,96.0,73.3,73.4,73.4,45.7,47.1,46.3
Andaman and Nicobar Islands,68.8,73.4,71.0,69.5,72.3,70.9,69.1,72.9,70.9,64.7,72.3,68.2,47.9,56.0,51.7
Andhra Pradesh,84.6,82.4,83.6,96.4,92.9,94.7,89.1,86.5,87.8,84.9,83.5,84.2,51.8,55.0,53.4
Arunachal Pradesh,100.0,100.0,100.0,80.4,85.9,83.1,94.5,98.9,96.7,67.7,75.2,71.4,41.2,46.0,43.6
Assam,100.0,100.0,100.0,87.4,95.6,91.4,100.0,100.0,100.0,64.8,76.6,70.6,31.1,34.8,32.9
Bihar,95.7,98.0,96.8,88.7,93.6,91.1,93.1,96.3,94.7,52.9,56.4,54.6,22.8,23.9,23.4
Chandigarh,72.9,82.6,77.2,89.5,100.0,94.3,79.2,89.3,83.7,83.6,94.7,88.3,66.3,79.2,71.7
Chhattisgarh,92.6,92.9,92.7,85.7,86.2,86.0,90.1,90.5,90.3,78.4,83.6,80.9,55.5,64.5,59.9
"Daman and Diu andDadra and Nagar Haveli",76.8,82.3,79.3,90.4,94.1,92.1,81.8,86.7,84.0,75.1,89.4,81.4,40.3,59.9,47.9
Delhi,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,69.3,78.0,73.2
Goa,88.8,92.9,90.7,86.8,89.8,88.2,88.0,91.7,89.8,84.5,87.9,86.1,58.9,64.1,61.4
Gujarat,88.0,92.3,90.0,85.3,85.2,85.2,87.0,89.6,88.2,73.2,67.3,70.4,41.0,39.6,40.4
Haryana,91.8,92.6,92.2,98.8,98.0,98.4,94.4,94.6,94.5,88.3,85.4,87.0,55.2,52.7,54.1
Himachal Pradesh,100.0,100.0,100.0,95.7,97.7,96.9,99.9,100.0,100.0,92.2,93.0,92.6,65.6,67.6,66.5
Jammu and Kashmir,92.5,94.5,93.5,60.8,64.1,62.3,78.2,81.2,79.6,50.5,50.7,50.6,37.2,36.6,37.0
Jharkhand,96.5,97.3,96.8,85.6,87.8,86.7,92.3,93.5,92.9,58.0,61.6,59.8,36.4,39.0,37.6
Karnataka,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.1,83.7,84.4,45.9,49.4,47.6
Kerala,96.5,96.6,96.5,97.0,97.4,97.1,96.7,96.9,96.8,93.7,93.6,93.7,69.3,74.8,72.0
Ladakh,69.4,74.7,71.9,60.6,72.1,66.0,65.9,73.7,69.6,49.8,56.8,53.2,33.8,48.2,40.8
Lakshadweep,78.0,80.1,79.0,69.9,54.0,61.5,75.0,69.3,72.1,71.3,70.8,71.1,67.5,59.9,63.6
Madhya Pradesh,84.2,84.3,84.3,88.0,85.7,86.9,85.6,84.8,85.2,68.6,66.0,67.4,44.2,43.2,43.7
Maharashtra,97.4,100.0,99.2,97.2,96.0,96.6,97.3,99.1,98.2,89.2,87.9,88.6,66.4,66.0,66.2
Manipur,100.0,100.0,100.0,88.4,91.9,90.1,100.0,100.0,100.0,70.6,72.9,71.7,51.1,51.3,51.2
Meghalaya,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,87.6,100.0,95.9,53.2,66.0,59.5
Mizoram,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.2,98.1,95.1,64.0,69.6,66.8
Nagaland,83.1,86.7,84.8,65.4,71.5,68.3,75.5,80.2,77.7,57.3,65.5,61.2,34.5,41.1,37.7
Odisha,100.0,100.0,100.0,97.3,92.0,94.7,100.0,100.0,100.0,43.3,41.5,42.4,41.3,45.3,43.3
Puducherry,81.7,82.3,82.0,79.8,79.0,79.4,81.0,81.0,81.0,66.3,75.9,70.8,47.3,56.5,51.7
Punjab,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.5,97.9,98.8,57.8,64.0,60.6
Rajasthan,94.1,95.6,94.8,94.2,89.1,91.8,94.2,93.2,93.7,84.6,76.9,80.9,59.7,53.6,56.8
Sikkim,91.3,88.2,89.7,73.3,72.9,73.1,83.2,81.3,82.2,76.0,79.7,77.8,60.6,69.2,64.9
Tamil Nadu,98.6,100.0,99.5,97.4,97.2,97.3,98.2,99.2,98.7,85.6,89.4,87.4,43.5,49.8,46.6
Telangana,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,73.2,69.3,71.3,46.0,49.9,47.9
Tripura,100.0,100.0,100.0,85.8,88.9,87.3,100.0,100.0,100.0,73.3,80.3,76.7,44.2,50.4,47.2
Uttar Pradesh,96.2,100.0,98.5,83.7,84.6,84.1,91.7,95.2,93.4,65.3,61.6,63.5,39.7,37.0,38.4
Uttarakhand,100.0,100.0,100.0,97.5,98.3,97.9,100.0,100.0,100.0,86.6,88.2,87.2,58.0,62.1,59.9
West Bengal,100.0,100.0,100.0,89.7,93.4,91.5,100.0,100.0,100.0,81.4,96.3,88.8,51.6,63.9,57.6
