"India/State /UT",Number of teachers in Others Schools,,,,,,,,,,
"",Total,Primary,Upper Primary,Secondary,Higher Secondary,,,,,,
"",,(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12),(11-12)
(1),(2),(3),(4),(5),( 6),(7),( 8),( 9),(10),( 11),( 12)
India,313297,110484,153928,6321,23397,2169,4659,9556,414,606,1763
Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,657,178,413,7,41,6,0,0,0,0,12
Arunachal Pradesh,425,191,234,0,0,0,0,0,0,0,0
Assam,23979,14448,389,3141,450,730,3294,56,91,234,1146
Bihar,81053,11216,65094,26,1892,53,114,2308,26,180,144
Chandigarh,336,68,201,0,50,0,0,17,0,0,0
Chhattisgarh,1033,599,187,244,0,0,0,3,0,0,0
"Daman and Diu andDadra and Nagar Haveli",25,0,0,0,0,0,0,25,0,0,0
Delhi,0,0,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0,0,0
Gujarat,37,0,0,0,11,0,0,26,0,0,0
Haryana,7183,2103,4771,13,189,5,0,102,0,0,0
Himachal Pradesh,3,3,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,751,269,339,0,111,0,10,14,0,8,0
Jharkhand,59110,12835,39897,185,5210,475,126,258,2,18,104
Karnataka,55,6,4,0,25,20,0,0,0,0,0
Kerala,8769,2958,4583,20,1052,25,15,67,18,15,16
Ladakh,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,6295,2110,4084,64,15,0,0,22,0,0,0
Maharashtra,5077,1946,2156,5,661,72,112,91,23,0,11
Manipur,1678,553,1097,6,22,0,0,0,0,0,0
Meghalaya,2505,991,335,115,240,73,471,76,17,0,187
Mizoram,579,101,237,6,0,0,162,0,0,0,73
Nagaland,6,6,0,0,0,0,0,0,0,0,0
Odisha,10194,4451,4469,103,607,286,149,96,0,0,33
Puducherry,0,0,0,0,0,0,0,0,0,0,0
Punjab,95,31,60,0,4,0,0,0,0,0,0
Rajasthan,7178,4814,1900,0,237,8,4,186,9,20,0
Sikkim,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,4167,2553,991,21,234,6,0,362,0,0,0
Telangana,437,210,222,0,5,0,0,0,0,0,0
Tripura,1169,979,118,0,24,0,0,48,0,0,0
Uttar Pradesh,76493,37577,19576,1272,11854,246,110,5589,149,111,9
Uttarakhand,2510,1359,588,372,39,12,92,0,0,20,28
West Bengal,11498,7929,1983,721,424,152,0,210,79,0,0
