"India/State/ UT",Projected population by age group – Scheduled Castes (SC),,,,,,,,
"",Age 6-13,Age 14-15,Age 16-17,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(11),(12),(13),(14),(15),(16),(17),(18),(19)
India,17262146,15919126,33181272,4361559,3999243,8360802,4413582,3967799,8381380
Andaman and Nicobar Islands,-,-,-,-,-,-,-,-,-
Andhra Pradesh,565055,548749,1113804,150362,148587,298949,151574,146509,298083
Arunachal Pradesh,-,-,-,-,-,-,-,-,-
Assam,178441,170145,348587,50023,49907,99930,52304,51138,103442
Bihar,1975721,1835341,3811062,438904,379352,818256,410579,343711,754290
Chandigarh,21631,18102,39732,5801,4822,10624,6235,5061,11296
Chhattisgarh,301386,291079,592464,74779,71901,146680,76736,73008,149744
"Daman and Diu andDadra and Nagar Haveli",1093,1013,2106,324,250,573,343,289,632
Delhi,233090,204927,438017,63853,58189,122042,67985,61774,129758
Goa,1996,1902,3898,567,493,1059,546,542,1088
Gujarat,333468,291785,625253,88897,79207,168104,93529,83551,177080
Haryana,470383,409231,879613,119339,104318,223656,122463,104512,226975
Himachal Pradesh,121097,113390,234487,32242,30094,62336,33054,30157,63211
Jammu and Kashmir,74602,64045,138647,23282,19787,43069,24451,20326,44777
Jharkhand,414520,393377,807896,102002,94535,196538,98659,88357,187016
Karnataka,801606,760417,1562023,208125,194504,402629,209000,191063,400063
Kerala,175942,168687,344630,47232,44935,92167,45150,43665,88816
Ladakh,16,9,25,3,2,5,3,3,5
Lakshadweep,-,-,-,-,-,-,-,-,-
Madhya Pradesh,1108545,1023968,2132514,272832,246693,519525,278986,241706,520692
Maharashtra,960790,880522,1841313,260258,236791,497049,269753,238741,508495
Manipur,7685,7203,14888,2169,2045,4215,1909,1809,3717
Meghalaya,1375,1263,2638,381,335,717,422,377,799
Mizoram,79,65,144,11,19,30,19,16,35
Nagaland,-,-,-,-,-,-,-,-,-
Odisha,543249,517673,1060922,143836,141179,285015,144923,141780,286702
Puducherry,18410,17259,35669,4800,4511,9311,4491,4391,8882
Punjab,663100,601045,1264145,180772,161392,342164,186401,160246,346647
Rajasthan,1244412,1111650,2356062,304500,272174,576674,305883,266165,572048
Sikkim,2196,2051,4247,650,550,1200,688,679,1367
Tamil Nadu,963736,911538,1875274,249869,241881,491749,251414,243817,495231
Telangana,364244,347367,711610,103141,100295,203436,106541,101907,208448
Tripura,41199,38746,79945,12309,11811,24120,14248,12887,27134
Uttar Pradesh,4192709,3759278,7951987,1017386,905276,1922662,1045154,911273,1956427
Uttarakhand,168439,150245,318684,44297,40192,84489,45080,39809,84889
West Bengal,1311933,1277054,2588987,358616,353213,711829,365060,358528,723588
