"India/State/ UT",Projected population by age group – Scheduled Tribes (ST),,,,,,,,
"",Age 3-5,Age 6-10,Age 11-13,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
India,4402251,4128462,8530713,6101398,5763228,11864626,3538139,3406487,6944626
Andaman and Nicobar Islands,1165,1114,2278,1445,1245,2690,856,747,1603
Andhra Pradesh,87013,80801,167814,129808,119717,249525,73480,69509,142989
Arunachal Pradesh,31357,29657,61014,50298,48309,98607,36783,37049,73832
Assam,136451,124254,260705,195943,182843,378787,129840,127853,257693
Bihar,67747,63343,131090,94993,89413,184406,55324,54694,110017
Chandigarh,-,-,-,-,-,-,-,-,-
Chhattisgarh,342355,332293,674648,469210,451123,920333,252445,249157,501603
"Daman and Diu andDadra and Nagar Haveli",9959,9524,19482,15051,13712,28763,9648,8912,18560
Delhi,-,-,-,-,-,-,-,-,-
Goa,4706,4428,9134,7148,6591,13739,4693,4250,8943
Gujarat,408539,370648,779187,520689,485824,1006514,292768,280870,573638
Haryana,-,-,-,-,-,-,-,-,-
Himachal Pradesh,11135,10553,21687,16522,15180,31703,10827,10122,20949
Jammu and Kashmir,45268,44204,89472,75461,71129,146590,59618,51544,111162
Jharkhand,373742,352175,725917,518183,489145,1007329,320976,319520,640496
Karnataka,146464,137562,284026,202239,191838,394076,120823,116905,237728
Kerala,14533,13705,28237,21532,20049,41581,13126,12756,25883
Ladakh,10040,9473,19513,13662,12368,26030,8851,7814,16665
Lakshadweep,2240,2087,4327,3354,3117,6471,1998,2228,4225
Madhya Pradesh,832016,789947,1621963,1078499,1042010,2120509,543856,542189,1086045
Maharashtra,385351,360380,745732,580006,537244,1117250,359162,330889,690050
Manipur,32768,29444,62212,58900,53069,111969,45789,41764,87553
Meghalaya,99872,94524,194396,136377,130342,266719,96425,94385,190810
Mizoram,30980,29269,60250,44933,42696,87629,32276,30850,63125
Nagaland,53347,48530,101877,85615,78684,164298,65089,60121,125210
Odisha,380349,373902,754252,546356,540108,1086464,300151,291467,591618
Puducherry,-,-,-,-,-,-,-,-,-
Punjab,-,-,-,-,-,-,-,-,-
Rajasthan,476551,431111,907661,633630,575904,1209534,335031,310619,645649
Sikkim,4539,4265,8805,8281,7961,16241,6852,6677,13529
Tamil Nadu,27907,24808,52715,40005,36416,76421,22104,20783,42887
Telangana,117003,102342,219345,171729,154669,326398,103211,94379,197591
Tripura,36878,34595,71473,52275,49124,101399,40258,38033,78292
Uttar Pradesh,61202,56119,117321,78939,73209,152148,38721,37161,75883
Uttarakhand,8581,7631,16212,13184,11662,24846,9421,8666,18087
West Bengal,162194,155775,317969,237131,228525,465657,147737,144571,292308
