"",Enrolment – Government Schools,
"State",Total,"Pre-Primary","Primary (1 to 5)",Upper Primary (6-8),"Elementary (1-8)","Secondary (9-10)",Higher Secondary (11-12)
(1),(2),(3),(4),(5),(6),(7),(8)
India,134904560,2478916,68657346,35835301,104492647,17652151,10280846
Andaman and Nicobar Islands,49943,3151,16441,12974,29415,10541,6836
Andhra Pradesh,4627208,44256,2177533,1338484,3516017,826857,240078
Arunachal Pradesh,234914,7308,107975,61253,169228,36208,22170
Assam,5097436,222283,2672887,1270127,3943014,681449,250690
Bihar,20874968,139,10973246,5792218,16765464,2877237,1232128
Chandigarh,153489,6706,51267,41583,92850,27828,26105
Chhattisgarh,4042244,3257,1769429,1073468,2842897,722585,473505
"Daman and Diu and Dadra and Nagar Haveli",84162,1692,38268,23752,62020,12658,7792
Delhi,2542240,99005,882430,694623,1577053,511246,354936
Goa,42857,734,23847,7926,31773,6033,4317
Gujarat,5334822,5316,3236139,1858939,5095078,178607,55821
Haryana,2232333,5533,954543,564093,1518636,413111,295053
Himachal Pradesh,847735,28359,291294,209501,500795,158203,160378
Jammu and Kashmir,1324301,70679,523452,302717,826169,200843,226610
Jharkhand,4873009,55039,2493695,1382848,3876543,579882,361545
Karnataka,5031606,15248,2406985,1540704,3947689,725402,343267
Kerala,1757209,135050,579353,381150,960503,296976,364680
Ladakh,28744,4482,9120,5276,14396,4405,5461
Lakshadweep,13114,1083,5294,2457,7751,2244,2036
Madhya Pradesh,8904779,17704,4031253,2498949,6530202,1460956,895917
Maharashtra,5594726,74092,3960772,1233798,5194570,247183,78881
Manipur,201758,8517,114014,38130,152144,22219,18878
Meghalaya,482425,96637,259242,106662,365904,11134,8750
Mizoram,132230,9477,64768,33367,98135,16298,8320
Nagaland,171747,38550,69040,36865,105905,17664,9628
Odisha,5213350,20042,2666822,1638230,4305052,790468,97788
Puducherry,87867,7197,29544,20984,50528,15371,14771
Punjab,2876825,338546,988656,668248,1656904,478659,402716
Rajasthan,8955632,2755,4103757,2259161,6362918,1511418,1078541
Sikkim,85980,5874,22818,22934,45752,19669,14685
Tamil Nadu,4775207,74539,1802985,1305412,3108397,870385,721886
Telangana,2896974,3735,1143570,886946,2030516,589398,273325
Tripura,536724,3802,240869,150292,391161,88573,53188
Uttar Pradesh,17576345,9550,12664274,4340360,17004634,335294,226867
Uttarakhand,916631,180,371889,225511,597400,174021,145030
West Bengal,16303026,1058399,6909875,3805359,10715234,2731126,1798267
