"India/State/ UT",Gross Enrolment Ratio (GER)  – All Social Groups,,,,,,,,,,,,,,
"",Primary (1 to 5),Upper Primary (6 to 8),Elementary (1 to 8),Secondary (9-10),Higher Secondary (11-12),,,,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,102.2,104.5,103.3,91.6,92.7,92.2,98.3,100.0,99.1,80.1,79.5,79.8,53.0,54.6,53.8
Andaman and Nicobar Islands,71.4,74.9,73.1,72.0,76.1,74.0,71.6,75.4,73.4,77.1,79.6,78.2,43.6,57.0,49.9
Andhra Pradesh,104.1,101.7,102.9,96.4,92.9,94.7,101.2,98.3,99.8,84.9,83.5,84.2,51.8,55.0,53.4
Arunachal Pradesh,122.9,126.9,124.8,81.9,89.4,85.6,105.6,110.8,108.2,65.1,71.3,68.2,38.8,43.5,41.1
Assam,116.3,122.0,119.1,92.1,101.7,96.8,106.9,113.9,110.3,69.2,82.2,75.6,31.5,33.1,32.3
Bihar,97.7,99.8,98.7,80.7,85.8,83.2,91.4,94.4,92.8,61.5,65.6,63.5,33.6,34.5,34.0
Chandigarh,78.8,87.9,82.8,90.4,101.6,95.3,83.2,93.0,87.6,85.4,95.4,89.7,72.8,88.1,79.2
Chhattisgarh,96.3,96.3,96.3,92.5,93.1,92.9,94.9,95.1,95.0,83.2,89.4,86.2,52.3,63.1,57.6
"Daman and Diu andDadra and Nagar Haveli",86.9,91.8,89.2,88.4,92.6,90.3,87.4,92.1,89.6,73.0,82.1,77.0,35.6,59.7,45.0
Delhi,112.8,119.5,115.9,122.9,127.3,125.1,116.6,122.5,119.4,114.8,118.1,116.3,78.2,86.9,82.1
Goa,92.3,96.5,94.3,88.1,91.2,89.6,90.7,94.5,92.5,91.3,90.8,91.1,65.8,74.3,69.9
Gujarat,91.4,95.8,93.4,90.0,90.4,90.1,90.9,93.7,92.2,82.5,74.1,78.6,41.6,41.9,41.8
Haryana,101.0,101.4,101.2,99.1,97.7,98.5,100.3,100.0,100.2,96.9,93.0,95.2,65.5,68.3,66.8
Himachal Pradesh,106.3,107.8,106.7,99.2,101.5,100.5,103.5,105.3,104.3,101.0,99.7,100.4,83.0,88.4,85.6
Jammu and Kashmir,99.7,102.0,100.9,64.4,68.4,66.2,83.8,87.2,85.4,59.6,60.1,59.8,50.9,49.1,50.1
Jharkhand,102.0,102.4,102.2,84.6,87.8,86.2,95.3,96.7,95.9,60.9,65.1,63.0,43.2,44.7,43.9
Karnataka,105.0,105.1,105.1,103.4,102.8,103.1,104.4,104.2,104.4,91.4,89.8,90.6,52.3,59.2,55.6
Kerala,100.2,100.1,100.2,98.2,98.0,98.0,99.5,99.3,99.3,97.8,97.3,97.6,80.5,88.0,84.2
Ladakh,79.0,84.4,81.5,61.9,72.9,67.0,72.3,79.9,75.9,54.2,63.5,58.7,42.0,55.4,48.5
Lakshadweep,78.7,80.8,79.7,63.4,50.6,56.6,73.0,68.2,70.6,78.4,77.0,77.7,70.7,64.6,67.6
Madhya Pradesh,89.5,89.5,89.5,93.1,90.9,92.0,90.8,90.0,90.4,73.4,69.1,71.3,45.4,45.5,45.4
Maharashtra,103.5,106.4,104.8,100.2,98.9,99.6,102.2,103.4,102.8,93.9,91.3,92.6,68.2,68.2,68.2
Manipur,141.0,146.1,143.5,86.6,90.2,88.4,117.6,121.7,119.6,74.4,77.0,75.7,61.7,60.7,61.2
Meghalaya,176.8,182.5,179.5,104.6,120.5,112.4,146.8,156.5,151.6,75.7,94.4,84.9,36.7,45.8,41.1
Mizoram,146.7,145.4,146.0,104.8,106.3,105.5,129.2,129.0,129.1,86.2,97.2,91.6,51.3,56.9,54.1
Nagaland,95.2,100.0,97.5,67.0,73.6,70.2,83.1,88.6,85.7,55.7,64.1,59.7,31.3,36.2,33.7
Odisha,97.8,96.9,97.4,93.9,92.4,93.2,96.3,95.2,95.8,85.4,83.6,84.5,44.8,48.0,46.4
Puducherry,82.6,83.9,83.2,82.0,82.5,82.2,82.4,83.4,82.8,76.5,81.5,78.9,62.7,73.2,67.8
Punjab,112.1,111.0,111.6,110.4,111.0,110.7,111.4,111.0,111.2,110.3,107.7,109.2,76.2,79.6,77.8
Rajasthan,105.7,107.4,106.5,95.4,90.6,93.1,102.0,101.2,101.6,89.3,79.9,84.8,65.4,58.4,62.1
Sikkim,106.2,99.0,102.7,81.4,83.0,82.2,95.0,91.8,93.4,85.9,94.1,90.0,52.4,66.8,59.5
Tamil Nadu,97.9,99.2,98.5,97.2,96.6,96.9,97.6,98.2,97.9,92.6,92.5,92.6,70.8,82.6,76.5
Telangana,110.2,111.1,110.6,104.4,103.1,103.7,108.0,107.9,107.9,92.0,92.7,92.3,59.6,64.3,61.8
Tripura,118.2,122.9,120.5,89.0,92.0,90.5,105.6,109.4,107.4,75.1,83.1,78.9,43.3,48.5,45.8
Uttar Pradesh,100.7,105.9,103.2,83.8,86.4,85.0,94.7,98.8,96.6,69.6,62.9,66.4,50.5,46.8,48.8
Uttarakhand,114.5,118.4,116.4,99.4,101.2,100.2,108.6,111.5,110.0,91.5,91.8,91.5,69.7,76.1,72.7
West Bengal,120.5,121.0,120.7,90.3,94.2,92.2,108.7,110.4,109.5,82.0,100.8,91.2,53.3,64.0,58.5
