"India/State/ UT",Total Schools,Number of schools having drinking water facility within school premises – Private unaided,"No. of privateunaided schoolsnot havingdrinking waterfacility withinschool premises","% of privateunaided schoolshaving drinkingwater facilitywithin schoolpremises",,,,,,
"","Any source ofdrinkingwater",Tap Water,Packed Water,Hand Pump,Well,"UnprotectedWell","Othersources",,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
India,340753,335910,223598,7585,82598,7736,462,13931,4843,98.58
Andaman and Nicobar Islands,73,73,73,0,0,0,0,0,0,100
Andhra Pradesh,15792,15605,15605,0,0,0,0,0,187,98.82
Arunachal Pradesh,496,479,413,6,28,22,2,8,17,96.57
Assam,6045,5774,2300,93,2898,260,29,194,271,95.52
Bihar,7923,7902,4565,104,3180,7,3,43,21,99.73
Chandigarh,75,75,74,0,0,0,0,1,0,100
Chhattisgarh,7131,7122,4025,81,2822,66,2,126,9,99.87
"Daman and Diu andDadra and Nagar Haveli",63,63,44,6,1,2,0,10,0,100
Delhi,2641,2641,2641,0,0,0,0,0,0,100
Goa,138,138,138,0,0,0,0,0,0,100
Gujarat,13834,13833,12066,389,558,369,22,429,1,99.99
Haryana,8235,8233,6933,148,359,212,4,577,2,99.98
Himachal Pradesh,2753,2752,2624,6,60,25,0,37,1,99.96
Jammu and Kashmir,5649,5612,5123,17,288,99,10,75,37,99.35
Jharkhand,1542,1537,875,17,584,22,0,39,5,99.68
Karnataka,19915,19895,18238,641,328,284,13,391,20,99.9
Kerala,3241,3241,1435,74,86,1553,12,81,0,100
Ladakh,112,108,65,6,17,3,0,17,4,96.43
Lakshadweep,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,31512,30549,17947,410,7166,1155,73,3798,963,96.94
Maharashtra,19632,19604,14889,822,1092,1007,17,1777,28,99.86
Manipur,1027,1011,480,109,44,74,16,288,16,98.44
Meghalaya,2179,947,635,18,57,97,63,77,1232,43.46
Mizoram,1050,1012,802,18,1,9,0,182,38,96.38
Nagaland,743,590,373,27,10,57,3,120,153,79.41
Odisha,6393,6169,4159,65,1829,77,0,39,224,96.5
Puducherry,286,286,268,3,1,4,0,10,0,100
Punjab,8893,8893,7447,23,176,47,1,1199,0,100
Rajasthan,36023,35860,29319,612,2269,1603,87,1970,163,99.55
Sikkim,393,393,385,0,1,1,1,5,0,100
Tamil Nadu,12402,12402,11753,237,75,126,0,211,0,100
Telangana,12023,12023,9277,2158,355,130,0,103,0,100
Tripura,360,345,222,12,75,18,3,15,15,95.83
Uttar Pradesh,96741,95589,38574,618,54656,209,20,1512,1152,98.81
Uttarakhand,5396,5300,4501,33,595,53,4,114,96,98.22
West Bengal,10042,9854,5330,832,2987,145,77,483,188,98.13
