"India/State/ UT",Enrolment of age group 16-17 years,,,,,,,,
"",All,Primary (1 to 5),Upper Primary (1to 8),,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(65),(66),(67),(68),(69),(70),(71),(72),(73)
India,11936793,11255124,23191917,5759,5022,10781,198098,182080,380178
Andaman and Nicobar Islands,4338,4469,8807,1,0,1,121,104,225
Andhra Pradesh,447594,448140,895734,0,0,0,0,0,0
Arunachal Pradesh,13206,14450,27656,59,43,102,1161,1464,2625
Assam,216429,231763,448192,65,52,117,2968,3294,6262
Bihar,652715,632960,1285675,140,123,263,7523,8707,16230
Chandigarh,19677,16974,36651,2,1,3,260,164,424
Chhattisgarh,310062,348952,659014,42,31,73,3400,2716,6116
"Daman and Diu andDadra and Nagar Haveli",6404,6091,12495,5,4,9,224,177,401
Delhi,255170,247673,502843,14,16,30,3187,3734,6921
Goa,17157,16955,34112,2,1,3,99,79,178
Gujarat,527701,440459,968160,111,77,188,4554,3253,7807
Haryana,314497,248875,563372,258,153,411,8105,5288,13393
Himachal Pradesh,83056,75988,159044,15,9,24,376,295,671
Jammu and Kashmir,109104,94640,203744,45,17,62,1442,1390,2832
Jharkhand,297105,304282,601387,239,153,392,7166,7917,15083
Karnataka,510289,514735,1025024,177,72,249,3686,2368,6054
Kerala,367253,378309,745562,154,84,238,1144,927,2071
Ladakh,2219,2964,5183,5,2,7,142,101,243
Lakshadweep,984,932,1916,0,0,0,0,0,0
Madhya Pradesh,742769,669875,1412644,342,398,740,24092,20209,44301
Maharashtra,1444719,1272391,2717110,875,432,1307,17565,12605,30170
Manipur,29497,29214,58711,17,15,32,413,291,704
Meghalaya,37320,44814,82134,196,251,447,5075,5583,10658
Mizoram,15071,15760,30831,44,36,80,1075,786,1861
Nagaland,16864,19204,36068,59,68,127,1519,1716,3235
Odisha,337380,355471,692851,0,0,0,0,0,0
Puducherry,12670,13938,26608,0,0,0,31,27,58
Punjab,310358,280022,590380,108,74,182,0,0,0
Rajasthan,981233,799154,1780387,728,557,1285,30656,26487,57143
Sikkim,8576,9540,18116,93,19,112,683,586,1269
Tamil Nadu,505943,546814,1052757,0,0,0,0,0,0
Telangana,300129,306002,606131,5,3,8,7767,4530,12297
Tripura,33695,35229,68924,1,2,3,457,346,803
Uttar Pradesh,2001780,1671828,3673608,1100,1406,2506,46710,48336,95046
Uttarakhand,131646,125157,256803,59,49,108,2820,2323,5143
West Bengal,872183,1031100,1903283,798,874,1672,13677,16277,29954
