"India/State/ UT",Enrolment – Government,,,,,,,,,,,
"",Secondary (9-10),Higher Secondary (11-12),Primary to Higher Secondary (1-12),Total (Pre-Primary to Higher Secondary),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25)
India,8560581,9091570,17652151,4882183,5398663,10280846,65062288,67363356,132425644,66308171,68596389,134904560
Andaman and Nicobar Islands,5507,5034,10541,3143,3693,6836,23424,23368,46792,24981,24962,49943
Andhra Pradesh,404205,422652,826857,109188,130890,240078,2270881,2312071,4582952,2292637,2334571,4627208
Arunachal Pradesh,17014,19194,36208,10598,11572,22170,107871,119735,227606,111512,123402,234914
Assam,305901,375548,681449,123809,126881,250690,2342658,2532495,4875153,2452803,2644633,5097436
Bihar,1409643,1467594,2877237,616053,616075,1232128,10308554,10566275,20874829,10308621,10566347,20874968
Chandigarh,14823,13005,27828,13299,12806,26105,76459,70324,146783,79854,73635,153489
Chhattisgarh,341368,381217,722585,207777,265728,473505,1960552,2078435,4038987,1962309,2079935,4042244
"Daman and Diu andDadra and Nagar Haveli",6467,6191,12658,3603,4189,7792,41097,41373,82470,41949,42213,84162
Delhi,253369,257877,511246,166284,188652,354936,1191711,1251524,2443235,1237560,1304680,2542240
Goa,3323,2710,6033,2268,2049,4317,21879,20244,42123,22250,20607,42857
Gujarat,90863,87744,178607,26094,29727,55821,2676909,2652597,5329506,2679387,2655435,5334822
Haryana,204079,209032,413111,142866,152187,295053,1085518,1141282,2226800,1088105,1144228,2232333
Himachal Pradesh,81193,77010,158203,80227,80151,160378,411230,408146,819376,425315,422420,847735
Jammu and Kashmir,103192,97651,200843,121317,105293,226610,628655,624967,1253622,663187,661114,1324301
Jharkhand,269636,310246,579882,169651,191894,361545,2318754,2499216,4817970,2346208,2526801,4873009
Karnataka,357368,368034,725402,148450,194817,343267,2414168,2602190,5016358,2421818,2609788,5031606
Kerala,154021,142955,296976,178278,186402,364680,821804,800355,1622159,889843,867366,1757209
Ladakh,1979,2426,4405,2467,2994,5461,10874,13388,24262,13078,15666,28744
Lakshadweep,1164,1080,2244,1030,1006,2036,6203,5828,12031,6750,6364,13114
Madhya Pradesh,735942,725014,1460956,431052,464865,895917,4357636,4529439,8887075,4366583,4538196,8904779
Maharashtra,125225,121958,247183,39766,39115,78881,2758829,2761805,5520634,2796171,2798555,5594726
Manipur,10600,11619,22219,9249,9629,18878,94478,98763,193241,98712,103046,201758
Meghalaya,5219,5915,11134,4282,4468,8750,191943,193845,385788,241400,241025,482425
Mizoram,7781,8517,16298,3870,4450,8320,62787,59966,122753,67694,64536,132230
Nagaland,7859,9805,17664,4512,5116,9628,62410,70787,133197,81720,90027,171747
Odisha,400974,389494,790468,45563,52225,97788,2602212,2591096,5193308,2612599,2600751,5213350
Puducherry,7420,7951,15371,6588,8183,14771,39196,41474,80670,42736,45131,87867
Punjab,255232,223427,478659,208611,194105,402716,1316959,1221320,2538279,1489897,1386928,2876825
Rajasthan,748563,762855,1511418,539309,539232,1078541,4362212,4590665,8952877,4363652,4591980,8955632
Sikkim,9394,10275,19669,6554,8131,14685,39460,40646,80106,42496,43484,85980
Tamil Nadu,427623,442762,870385,323097,398789,721886,2297688,2402980,4700668,2334945,2440262,4775207
Telangana,282645,306753,589398,119546,153779,273325,1391638,1501601,2893239,1393557,1503417,2896974
Tripura,41784,46789,88573,25417,27771,53188,259680,273242,532922,261674,275050,536724
Uttar Pradesh,149981,185313,335294,95487,131380,226867,8640849,8925946,17566795,8645676,8930669,17576345
Uttarakhand,82879,91142,174021,65528,79502,145030,437513,478938,916451,437620,479011,916631
West Bengal,1236345,1494781,2731126,827350,970917,1798267,7427597,7817030,15244627,7962872,8340154,16303026
