"India/State /UT",Dropout  Rate,,,,,,,,
"",Primary (1 to 5),Upper Primary (6-8),Secondary (9-10),,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
India,0.8,0.7,0.8,1.6,2.3,1.9,14.9,14.2,14.6
Andaman and Nicobar Islands,2.1,2.5,2.3,0.0,0.5,0.2,7.6,6.9,7.2
Andhra Pradesh,0.0,0.0,0.0,0.5,0.5,0.5,17.3,16.1,16.7
Arunachal Pradesh,9.8,6.8,8.3,8.3,7.0,7.7,9.5,11.7,10.7
Assam,4.2,2.3,3.3,6.0,3.2,4.6,29.7,32.1,31.0
Bihar,0.0,0.0,0.0,2.1,3.4,2.8,16.3,19.0,17.6
Chandigarh,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1.0,1.6
Chhattisgarh,0.9,0.6,0.8,4.8,3.3,4.0,15.8,11.4,13.6
"Daman and Diu andDadra and Nagar Haveli",4.1,3.1,3.6,0.0,0.0,0.0,26.7,17.7,22.4
Delhi,0.0,0.0,0.0,0.0,0.0,0.0,9.9,7.7,8.8
Goa,1.6,1.5,1.5,0.4,0.7,0.6,6.6,5.2,5.9
Gujarat,0.9,1.1,1.0,3.7,5.5,4.5,25.1,20.9,23.3
Haryana,2.2,2.1,2.1,0.0,0.0,0.0,15.8,12.3,14.3
Himachal Pradesh,1.9,1.9,1.9,1.4,1.3,1.3,8.1,7.2,7.7
Jammu and Kashmir,4.5,4.2,4.4,2.6,4.1,3.4,2.7,4.4,3.5
Jharkhand,4.1,2.9,3.5,5.1,5.4,5.2,13.1,13.7,13.4
Karnataka,1.3,0.9,1.1,2.0,1.9,2.0,18.4,14.9,16.7
Kerala,0.1,0.0,0.0,0.0,0.0,0.0,9.2,4.9,7.1
Ladakh,3.8,4.3,4.1,3.1,1.2,2.1,5.8,1.1,3.4
Lakshadweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madhya Pradesh,1.4,1.3,1.3,4.7,5.4,5.0,27.6,24.4,26.1
Maharashtra,1.1,0.9,1.0,1.2,1.6,1.4,11.4,11.2,11.3
Manipur,9.0,8.2,8.6,4.3,3.6,4.0,9.4,9.5,9.4
Meghalaya,8.7,6.1,7.4,10.2,7.7,8.9,28.9,27.1,27.9
Mizoram,8.5,7.6,8.1,7.0,3.4,5.2,22.4,17.9,20.1
Nagaland,6.6,5.2,5.9,4.8,2.8,3.8,25.6,23.3,24.4
Odisha,0.0,0.0,0.0,0.0,0.0,0.0,16.7,15.4,16.0
Puducherry,0.0,0.0,0.0,0.0,0.0,0.0,8.4,5.3,6.9
Punjab,0.0,0.0,0.0,0.0,0.0,0.0,7.3,11.1,9.0
Rajasthan,0.9,1.2,1.0,2.5,2.8,2.6,9.0,8.8,8.9
Sikkim,2.1,0.2,1.2,0.0,0.0,0.0,27.4,20.8,23.9
Tamil Nadu,0.7,0.5,0.6,0.6,0.6,0.6,8.6,4.1,6.4
Telangana,0.0,0.0,0.0,0.0,0.0,0.0,14.3,13.4,13.9
Tripura,4.5,3.8,4.2,3.8,2.8,3.3,31.3,28.3,29.8
Uttar Pradesh,2.3,2.1,2.2,2.6,6.5,4.5,11.8,13.0,12.3
Uttarakhand,1.8,1.7,1.7,1.3,1.6,1.4,10.4,7.6,9.1
West Bengal,0.0,0.0,0.0,0.0,0.0,0.0,15.8,15.7,15.7
