"",Enrolment – Others,,,,,,,,,,,
"",Secondary (9-10),Higher Secondary (11-12),Primary to Higher Secondary (1-12),Total (Pre-Primary to Higher Secondary),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25)
India,144987,149698,294685,43990,48729,92719,3629165,3213935,6843100,4024325,3518493,7542818
Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,168,331,499,154,81,235,9012,9396,18408,9368,9697,19065
Arunachal Pradesh,0,0,0,0,0,0,2065,1692,3757,2681,2250,4931
Assam,21928,25088,47016,9225,9438,18663,179584,179935,359519,189332,189684,379016
Bihar,25452,31505,56957,16100,20738,36838,1046303,894278,1940581,1184706,991550,2176256
Chandigarh,48,24,72,9,9,18,2942,1967,4909,4177,2949,7126
Chhattisgarh,0,0,0,0,0,0,8082,6052,14134,8102,6058,14160
"Daman and Diu andDadra and Nagar Haveli",0,0,0,0,0,0,0,0,0,0,0,0
Delhi,0,0,0,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,160,158,318,7,72,79,531,646,1177,531,646,1177
Haryana,678,384,1062,131,107,238,61251,45225,106476,71112,52936,124048
Himachal Pradesh,0,0,0,0,0,0,7,5,12,7,5,12
Jammu and Kashmir,263,312,575,0,108,108,5024,4109,9133,6218,5095,11313
Jharkhand,20730,18154,38884,1131,1366,2497,653731,492602,1146333,779095,585209,1364304
Karnataka,52,66,118,0,0,0,407,287,694,417,293,710
Kerala,622,652,1274,120,251,371,54473,49261,103734,70261,64079,134340
Ladakh,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,40,44,84,16,23,39,58560,56925,115485,58978,57416,116394
Maharashtra,3448,2015,5463,101,118,219,65409,52432,117841,73554,59372,132926
Manipur,47,55,102,0,0,0,7929,7321,15250,10753,9954,20707
Meghalaya,2395,3355,5750,786,1077,1863,14779,16714,31493,20385,21955,42340
Mizoram,593,645,1238,279,246,525,2792,2662,5454,3433,3336,6769
Nagaland,0,0,0,0,0,0,23,30,53,37,43,80
Odisha,4791,3608,8399,1343,899,2242,72546,53156,125702,84875,63212,148087
Puducherry,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,6,6,12,0,0,0,725,521,1246,764,567,1331
Rajasthan,1470,1552,3022,460,474,934,86479,80781,167260,87482,81727,169209
Sikkim,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,852,760,1612,477,392,869,24741,21015,45756,33691,28757,62448
Telangana,12,3,15,0,0,0,4225,4360,8585,4314,4448,8762
Tripura,200,57,257,71,21,92,7525,5254,12779,9208,6698,15906
Uttar Pradesh,56385,55521,111906,12603,12121,24724,1097184,1085730,2182914,1101585,1090131,2191716
Uttarakhand,1778,1695,3473,496,566,1062,38809,34499,73308,39415,35026,74441
West Bengal,2869,3708,6577,481,622,1103,124027,107080,231107,169844,145400,315244
