"India/State/ UT",Enrolment of age group 6-10 years,,,,,,,,
"",All,Primary (1 to 5),Upper Primary (1to 8),,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(29),(30),(31),(32),(33),(34),(35),(36),(37)
India,60545851,55957487,116503338,56943508,52542804,109486312,3602343,3414683,7017026
Andaman and Nicobar Islands,13515,13129,26644,12619,12225,24844,896,904,1800
Andhra Pradesh,1622643,1463386,3086029,1622643,1463386,3086029,0,0,0
Arunachal Pradesh,72679,71819,144498,68363,67334,135697,4316,4485,8801
Assam,1833894,1800779,3634673,1757422,1720743,3478165,76472,80036,156508
Bihar,6943492,6524877,13468369,6736916,6326984,13063900,206576,197893,404469
Chandigarh,44676,40345,85021,42253,38016,80269,2423,2329,4752
Chhattisgarh,1307296,1250545,2557841,1275302,1218984,2494286,31994,31561,63555
"Daman and Diu andDadra and Nagar Haveli",27047,24877,51924,26491,24352,50843,556,525,1081
Delhi,883550,770716,1654266,802999,714214,1517213,80551,56502,137053
Goa,59903,56301,116204,58119,54743,112862,1784,1558,3342
Gujarat,2742082,2442142,5184224,2527148,2248276,4775424,214934,193866,408800
Haryana,1242436,1034093,2276529,1112081,912484,2024565,130355,121609,251964
Himachal Pradesh,280294,256424,536718,249314,227274,476588,30980,29150,60130
Jammu and Kashmir,527168,484087,1011255,460541,423445,883986,66627,60642,127269
Jharkhand,1862927,1741811,3604738,1799647,1684746,3484393,63280,57065,120345
Karnataka,2708517,2538030,5246547,2560050,2378584,4938634,148467,159446,307913
Kerala,1211039,1160528,2371567,1138983,1089925,2228908,72056,70603,142659
Ladakh,10272,9998,20270,9570,9215,18785,702,783,1485
Lakshadweep,2680,2566,5246,2632,2533,5165,48,33,81
Madhya Pradesh,3653946,3366401,7020347,3435261,3169879,6605140,218685,196522,415207
Maharashtra,4737210,4293120,9030330,4595834,4157669,8753503,141376,135451,276827
Manipur,152487,146512,298999,142556,136877,279433,9931,9635,19566
Meghalaya,219693,215457,435150,212559,207987,420546,7134,7470,14604
Mizoram,56262,53389,109651,54974,52083,107057,1288,1306,2594
Nagaland,80625,77052,157677,78136,74534,152670,2489,2518,5007
Odisha,1965305,1879498,3844803,1649055,1550464,3199519,316250,329034,645284
Puducherry,51870,47811,99681,45106,42021,87127,6764,5790,12554
Punjab,1255907,1068685,2324592,1204853,1029097,2233950,51054,39588,90642
Rajasthan,3919036,3486334,7405370,3668392,3271578,6939970,250644,214756,465400
Sikkim,21474,19863,41337,20610,18937,39547,864,926,1790
Tamil Nadu,2693451,2519723,5213174,2314077,2143665,4457742,379374,376058,755432
Telangana,1495718,1413785,2909503,1352276,1246774,2599050,143442,167011,310453
Tripura,156401,152228,308629,154350,150427,304777,2051,1801,3852
Uttar Pradesh,11964383,11076616,23040999,11157198,10341032,21498230,807185,735584,1542769
Uttarakhand,523166,460455,983621,478882,421034,899916,44284,39421,83705
West Bengal,4202807,3994105,8196912,4116296,3911283,8027579,86511,82822,169333
