"India/State/ UT",Enrolment – Private Unaided Recognized,,,,,,,,,,,
"",Secondary (9-10),Higher Secondary (11-12),Primary to Higher Secondary (1-12),Total (Pre-Primary to Higher Secondary),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25)
India,7608350,5750328,13358678,5858983,4773495,10632478,49385301,38704084,88089385,53247170,41909912,95157082
Andaman and Nicobar Islands,1172,1057,2229,606,588,1194,9570,8833,18403,11517,10572,22089
Andhra Pradesh,278043,209228,487271,308479,286030,594509,1861157,1488749,3349906,1945215,1560082,3505297
Arunachal Pradesh,4198,3562,7760,1366,1649,3015,41866,35344,77210,47728,40416,88144
Assam,104690,91361,196051,57069,54782,111851,774012,655410,1429422,892318,755091,1647409
Bihar,292881,233112,525993,315984,259789,575773,1833466,1304877,3138343,1984061,1405522,3389583
Chandigarh,7633,5684,13317,6371,5052,11423,43420,34934,78354,50417,41159,91576
Chhattisgarh,107213,86044,193257,77978,68265,146243,847209,716442,1563651,985092,838979,1824071
"Daman and Diu andDadra and Nagar Haveli",2637,1858,4495,1298,1031,2329,19423,14273,33696,21477,15899,37376
Delhi,131737,84204,215941,106533,74709,181242,960139,673323,1633462,1041831,739964,1781795
Goa,1191,1065,2256,727,576,1303,17934,15427,33361,21653,18729,40382
Gujarat,343101,217406,560507,242940,167211,410151,2432373,1763354,4195727,2533111,1843723,4376834
Haryana,331357,216269,547626,229283,168764,398047,1920191,1337692,3257883,2023193,1417692,3440885
Himachal Pradesh,43474,32073,75547,24830,19265,44095,286707,227220,513927,322303,257039,579342
Jammu and Kashmir,76341,60004,136345,27888,21606,49494,565567,453283,1018850,684904,555647,1240551
Jharkhand,180458,151645,332103,172973,145415,318388,722046,564079,1286125,761819,594049,1355868
Karnataka,372701,306887,679588,314585,306182,620767,2766029,2292437,5058466,2905105,2412535,5317640
Kerala,99470,96991,196461,56375,53776,110151,792057,734316,1526373,900113,835827,1735940
Ladakh,1532,1416,2948,287,411,698,12462,11100,23562,15793,13898,29691
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,450233,315174,765407,313223,226195,539418,3593886,2734308,6328194,4013970,3080470,7094440
Maharashtra,500413,364080,864493,361429,272334,633763,3497982,2645075,6143057,3713120,2824635,6537755
Manipur,33258,31686,64944,25751,23991,49742,212280,197992,410272,238932,222640,461572
Meghalaya,15302,18360,33662,9662,10254,19916,101966,106137,208103,129930,133683,263613
Mizoram,6682,6657,13339,5788,5633,11421,60306,58892,119198,72188,70486,142674
Nagaland,19733,19239,38972,10798,11785,22583,121870,113368,235238,144418,133853,278271
Odisha,74437,54646,129083,147353,145176,292529,851463,666604,1518067,911613,715831,1627444
Puducherry,11872,8947,20819,9621,8050,17671,74927,60497,135424,82882,67194,150076
Punjab,283443,208678,492121,168159,133003,301162,1607901,1229705,2837606,1829457,1406244,3235701
Rajasthan,690606,407701,1098307,533943,331726,865669,4732743,3251766,7984509,5151600,3581016,8732616
Sikkim,1658,1346,3004,603,550,1153,18691,16066,34757,25491,22121,47612
Tamil Nadu,389915,305860,695775,317653,273992,591645,2778037,2326081,5104118,3203628,2705600,5909228
Telangana,286917,228853,515770,265452,235779,501231,2042309,1694206,3736515,2166820,1797530,3964350
Tripura,7296,6041,13337,3354,3065,6419,57404,47685,105089,68968,57534,126502
Uttar Pradesh,2275718,1834954,4110672,1607444,1350897,2958341,11915902,9748839,21664741,12136700,9920225,22056925
Uttarakhand,89843,62261,152104,67548,49156,116704,677873,514622,1192495,727720,555078,1282798
West Bengal,91195,75979,167174,65630,56808,122438,1134133,961148,2095281,1482083,1258949,2741032
