"India/State/ UT",Projected population by age group – Scheduled Tribes (ST),,,,,,,,
"",Age 6-13,Age 14-15,Age 16-17,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(11),(12),(13),(14),(15),(16),(17),(18),(19)
India,9639537,9169715,18809251,2343031,2229808,4572839,2249663,2165974,4415636
Andaman and Nicobar Islands,2301,1992,4292,678,598,1276,632,571,1203
Andhra Pradesh,203288,189226,392514,49300,46851,96151,47353,44434,91787
Arunachal Pradesh,87081,85358,172439,25620,25801,51422,23020,23443,46462
Assam,325784,310696,636480,91888,92454,184342,91340,94852,186192
Bihar,150317,144107,294424,36618,35682,72300,35522,34535,70057
Chandigarh,-,-,-,-,-,-,-,-,-
Chhattisgarh,721655,700281,1421936,169511,165226,334737,163080,162790,325870
"Daman and Diu andDadra and Nagar Haveli",24699,22624,47323,5918,5178,11097,5405,4848,10253
Delhi,-,-,-,-,-,-,-,-,-
Goa,11841,10841,22682,3221,2810,6031,3067,3007,6074
Gujarat,813457,766695,1580152,192420,180688,373108,182900,167930,350831
Haryana,-,-,-,-,-,-,-,-,-
Himachal Pradesh,27349,25303,52652,7323,6975,14298,7431,7215,14646
Jammu and Kashmir,135079,122673,257752,35552,29311,64863,30284,24873,55158
Jharkhand,839160,808665,1647825,213795,214770,428565,203922,212199,416121
Karnataka,323061,308743,631804,84938,80265,165203,86057,77922,163979
Kerala,34658,32805,67464,7870,7803,15672,7241,6867,14109
Ladakh,22513,20182,42695,5924,5667,11591,6075,5713,11788
Lakshadweep,5352,5345,10696,1441,1376,2817,1406,1525,2930
Madhya Pradesh,1622355,1584198,3206554,355377,343099,698476,334225,328050,662275
Maharashtra,939168,868132,1807300,231585,209295,440880,223637,203339,426976
Manipur,104689,94832,199522,32731,30423,63153,32469,31525,63994
Meghalaya,232802,224727,457529,61873,61047,122920,61352,60479,121831
Mizoram,77209,73546,150754,21347,20563,41910,22372,21823,44195
Nagaland,150704,138805,289508,44044,40857,84900,43435,42480,85915
Odisha,846507,831576,1678082,190540,184092,374632,178171,174731,352903
Puducherry,-,-,-,-,-,-,-,-,-
Punjab,-,-,-,-,-,-,-,-,-
Rajasthan,968661,886523,1855183,219594,203801,423395,211068,201669,412736
Sikkim,15133,14638,29771,4689,4574,9263,4946,4983,9929
Tamil Nadu,62109,57199,119308,14481,12913,27394,13323,11899,25222
Telangana,274940,249049,523989,71488,65033,136521,67372,59363,126734
Tripura,92533,87157,179691,26444,24730,51174,26437,24143,50580
Uttar Pradesh,117661,110370,228031,25803,23527,49330,24940,22631,47571
Uttarakhand,22605,20328,42932,6866,6325,13191,6940,6672,13612
West Bengal,384868,373097,757965,104155,98073,202228,104240,99461,203702
