"India/State/ UT",Adjusted Net Enrolment Rate (ANER),,,,,,,,,,,
"",Primary (1 to 5),Upper Primary (6 to 8),Elementary (1 to 8),Secondary (9-10),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,97.4,99.9,98.6,84.0,84.9,84.4,95.2,96.9,96.0,61.8,61.9,61.8
Andaman and Nicobar Islands,68.8,73.4,71.0,61.6,65.9,63.7,69.1,72.9,70.9,52.4,58.9,55.4
Andhra Pradesh,84.6,82.4,83.6,96.4,92.9,94.7,89.1,86.5,87.8,84.9,83.5,84.2
Arunachal Pradesh,100.0,100.0,100.0,63.7,69.0,66.4,94.5,98.9,96.7,45.1,50.1,47.6
Assam,100.0,100.0,100.0,82.4,90.6,86.4,100.0,100.0,100.0,53.6,63.4,58.4
Bihar,95.7,98.0,96.8,85.5,90.5,88.0,93.1,96.3,94.7,48.9,51.7,50.2
Chandigarh,72.9,82.6,77.2,79.0,90.1,83.8,79.2,89.3,83.7,67.3,78.0,71.8
Chhattisgarh,92.6,92.9,92.7,79.2,80.1,79.6,90.1,90.5,90.3,59.4,64.8,62.1
"Daman and Diu andDadra and Nagar Haveli",76.8,82.3,79.3,72.5,77.2,74.7,81.8,86.7,84.0,51.8,63.9,57.1
Delhi,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.8,89.1,89.0
Goa,88.8,92.9,90.7,80.1,83.2,81.6,88.0,91.7,89.8,72.5,76.0,74.1
Gujarat,88.0,92.3,90.0,80.2,80.2,80.2,87.0,89.6,88.2,64.4,59.0,61.9
Haryana,91.8,92.6,92.2,87.0,87.7,87.3,94.4,94.6,94.5,72.4,72.0,72.2
Himachal Pradesh,100.0,100.0,100.0,92.2,94.6,93.6,99.9,100.0,100.0,84.8,86.3,85.5
Jammu and Kashmir,92.5,94.5,93.5,56.9,60.0,58.3,78.2,81.2,79.6,44.1,44.0,44.1
Jharkhand,96.5,97.3,96.8,77.9,80.6,79.2,92.3,93.5,92.9,47.2,49.4,48.3
Karnataka,100.0,100.0,100.0,96.8,97.7,97.2,100.0,100.0,100.0,77.8,78.1,78.0
Kerala,96.5,96.6,96.5,91.7,92.3,91.9,96.7,96.9,96.8,85.5,86.1,85.8
Ladakh,69.4,74.7,71.9,49.0,59.4,53.9,65.9,73.7,69.6,34.7,41.4,38.0
Lakshadweep,78.0,80.1,79.0,66.3,51.6,58.6,75.0,69.3,72.1,69.1,68.9,69.0
Madhya Pradesh,84.2,84.3,84.3,78.4,76.6,77.5,85.6,84.8,85.2,51.5,49.2,50.4
Maharashtra,97.4,100.0,99.2,84.7,84.5,84.6,97.3,99.1,98.2,66.1,66.3,66.2
Manipur,100.0,100.0,100.0,79.7,83.2,81.4,100.0,100.0,100.0,62.0,63.9,62.9
Meghalaya,100.0,100.0,100.0,68.9,79.6,74.2,100.0,100.0,100.0,41.9,51.2,46.5
Mizoram,100.0,100.0,100.0,72.5,75.6,74.1,100.0,100.0,100.0,49.9,57.1,53.4
Nagaland,83.1,86.7,84.8,51.9,56.5,54.1,75.5,80.2,77.7,38.4,43.9,41.0
Odisha,100.0,100.0,100.0,95.3,91.5,93.4,100.0,100.0,100.0,42.6,41.5,42.0
Puducherry,81.7,82.3,82.0,78.5,77.6,78.1,81.0,81.0,81.0,63.3,71.4,67.1
Punjab,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.2,97.6,98.5
Rajasthan,94.1,95.6,94.8,79.3,74.8,77.2,94.2,93.2,93.7,63.7,57.0,60.5
Sikkim,91.3,88.2,89.7,58.3,60.9,59.6,83.2,81.3,82.2,46.0,53.0,49.5
Tamil Nadu,98.6,100.0,99.5,97.4,97.2,97.3,98.2,99.2,98.7,85.6,89.4,87.4
Telangana,100.0,100.0,100.0,92.7,95.2,93.9,100.0,100.0,100.0,59.7,60.5,60.1
Tripura,100.0,100.0,100.0,80.5,83.5,81.9,100.0,100.0,100.0,61.1,68.1,64.5
Uttar Pradesh,96.2,100.0,98.5,75.5,76.0,75.8,91.7,95.2,93.4,53.6,48.6,51.2
Uttarakhand,100.0,100.0,100.0,87.4,88.6,88.0,100.0,100.0,100.0,71.4,73.0,72.0
West Bengal,100.0,100.0,100.0,81.1,84.4,82.7,100.0,100.0,100.0,66.3,79.5,72.8
