"India/State/ UT",Enrolment of age group 11-13 years,,,,,
"",All,Primary (1 to 5),,,,
"",Boys,Girls,Total,Boys,Girls,Total
(1),(38),(39),(40),(41),(42),(43)
India,33859134,31599358,65458492,2722810,2400301,5123111
Andaman and Nicobar Islands,8728,8474,17202,996,746,1742
Andhra Pradesh,1121378,1035910,2157288,0,0,0
Arunachal Pradesh,40471,42612,83083,8388,8379,16767
Assam,893069,951751,1844820,50840,49765,100605
Bihar,3819742,3876284,7696026,134785,127846,262631
Chandigarh,33845,29292,63137,3963,3033,6996
Chhattisgarh,691071,673261,1364332,53111,48033,101144
"Daman and Diu andDadra and Nagar Haveli",18500,16626,35126,3676,2985,6661
Delhi,580781,505337,1086118,38200,35044,73244
Goa,36516,34151,70667,2816,2505,5321
Gujarat,1552335,1362255,2914590,93613,79640,173253
Haryana,791744,650718,1442462,94520,68526,163046
Himachal Pradesh,171431,156156,327587,6259,4924,11183
Jammu and Kashmir,284574,257969,542543,17899,16545,34444
Jharkhand,1036242,1031667,2067909,93477,85285,178762
Karnataka,1591517,1510268,3101785,73596,51255,124851
Kerala,751887,724493,1476380,41119,37584,78703
Ladakh,5802,6090,11892,1108,1074,2182
Lakshadweep,1436,1233,2669,75,54,129
Madhya Pradesh,2107071,1931758,4038829,229919,206536,436455
Maharashtra,3013574,2658086,5671660,387554,316791,704345
Manipur,80250,78612,158862,7865,7470,15335
Meghalaya,117573,127272,244845,42263,42673,84936
Mizoram,34532,33515,68047,10050,9208,19258
Nagaland,47870,47994,95864,9902,10044,19946
Odisha,1147473,1029459,2176932,23445,5661,29106
Puducherry,31664,29155,60819,523,519,1042
Punjab,862639,714082,1576721,52270,37514,89784
Rajasthan,2236424,1928937,4165361,353531,309025,662556
Sikkim,14216,13601,27817,2926,2243,5169
Tamil Nadu,1605360,1517909,3123269,18,14,32
Telangana,914008,856043,1770051,89416,55651,145067
Tripura,89525,88223,177748,5508,5365,10873
Uttar Pradesh,5726094,5284900,11010994,557301,539379,1096680
Uttarakhand,307117,273125,580242,31811,26864,58675
West Bengal,2092675,2112140,4204815,200067,202121,402188
