"India/State/ UT",Total Schools,Number of schools having drinking water facility within school premises –others,"No. of otherschools nothaving drinkingwater facilitywithin schoolpremises","% of otherschools havingdrinking waterfacility withinschool premises",,,,,,
"",,"Any source ofdrinkingwater",Tap Water,Packed Water,Hand Pump,Well,"Unprotected Well","Othersources",,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
India,52039,48394,20545,715,23756,1258,203,1917,3645,93
Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,285,269,269,0,0,0,0,0,16,94.39
Arunachal Pradesh,51,50,34,0,8,3,2,3,1,98.04
Assam,7426,4846,228,44,3664,288,136,486,2580,65.26
Bihar,9246,9209,3988,119,5079,5,0,18,37,99.6
Chandigarh,27,27,27,0,0,0,0,0,0,100
Chhattisgarh,314,314,123,5,175,3,0,8,0,100
"Daman and Diu andDadra and Nagar Haveli",1,1,1,0,0,0,0,0,0,100
Delhi,0,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0,0
Gujarat,3,3,2,0,1,0,0,0,0,100
Haryana,949,949,802,9,40,23,0,75,0,100
Himachal Pradesh,1,1,1,0,0,0,0,0,0,100
Jammu and Kashmir,113,111,99,0,4,1,1,6,2,98.23
Jharkhand,6714,6633,2710,159,3330,207,12,215,81,98.79
Karnataka,17,17,15,0,0,1,0,1,0,100
Kerala,1029,1029,464,28,26,477,5,29,0,100
Ladakh,0,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,1834,1744,1136,35,300,22,4,247,90,95.09
Maharashtra,824,824,705,45,37,16,0,21,0,100
Manipur,163,157,50,14,10,11,2,70,6,96.32
Meghalaya,544,260,194,10,10,19,3,24,284,47.79
Mizoram,86,84,73,5,0,0,1,5,2,97.67
Nagaland,1,1,1,0,0,0,0,0,0,100
Odisha,1692,1525,914,33,537,21,0,20,167,90.13
Puducherry,0,0,0,0,0,0,0,0,0,0
Punjab,17,17,13,0,2,0,0,2,0,100
Rajasthan,2540,2454,1704,19,260,100,20,351,86,96.61
Sikkim,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,587,587,556,13,5,2,0,11,0,100
Telangana,179,179,135,14,13,1,0,16,0,100
Tripura,266,225,110,2,79,12,0,22,41,84.59
Uttar Pradesh,14977,14775,5189,57,9321,14,0,194,202,98.65
Uttarakhand,508,501,290,1,186,3,0,21,7,98.62
West Bengal,1645,1602,712,103,669,29,17,72,43,97.39
