"India/State /UT",Number of teachers by Gender and Classes Taught – All Types of Management,,,,,,,,,,,
"",Total,Pre-Primary Only,Pre-Primary & Primary,Primary Only,,,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,4749351,4947074,9696425,21442,98348,119790,174932,196197,371129,1571492,1966629,3538121
Andaman and Nicobar Islands,1909,3542,5451,49,158,207,17,80,97,582,1332,1914
Andhra Pradesh,162743,159444,322187,0,0,0,0,0,0,62121,77924,140045
Arunachal Pradesh,12624,11478,24102,19,118,137,190,312,502,4655,4784,9439
Assam,220931,149410,370341,184,911,1095,2856,3402,6258,85208,64655,149863
Bihar,360318,241201,601519,436,1351,1787,1283,2129,3412,97018,86448,183466
Chandigarh,1888,7834,9722,3,472,475,7,117,124,555,2158,2713
Chhattisgarh,137961,127367,265328,126,2001,2127,687,2516,3203,58780,56286,115066
"Daman and Diu andDadra and Nagar Haveli",1691,2969,4660,1,149,150,3,15,18,559,1323,1882
Delhi,39974,111959,151933,84,7491,7575,0,0,0,10076,42600,52676
Goa,2666,10818,13484,0,228,228,6,43,49,326,3854,4180
Gujarat,179757,209048,388805,120,2079,2199,428,2499,2927,67519,100734,168253
Haryana,91561,150844,242405,39,2408,2447,99,974,1073,29755,59764,89519
Himachal Pradesh,49777,53331,103108,42,1076,1118,299,996,1295,13773,16343,30116
Jammu and Kashmir,90119,82010,172129,392,2656,3048,2423,4502,6925,31208,30079,61287
Jharkhand,133158,87811,220969,115,1133,1248,659,1600,2259,58163,40139,98302
Karnataka,192390,261933,454323,49,2180,2229,188,1361,1549,34680,75237,109917
Kerala,57737,217235,274972,88,9666,9754,21,324,345,13532,74277,87809
Ladakh,3097,3078,6175,62,129,191,83,123,206,695,1117,1812
Lakshadweep,474,486,960,0,31,31,0,0,0,149,185,334
Madhya Pradesh,325338,283073,608411,518,4257,4775,1172,3821,4993,139288,104940,244228
Maharashtra,398644,368272,766916,124,3173,3297,729,2514,3243,150829,179135,329964
Manipur,20810,24411,45221,28,419,447,357,1376,1733,7881,10648,18529
Meghalaya,23600,32550,56150,70,434,504,889,2257,3146,8925,13922,22847
Mizoram,12872,10816,23688,13,120,133,68,137,205,3607,4452,8059
Nagaland,14474,17331,31805,38,266,304,309,523,832,5314,6849,12163
Odisha,193866,162108,355974,44,490,534,41,280,321,71540,72064,143604
Puducherry,3310,9478,12788,3,534,537,16,136,152,621,3671,4292
Punjab,67193,211881,279074,130,6109,6239,3015,11064,14079,15471,66948,82419
Rajasthan,455705,299968,755673,806,7599,8405,6872,11565,18437,119314,102247,221561
Sikkim,5761,8571,14332,56,792,848,35,140,175,2659,3926,6585
Tamil Nadu,142637,428743,571380,166,8402,8568,138,4415,4553,29020,168026,197046
Telangana,127879,192337,320216,201,4575,4776,1373,6959,8332,33381,68611,101992
Tripura,23947,12587,36534,58,142,200,179,242,421,11059,5162,16221
Uttar Pradesh,812575,675112,1487687,309,4803,5112,3548,7240,10788,379832,377547,757379
Uttarakhand,56072,67807,123879,48,1129,1177,214,983,1197,18029,32124,50153
West Bengal,323893,250231,574124,17021,20867,37888,146728,121552,268280,5368,7118,12486
