"India/State /UT",Number of teachers by Gender and Classes Taught – Government Aided,,,,,,,,
"",Primary & Upper Primary,Upper Primary Only,Upper Primary & Secondary,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22)
India,20842,14581,35423,95373,73851,169224,30959,20109,51068
Andaman and Nicobar Islands,0,1,1,1,8,9,2,10,12
Andhra Pradesh,16,20,36,977,960,1937,737,594,1331
Arunachal Pradesh,108,104,212,93,62,155,94,43,137
Assam,16,26,42,18501,6217,24718,401,131,532
Bihar,116,42,158,1164,495,1659,186,65,251
Chandigarh,7,14,21,1,9,10,14,70,84
Chhattisgarh,49,68,117,298,332,630,34,34,68
"Daman and Diu andDadra and Nagar Haveli",0,2,2,20,42,62,4,4,8
Delhi,0,0,0,318,991,1309,0,0,0
Goa,1,33,34,242,1023,1265,400,1308,1708
Gujarat,26,19,45,1035,1145,2180,2,0,2
Haryana,1,27,28,2,20,22,13,75,88
Himachal Pradesh,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,0,0,0,7,3,10,0,0,0
Jharkhand,308,286,594,839,763,1602,305,411,716
Karnataka,6690,4931,11621,532,584,1116,34,31,65
Kerala,52,164,216,8112,21874,29986,85,175,260
Ladakh,0,0,0,7,1,8,1,0,1
Lakshadweep,0,0,0,0,0,0,0,0,0
Madhya Pradesh,31,111,142,592,763,1355,29,50,79
Maharashtra,12491,7092,19583,37421,20973,58394,17343,7211,24554
Manipur,75,83,158,279,201,480,153,141,294
Meghalaya,5,13,18,2649,2297,4946,188,219,407
Mizoram,0,0,0,291,218,509,0,0,0
Nagaland,0,0,0,0,0,0,0,0,0
Odisha,53,20,73,2681,423,3104,2191,660,2851
Puducherry,17,122,139,14,48,62,47,171,218
Punjab,0,0,0,163,612,775,0,0,0
Rajasthan,0,0,0,0,0,0,0,0,0
Sikkim,3,4,7,30,26,56,11,10,21
Tamil Nadu,401,1002,1403,4042,8569,12611,3911,6757,10668
Telangana,65,155,220,90,233,323,185,494,679
Tripura,1,0,1,66,45,111,25,4,29
Uttar Pradesh,303,217,520,14145,4445,18590,4228,1115,5343
Uttarakhand,4,18,22,707,420,1127,272,242,514
West Bengal,3,7,10,54,49,103,64,84,148
