"India/State /UT",Pupil Teacher Ratio (PTR),,,
"","Primary(1 to 5)","UpperPrimary (6-8)","Secondary(9-10)","HigherSecondary(11-12)"
(1),(3),(4),(5),(6)
India,26,19,18,26
Andaman and Nicobar Islands,12,10,9,10
Andhra Pradesh,27,18,17,30
Arunachal Pradesh,13,9,11,16
Assam,21,14,11,17
Bihar,57,21,52,60
Chandigarh,26,15,12,27
Chhattisgarh,20,18,17,15
"Daman and Diu andDadra and Nagar Haveli",28,26,20,22
Delhi,33,31,29,20
Goa,27,17,10,18
Gujarat,30,24,32,26
Haryana,24,18,13,13
Himachal Pradesh,15,9,7,10
Jammu and Kashmir,15,9,12,26
Jharkhand,30,23,33,55
Karnataka,21,16,16,28
Kerala,27,20,15,21
Ladakh,10,4,7,13
Lakshadweep,12,9,8,12
Madhya Pradesh,26,17,26,32
Maharashtra,25,26,21,37
Manipur,13,10,9,15
Meghalaya,20,14,12,18
Mizoram,15,8,9,13
Nagaland,12,8,10,17
Odisha,16,15,18,62
Puducherry,18,14,10,15
Punjab,24,23,14,18
Rajasthan,26,13,11,16
Sikkim,7,9,10,11
Tamil Nadu,20,15,13,20
Telangana,20,13,10,28
Tripura,18,21,14,12
Uttar Pradesh,29,24,27,40
Uttarakhand,18,17,13,17
West Bengal,30,28,18,27
