"India/State /UT",Number of Schools – Government Aided,,,,,,,,,,
"",Total,Primary,Upper Primary,Secondary,Higher Secondary,,,,,,
"",,(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12),(11-12)
(1),(2),(3),(4),(5),( 6),(7),( 8),( 9),(10),( 11),( 12)
India,84295,18188,12175,10253,7321,8705,8207,5801,6918,4130,2597
Andaman and Nicobar Islands,2,0,0,0,0,0,0,2,0,0,0
Andhra Pradesh,2121,1285,250,6,6,424,0,0,1,0,149
Arunachal Pradesh,67,13,20,0,25,0,0,9,0,0,0
Assam,4983,1,4,3842,6,108,761,5,25,4,227
Bihar,735,40,352,27,66,97,82,4,25,37,5
Chandigarh,7,0,0,0,0,0,0,6,1,0,0
Chhattisgarh,430,209,43,68,9,1,1,24,42,33,0
"Daman and Diu andDadra and Nagar Haveli",8,0,0,0,5,0,0,1,2,0,0
Delhi,250,47,11,11,11,14,0,90,65,1,0
Goa,522,107,7,8,167,142,2,0,0,0,89
Gujarat,5640,68,169,295,1,12,1898,13,71,3079,34
Haryana,17,1,0,0,3,1,0,11,1,0,0
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,1,0,0,0,1,0,0,0,0,0,0
Jharkhand,1175,498,480,15,15,121,7,16,9,3,11
Karnataka,7182,201,2543,58,82,42,3386,12,8,249,601
Kerala,7191,3379,1805,570,93,290,103,112,565,269,5
Ladakh,29,25,3,0,1,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,773,318,137,44,10,3,23,67,83,88,0
Maharashtra,23924,3184,4230,0,6537,3919,24,4454,823,22,731
Manipur,585,399,69,27,33,38,15,1,0,0,3
Meghalaya,4176,2500,16,927,5,130,470,6,22,41,59
Mizoram,231,0,0,74,0,0,138,0,0,0,19
Nagaland,0,0,0,0,0,0,0,0,0,0,0
Odisha,5844,289,37,1552,13,2075,1246,0,1,0,631
Puducherry,33,3,0,0,18,0,0,12,0,0,0
Punjab,455,52,35,3,47,27,1,191,99,0,0
Rajasthan,0,0,0,0,0,0,0,0,0,0,0
Sikkim,19,6,2,0,1,2,0,4,4,0,0
Tamil Nadu,8326,5021,1474,33,27,560,3,83,1118,7,0
Telangana,700,289,125,0,47,209,0,0,0,0,30
Tripura,43,8,2,0,4,0,0,21,8,0,0
Uttar Pradesh,8125,190,349,2498,84,434,36,608,3658,267,1
Uttarakhand,614,10,10,194,2,48,11,40,267,30,2
West Bengal,87,45,2,1,2,8,0,9,20,0,0
