"India/State/ UT",New Admissions in Class 1 – Government Aided,,,,,,,,,,,
"",Total,Boys,Girls,,,,,,,,,
"","admitted inclass 1",with pre-school experience in,"admitted inclass 1",with pre-school experience in,"admitted inclass 1",with pre-school experience in,,,,,,
"",,"sameschool","anotherschool","anganwadi/ECCEcentre","sameschool","anotherschool","anganwadi/ECCEcentre","sameschool","anotherschool","anganwadi/ECCEcentre",,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,784062,301621,98440,82198,390634,149360,49060,42428,393428,152261,49380,39770
Andaman and Nicobar Islands,97,52,45,0,46,27,19,0,51,25,26,0
Andhra Pradesh,18345,2951,2782,7180,9133,1150,1266,3493,9212,1801,1516,3687
Arunachal Pradesh,1286,312,785,8,660,137,426,4,626,175,359,4
Assam,238,72,10,0,118,35,6,0,120,37,4,0
Bihar,6920,382,222,444,3485,262,178,233,3435,120,44,211
Chandigarh,421,286,110,0,214,142,53,0,207,144,57,0
Chhattisgarh,3283,532,132,905,1668,270,51,499,1615,262,81,406
"Daman and Diu andDadra and Nagar Haveli",187,52,96,0,111,31,59,0,76,21,37,0
Delhi,5304,1380,3505,335,2202,590,1451,157,3102,790,2054,178
Goa,11218,6139,2089,338,5621,3067,1049,159,5597,3072,1040,179
Gujarat,8393,1755,811,2940,4287,847,404,1504,4106,908,407,1436
Haryana,496,150,126,36,250,77,66,21,246,73,60,15
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,19,19,0,0,6,6,0,0,13,13,0,0
Jharkhand,17485,6476,1626,2673,8241,3067,755,1326,9244,3409,871,1347
Karnataka,54753,1734,628,1193,27619,828,311,615,27134,906,317,578
Kerala,167975,94392,30349,19156,84492,47501,15201,9992,83483,46891,15148,9164
Ladakh,83,10,31,9,64,10,28,8,19,0,3,1
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,3069,553,177,315,1546,281,87,144,1523,272,90,171
Maharashtra,300157,93826,40974,39480,151388,46537,20965,20695,148769,47289,20009,18785
Manipur,5548,679,1660,1784,2817,347,839,910,2731,332,821,874
Meghalaya,31822,24989,4886,1154,16362,12850,2491,619,15460,12139,2395,535
Mizoram,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,4014,147,3462,411,1998,80,1726,194,2016,67,1736,217
Puducherry,1324,848,347,22,526,372,87,13,798,476,260,9
Punjab,8883,7936,947,0,4498,4022,476,0,4385,3914,471,0
Rajasthan,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,76,12,2,0,38,5,0,0,38,7,2,0
Tamil Nadu,104456,53251,4,3056,50486,25435,1,1512,53970,27816,3,1544
Telangana,4669,4,1052,159,1776,0,475,61,2893,4,577,98
Tripura,1196,99,238,293,609,53,107,142,587,46,131,151
Uttar Pradesh,19613,1208,1094,260,9020,604,405,123,10593,604,689,137
Uttarakhand,803,241,117,22,310,119,25,1,493,122,92,21
West Bengal,1929,1134,133,25,1043,608,53,3,886,526,80,22
