"India/State/ UT",Enrolment of age group 11-13 years,,,,,
"",Upper Primary (1to 8),,Secondary (9-10),,,
"",Boys,Girls,Total,Boys,Girls,Total
(1),(44),(45),(46),(47),(48),(49)
India,27280090,25634765,52914855,3856234,3564292,7420526
Andaman and Nicobar Islands,6920,6881,13801,812,847,1659
Andhra Pradesh,1121378,1035910,2157288,0,0,0
Arunachal Pradesh,28313,30231,58544,3770,4002,7772
Assam,786237,841752,1627989,55992,60234,116226
Bihar,3145529,3221776,6367305,539428,526662,1066090
Chandigarh,27129,23742,50871,2753,2517,5270
Chhattisgarh,606753,593491,1200244,31207,31737,62944
"Daman and Diu andDadra and Nagar Haveli",14194,12993,27187,630,648,1278
Delhi,470731,420245,890976,71850,50048,121898
Goa,31687,29973,61660,2013,1673,3686
Gujarat,1308538,1158584,2467122,150184,124031,274215
Haryana,571050,462664,1033714,126174,119528,245702
Himachal Pradesh,137385,125592,262977,27787,25640,53427
Jammu and Kashmir,214853,195629,410482,51822,45795,97617
Jharkhand,867175,872801,1739976,75590,73581,149171
Karnataka,1392292,1316844,2709136,125629,142169,267798
Kerala,644931,619687,1264618,65837,67222,133059
Ladakh,4142,4358,8500,552,658,1210
Lakshadweep,1221,1095,2316,140,84,224
Madhya Pradesh,1708022,1577157,3285179,169130,148065,317195
Maharashtra,2459380,2184138,4643518,166640,157157,323797
Manipur,63224,62094,125318,9161,9048,18209
Meghalaya,72727,81254,153981,2583,3345,5928
Mizoram,23887,23587,47474,595,720,1315
Nagaland,36167,35937,72104,1801,2013,3814
Odisha,785618,705828,1491446,338410,317970,656380
Puducherry,24883,23515,48398,6258,5121,11379
Punjab,741854,622615,1364469,68515,53953,122468
Rajasthan,1654741,1435762,3090503,228152,184150,412302
Sikkim,10587,10608,21195,703,750,1453
Tamil Nadu,1221720,1133608,2355328,383622,384287,767909
Telangana,693489,643643,1337132,131103,156749,287852
Tripura,81941,81103,163044,2076,1755,3831
Uttar Pradesh,4325531,4060016,8385547,843262,685505,1528767
Uttarakhand,233742,210444,444186,41564,35817,77381
West Bengal,1762119,1769208,3531327,130489,140811,271300
