"India/State/ UT",Enrolment – All Types of Management,,,,,,,,,,,
"",Secondary (9-10),Higher Secondary (11-12),Primary to Higher Secondary (1-12),Total (Pre-Primary to Higher Secondary),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25)
India,20383068,18623307,39006375,13853957,13068639,26922596,131731830,122072631,253804461,137435039,127014948,264449987
Andaman and Nicobar Islands,6899,6245,13144,3951,4552,8503,33909,33117,67026,37434,36470,73904
Andhra Pradesh,699938,653283,1353221,447594,448140,895734,4264715,3943871,8208586,4371872,4039052,8410924
Arunachal Pradesh,22642,24189,46831,12421,13651,26072,161490,166096,327586,171934,175680,347614
Assam,476228,545790,1022018,219502,220345,439847,3511041,3610708,7121749,3749480,3832539,7582019
Bihar,1756057,1763914,3519971,959239,912435,1871674,13278541,12869403,26147944,13567954,13067462,26635416
Chandigarh,23250,19310,42560,21599,18888,40487,127351,110732,238083,139130,121408,260538
Chhattisgarh,456242,475030,931272,292236,341601,633837,2854652,2840060,5694712,2994633,2964398,5959031
"Daman and Diu andDadra and Nagar Haveli",9976,8725,18701,5648,6074,11722,64330,58911,123241,67236,61377,128613
Delhi,404481,357955,762436,287759,275708,563467,2230383,1997910,4228293,2358431,2118202,4476633
Goa,26831,23386,50217,19190,19644,38834,145398,136209,281607,156113,146010,302123
Gujarat,1032325,809118,1841443,535717,466078,1001795,6052544,5255450,11307994,6156492,5339349,11495841
Haryana,537284,426995,964279,373452,322537,695989,3072285,2529868,5602153,3187935,2620705,5808640
Himachal Pradesh,124667,109083,233750,105057,99416,204473,697944,635371,1333315,747625,679464,1427089
Jammu and Kashmir,179809,157978,337787,149205,127007,276212,1199328,1082441,2281769,1354407,1221951,2576358
Jharkhand,493591,508374,1001965,353128,349331,702459,3839631,3723575,7563206,4036707,3878483,7915190
Karnataka,989476,916740,1906216,581206,616710,1197916,5952125,5626300,11578425,6100839,5755897,11856736
Kerala,512557,488061,1000618,426175,445311,871486,2957625,2865454,5823079,3240299,3138772,6379071
Ladakh,3520,3870,7390,2754,3405,6159,23890,24719,48609,29441,29812,59253
Lakshadweep,1164,1080,2244,1030,1006,2036,6203,5828,12031,6750,6364,13114
Madhya Pradesh,1202941,1053461,2256402,762249,705182,1467431,8076593,7379652,15456245,8506740,7735628,16242368
Maharashtra,1996134,1729080,3725214,1483705,1314992,2798697,11617226,10297681,21914907,11934392,10577447,22511839
Manipur,45737,45334,91071,35617,34536,70153,329002,318834,647836,363216,350910,714126
Meghalaya,53179,64608,117787,25718,31065,56783,466351,492145,958496,578436,600290,1178726
Mizoram,19262,20775,40037,12080,12886,24966,135783,132788,268571,153213,149626,302839
Nagaland,27592,29044,56636,15310,16901,32211,184303,184185,368488,226175,223923,450098
Odisha,684742,640721,1325463,366094,376587,742681,3993163,3767335,7760498,4076193,3836395,7912588
Puducherry,21271,20236,41507,16810,18060,34870,123079,117459,240538,135066,128567,263633
Punjab,563801,452322,1016123,409347,348150,757497,3037836,2541985,5579821,3433529,2885519,6319048
Rajasthan,1440639,1172108,2612747,1073712,871432,1945144,9181434,7923212,17104646,9602734,8254723,17857457
Sikkim,11347,12152,23499,7406,9212,16618,59526,59163,118689,69453,68191,137644
Tamil Nadu,1050966,992426,2043392,823348,906431,1729779,6147975,5897518,12045493,6621165,6323336,12944501
Telangana,575553,546364,1121917,388503,394584,783087,3474370,3256734,6731104,3601536,3363017,6964553
Tripura,52692,55258,107950,32976,33882,66858,339905,337624,677529,355215,350788,706003
Uttar Pradesh,3344964,2734260,6079224,2546474,2116718,4663192,24151439,21841928,45993367,24381823,22022683,46404506
Uttarakhand,200603,178065,378668,158232,153353,311585,1230930,1103135,2334065,1281669,1144385,2426054
West Bengal,1334708,1577967,2912675,899513,1032829,1932342,8709530,8905230,17614760,9639772,9766125,19405897
