"India/State/ UT",Enrolment – Government,,,,,,,,,,,
"",Pre-Primary,Primary (1 to 5),Upper Primary (6-8),Elementary (1-8),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,1245883,1233033,2478916,34173798,34483548,68657346,17445726,18389575,35835301,51619524,52873123,104492647
Andaman and Nicobar Islands,1557,1594,3151,8282,8159,16441,6492,6482,12974,14774,14641,29415
Andhra Pradesh,21756,22500,44256,1095391,1082142,2177533,662097,676387,1338484,1757488,1758529,3516017
Arunachal Pradesh,3641,3667,7308,52601,55374,107975,27658,33595,61253,80259,88969,169228
Assam,110145,112138,222283,1318482,1354405,2672887,594466,675661,1270127,1912948,2030066,3943014
Bihar,67,72,139,5502023,5471223,10973246,2780835,3011383,5792218,8282858,8482606,16765464
Chandigarh,3395,3311,6706,26411,24856,51267,21926,19657,41583,48337,44513,92850
Chhattisgarh,1757,1500,3257,883663,885766,1769429,527744,545724,1073468,1411407,1431490,2842897
"Daman and Diu andDadra and Nagar Haveli",852,840,1692,19112,19156,38268,11915,11837,23752,31027,30993,62020
Delhi,45849,53156,99005,431364,451066,882430,340694,353929,694623,772058,804995,1577053
Goa,371,363,734,12267,11580,23847,4021,3905,7926,16288,15485,31773
Gujarat,2478,2838,5316,1627083,1609056,3236139,932869,926070,1858939,2559952,2535126,5095078
Haryana,2587,2946,5533,465251,489292,954543,273322,290771,564093,738573,780063,1518636
Himachal Pradesh,14085,14274,28359,145243,146051,291294,104567,104934,209501,249810,250985,500795
Jammu and Kashmir,34532,36147,70679,255284,268168,523452,148862,153855,302717,404146,422023,826169
Jharkhand,27454,27585,55039,1229563,1264132,2493695,649904,732944,1382848,1879467,1997076,3876543
Karnataka,7650,7598,15248,1166425,1240560,2406985,741925,798779,1540704,1908350,2039339,3947689
Kerala,68039,67011,135050,294579,284774,579353,194926,186224,381150,489505,470998,960503
Ladakh,2204,2278,4482,4139,4981,9120,2289,2987,5276,6428,7968,14396
Lakshadweep,547,536,1083,2707,2587,5294,1302,1155,2457,4009,3742,7751
Madhya Pradesh,8947,8757,17704,1978217,2053036,4031253,1212425,1286524,2498949,3190642,3339560,6530202
Maharashtra,37342,36750,74092,1988339,1972433,3960772,605499,628299,1233798,2593838,2600732,5194570
Manipur,4234,4283,8517,56611,57403,114014,18018,20112,38130,74629,77515,152144
Meghalaya,49457,47180,96637,131579,127663,259242,50863,55799,106662,182442,183462,365904
Mizoram,4907,4570,9477,33853,30915,64768,17283,16084,33367,51136,46999,98135
Nagaland,19310,19240,38550,33208,35832,69040,16831,20034,36865,50039,55866,105905
Odisha,10387,9655,20042,1332266,1334556,2666822,823409,814821,1638230,2155675,2149377,4305052
Puducherry,3540,3657,7197,14709,14835,29544,10479,10505,20984,25188,25340,50528
Punjab,172938,165608,338546,507642,481014,988656,345474,322774,668248,853116,803788,1656904
Rajasthan,1440,1315,2755,1985714,2118043,4103757,1088626,1170535,2259161,3074340,3288578,6362918
Sikkim,3036,2838,5874,12095,10723,22818,11417,11517,22934,23512,22240,45752
Tamil Nadu,37257,37282,74539,903549,899436,1802985,643419,661993,1305412,1546968,1561429,3108397
Telangana,1919,1816,3735,559851,583719,1143570,429596,457350,886946,989447,1041069,2030516
Tripura,1994,1808,3802,118785,122084,240869,73694,76598,150292,192479,198682,391161
Uttar Pradesh,4827,4723,9550,6302882,6361392,12664274,2092499,2247861,4340360,8395381,8609253,17004634
Uttarakhand,107,73,180,182564,189325,371889,106542,118969,225511,289106,308294,597400
West Bengal,535275,523124,1058399,3492064,3417811,6909875,1871838,1933521,3805359,5363902,5351332,10715234
