"India/State /UT",Number of teachers by Gender and Classes Taught – Government Aided,,,,,,,,,,,
"",Total,Pre-Primary Only,Pre-Primary & Primary,Primary Only,,,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,453709,354646,808355,87,4771,4858,498,1040,1538,48802,97261,146063
Andaman and Nicobar Islands,17,56,73,0,1,1,0,0,0,3,14,17
Andhra Pradesh,4050,3476,7526,0,0,0,0,0,0,1333,1253,2586
Arunachal Pradesh,556,431,987,0,1,1,2,5,7,100,165,265
Assam,25887,9484,35371,0,0,0,1,4,5,21,38,59
Bihar,2682,1062,3744,0,0,0,2,0,2,119,85,204
Chandigarh,46,234,280,0,3,3,0,3,3,1,37,38
Chhattisgarh,1304,1315,2619,3,2,5,3,4,7,433,513,946
"Daman and Diu andDadra and Nagar Haveli",77,128,205,0,3,3,1,5,6,3,23,26
Delhi,1236,3597,4833,0,20,20,0,0,0,85,882,967
Goa,1811,6659,8470,0,63,63,0,5,5,88,1406,1494
Gujarat,31225,14264,45489,2,10,12,7,19,26,351,741,1092
Haryana,54,356,410,0,0,0,0,2,2,3,114,117
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,8,9,17,0,0,0,0,0,0,1,5,6
Jharkhand,2627,2984,5611,0,7,7,3,9,12,647,1085,1732
Karnataka,30010,15563,45573,0,7,7,4,6,10,843,934,1777
Kerala,29851,86893,116744,30,4316,4346,0,28,28,7090,27744,34834
Ladakh,68,9,77,0,0,0,0,0,0,55,7,62
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2354,2436,4790,0,11,11,0,21,21,507,498,1005
Maharashtra,189002,104012,293014,13,55,68,157,135,292,26441,28610,55051
Manipur,1491,1143,2634,0,2,2,25,31,56,753,522,1275
Meghalaya,8252,9546,17798,13,128,141,173,536,709,2231,3579,5810
Mizoram,1161,655,1816,0,0,0,0,0,0,0,0,0
Nagaland,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,26502,6072,32574,0,0,0,0,0,0,584,267,851
Puducherry,149,781,930,0,33,33,1,5,6,15,252,267
Punjab,1376,3856,5232,0,8,8,8,23,31,126,986,1112
Rajasthan,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,105,138,243,0,8,8,1,1,2,24,46,70
Tamil Nadu,22219,55966,78185,0,29,29,0,0,0,4082,24141,28223
Telangana,949,2650,3599,2,7,9,10,52,62,280,1071,1351
Tripura,744,400,1144,0,0,0,0,0,0,119,63,182
Uttar Pradesh,64430,17795,82225,1,0,1,25,28,53,2429,2002,4431
Uttarakhand,3015,2124,5139,0,0,0,0,2,2,30,160,190
West Bengal,451,552,1003,23,57,80,75,116,191,5,18,23
