"India/State /UT",Number of Schools – all types of management,,,,,,,,,,
"",Total,Primary,Upper Primary,Secondary,Higher Secondary,,,,,,
"",,(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12),(11-12)
(1),(2),(3),(4),(5),( 6),(7),( 8),( 9),(10),( 11),( 12)
India,1509136,774742,341894,101034,73209,47499,31238,61661,36864,24885,16110
Andaman and Nicobar Islands,417,221,75,0,49,4,0,48,16,4,0
Andhra Pradesh,63343,39000,9016,144,2287,9827,0,257,286,0,2526
Arunachal Pradesh,3675,1923,1227,49,263,52,2,70,50,39,0
Assam,65203,43591,4155,7634,3263,2367,1926,453,714,190,910
Bihar,93459,42673,38190,262,2545,219,1106,2371,90,5542,461
Chandigarh,230,20,41,0,72,0,0,93,3,1,0
Chhattisgarh,56494,32766,3124,13329,802,24,1906,1558,157,2818,10
"Daman and Diu andDadra and Nagar Haveli",479,214,132,34,23,0,25,19,5,24,3
Delhi,5642,2629,824,32,258,99,0,1241,555,4,0
Goa,1481,895,51,9,183,224,4,11,2,0,102
Gujarat,54444,13639,27314,782,967,79,3776,1944,298,4861,784
Haryana,23764,9774,3014,2454,1919,1155,1,3119,2323,3,2
Himachal Pradesh,18145,11164,774,1948,796,936,1,614,1893,12,7
Jammu and Kashmir,28930,14856,9546,123,2750,361,33,631,149,477,4
Jharkhand,45319,23997,16299,62,2319,581,434,550,465,295,317
Karnataka,76905,24737,30666,434,5293,1148,8854,713,121,1054,3885
Kerala,16481,6959,3954,647,1425,364,159,1434,1004,475,60
Ladakh,1056,454,432,9,87,23,2,12,9,27,1
Lakshadweep,45,20,9,1,2,0,0,4,3,6,0
Madhya Pradesh,133271,67968,34659,12740,4902,836,2732,5481,1109,2832,12
Maharashtra,110114,51639,29855,115,10637,6106,984,6730,1256,165,2627
Manipur,4653,2426,973,40,850,85,26,140,35,10,68
Meghalaya,14694,9313,234,3320,157,240,1055,53,51,67,204
Mizoram,3925,1496,447,1082,10,8,684,3,6,1,188
Nagaland,2719,1156,763,22,456,122,3,131,51,1,14
Odisha,64185,30377,19238,2601,3736,3452,2331,206,292,0,1952
Puducherry,741,275,80,1,160,34,0,126,52,8,5
Punjab,28695,13813,2579,2650,2661,1722,3,2933,2083,63,188
Rajasthan,107376,39575,36126,212,10771,121,11,19751,653,154,2
Sikkim,1263,687,310,0,144,5,0,108,9,0,0
Tamil Nadu,58904,35580,9337,96,1943,3820,5,3711,4380,18,14
Telangana,42917,20725,7638,0,6632,5397,0,442,386,0,1697
Tripura,4934,2547,1228,2,681,7,0,399,70,0,0
Uttar Pradesh,256911,138145,45755,39815,3387,4430,4910,4926,9928,5587,28
Uttarakhand,23169,13756,2365,3118,289,835,265,656,1718,145,22
West Bengal,95153,75732,1464,7267,490,2816,0,723,6642,2,17
