"India/State/ UT",Enrolment of age group  < 6 years,,,,,,,,
"",All,Pre-Primary,Primary (1 to 5),,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(20),(21),(22),(23),(24),(25),(26),(27),(28)
India,9490299,8420182,17910481,5703209,4942317,10645526,3787090,3477865,7264955
Andaman and Nicobar Islands,3920,3761,7681,3525,3353,6878,395,408,803
Andhra Pradesh,480319,438333,918652,107157,95181,202338,373162,343152,716314
Arunachal Pradesh,18242,17226,35468,10444,9584,20028,7798,7642,15440
Assam,302640,283073,585713,238439,221831,460270,64201,61242,125443
Bihar,502215,379658,881873,289413,198059,487472,212802,181599,394401
Chandigarh,13810,12524,26334,11779,10676,22455,2031,1848,3879
Chhattisgarh,171044,153081,324125,139981,124338,264319,31063,28743,59806
"Daman and Diu andDadra and Nagar Haveli",3261,2822,6083,2906,2466,5372,355,356,711
Delhi,211744,194288,406032,128048,120292,248340,83696,73996,157692
Goa,12040,11043,23083,10715,9801,20516,1325,1242,2567
Gujarat,329452,289412,618864,103948,83899,187847,225504,205513,431017
Haryana,272220,238548,510768,115650,90837,206487,156570,147711,304281
Himachal Pradesh,84464,76413,160877,49681,44093,93774,34783,32320,67103
Jammu and Kashmir,244602,221518,466120,155079,139510,294589,89523,82008,171531
Jharkhand,270338,216498,486836,197076,154908,351984,73262,61590,134852
Karnataka,272060,256482,528542,148714,129597,278311,123346,126885,250231
Kerala,359266,348255,707521,282674,273318,555992,76592,74937,151529
Ladakh,6516,6063,12579,5551,5093,10644,965,970,1935
Lakshadweep,547,536,1083,547,536,1083,0,0,0
Madhya Pradesh,641260,547538,1188798,430147,355976,786123,211113,191562,402675
Maharashtra,357055,315580,672635,317166,279766,596932,39889,35814,75703
Manipur,52553,49327,101880,34214,32076,66290,18339,17251,35590
Meghalaya,126943,122437,249380,112085,108145,220230,14858,14292,29150
Mizoram,20969,20120,41089,17430,16838,34268,3539,3282,6821
Nagaland,45393,43143,88536,41872,39738,81610,3521,3405,6926
Odisha,245158,228100,473258,83030,69060,152090,162128,159040,321168
Puducherry,18842,17289,36131,11987,11108,23095,6855,6181,13036
Punjab,408305,354789,763094,395693,343534,739227,12612,11255,23867
Rajasthan,790720,659449,1450169,421300,331511,752811,369420,327938,697358
Sikkim,10896,10004,20900,9927,9028,18955,969,976,1945
Tamil Nadu,831657,771134,1602791,473190,425818,899008,358467,345316,703783
Telangana,265997,252372,518369,127166,106283,233449,138831,146089,284920
Tripura,16680,14480,31160,15310,13164,28474,1370,1316,2686
Uttar Pradesh,1022525,874300,1896825,230384,180755,411139,792141,693545,1485686
Uttarakhand,97761,83014,180775,50739,41250,91989,47022,41764,88786
West Bengal,978885,907572,1886457,930242,860895,1791137,48643,46677,95320
