"India/State/ UT",Enrolment – Government Aided,,,,,,,,,,,
"",Pre-Primary,Primary (1 to 5),Upper Primary (6-8),Elementary (1-8),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,200297,198898,399195,2694387,2666447,5360834,3822738,3645346,7468084,6517125,6311793,12828918
Andaman and Nicobar Islands,21,20,41,258,260,518,235,231,466,493,491,984
Andhra Pradesh,987,1047,2034,48656,50214,98870,27714,31230,58944,76370,81444,157814
Arunachal Pradesh,325,287,612,4898,4900,9798,2903,2562,5465,7801,7462,15263
Assam,240,263,503,1181,1305,2486,140498,158526,299024,141679,159831,301510
Bihar,348,70,418,24602,25756,50358,26433,30681,57114,51035,56437,107472
Chandigarh,152,158,310,1076,1105,2181,788,784,1572,1864,1889,3753
Chhattisgarh,321,295,616,14444,13693,28137,10223,10061,20284,24667,23754,48421
"Daman and Diu andDadra and Nagar Haveli",0,0,0,894,668,1562,1297,1067,2364,2191,1735,3926
Delhi,507,495,1002,17922,22450,40372,26294,22392,48686,44216,44842,89058
Goa,6625,6136,12761,36265,35199,71464,30808,28709,59517,67073,63908,130981
Gujarat,732,692,1424,27293,24921,52214,50561,41054,91615,77854,65975,143829
Haryana,200,180,380,1605,1548,3153,1378,1332,2710,2983,2880,5863
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,16,13,29,44,50,94,25,21,46,69,71,140
Jharkhand,4485,4746,9231,69257,76744,146001,43703,51949,95652,112960,128693,241653
Karnataka,1978,1895,3873,188659,180744,369403,205336,193178,398514,393995,373922,767917
Kerala,90791,89978,180769,474340,471350,945690,365105,357827,722932,839445,829177,1668622
Ladakh,16,17,33,411,126,537,134,77,211,545,203,748
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,698,566,1264,19412,19831,39243,12415,11821,24236,31827,31652,63479
Maharashtra,56541,56516,113057,1191317,1103096,2294413,1654232,1490821,3145053,2845549,2593917,5439466
Manipur,504,512,1016,8612,8461,17073,3254,3407,6661,11866,11868,23734
Meghalaya,29058,28178,57236,70380,70183,140563,46032,53022,99054,116412,123205,239617
Mizoram,0,0,0,866,892,1758,2683,2863,5546,3549,3755,7304
Nagaland,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,164,122,286,12662,12459,25121,77905,72760,150665,90567,85219,175786
Puducherry,492,754,1246,3439,5644,9083,2937,4679,7616,6376,10323,16699
Punjab,1160,1341,2501,27276,26154,53430,27278,23032,50310,54554,49186,103740
Rajasthan,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,91,135,226,391,619,1010,440,770,1210,831,1389,2220
Tamil Nadu,1392,1275,2667,311120,331389,642509,321692,339751,661443,632812,671140,1303952
Telangana,647,1055,1702,16591,24390,40981,10123,16396,26519,26714,40786,67500
Tripura,69,63,132,3650,3257,6907,4100,2790,6890,7750,6047,13797
Uttar Pradesh,358,245,603,106761,137384,244145,696923,663237,1360160,803684,800621,1604305
Uttarakhand,179,194,373,2342,4405,6747,23630,23575,47205,25972,27980,53952
West Bengal,1200,1650,2850,7763,7250,15013,5659,4741,10400,13422,11991,25413
