"India/State/ UT",Enrolment of age group >17 years,,,,,
"",Secondary (9-10),Higher Secondary (11-12),,,,
"",Boys,Girls,Total,Boys,Girls,Total
(1),(89),(90),(91),(92),(93),(94)
India,263057,228606,491663,2648176,2324580,4972756
Andaman and Nicobar Islands,255,135,390,878,828,1706
Andhra Pradesh,0,0,0,0,0,0
Arunachal Pradesh,653,763,1416,2979,3124,6103
Assam,5470,6036,11506,51902,50634,102536
Bihar,12190,12521,24711,124194,122729,246923
Chandigarh,275,152,427,4095,2939,7034
Chhattisgarh,5818,5297,11115,79256,88874,168130
"Daman and Diu andDadra and Nagar Haveli",213,118,331,1531,1333,2864
Delhi,4575,5721,10296,50747,63966,114713
Goa,355,176,531,5299,4719,10018
Gujarat,6580,4196,10776,81571,65603,147174
Haryana,10914,6343,17257,66366,49473,115839
Himachal Pradesh,661,541,1202,13965,12179,26144
Jammu and Kashmir,1645,1482,3127,34739,28749,63488
Jharkhand,8005,9017,17022,90631,93285,183916
Karnataka,3414,1887,5301,93271,79075,172346
Kerala,934,884,1818,58228,55818,114046
Ladakh,114,114,228,1281,1115,2396
Lakshadweep,0,0,0,44,104,148
Madhya Pradesh,29581,23930,53511,204419,187144,391563
Maharashtra,32001,18624,50625,448947,352723,801670
Manipur,259,252,511,4746,4017,8763
Meghalaya,3986,4794,8780,10850,13515,24365
Mizoram,1004,949,1953,4642,4846,9488
Nagaland,1249,1214,2463,5572,5391,10963
Odisha,0,0,0,33649,25738,59387
Puducherry,37,97,134,1545,1436,2981
Punjab,852,545,1397,86845,56308,143153
Rajasthan,46409,36630,83039,262841,213399,476240
Sikkim,890,938,1828,3282,3901,7183
Tamil Nadu,0,0,0,13535,9172,22707
Telangana,4321,2600,6921,162833,123527,286360
Tripura,447,401,848,6981,6771,13752
Uttar Pradesh,63605,54242,117847,455085,378018,833103
Uttarakhand,3364,2774,6138,28648,28511,57159
West Bengal,12981,25233,38214,152779,185616,338395
