"India/State/ UT",Enrolment of age group - All ages,,,,,,,,
"",Upper Primary (1to 8),Secondary (9-10),Higher Secondary (11-12),,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(11),(12),(13),(14),(15),(16),(17),(18),(19)
India,33965154,31889045,65854199,20383068,18623307,39006375,13853957,13068639,26922596
Andaman and Nicobar Islands,9031,8928,17959,6899,6245,13144,3951,4552,8503
Andhra Pradesh,1121378,1035910,2157288,699938,653283,1353221,447594,448140,895734
Arunachal Pradesh,41267,44320,85587,22642,24189,46831,12421,13651,26072
Assam,941722,1011924,1953646,476228,545790,1022018,219502,220345,439847
Bihar,3475667,3552349,7028016,1756057,1763914,3519971,959239,912435,1871674
Chandigarh,34199,29625,63824,23250,19310,42560,21599,18888,40487
Chhattisgarh,745791,727096,1472887,456242,475030,931272,292236,341601,633837
"Daman and Diu andDadra and Nagar Haveli",18086,16353,34439,9976,8725,18701,5648,6074,11722
Delhi,612766,540492,1153258,404481,357955,762436,287759,275708,563467
Goa,37097,34680,71777,26831,23386,50217,19190,19644,38834
Gujarat,1636748,1445579,3082327,1032325,809118,1841443,535717,466078,1001795
Haryana,794337,648976,1443313,537284,426995,964279,373452,322537,695989
Himachal Pradesh,177686,162206,339892,124667,109083,233750,105057,99416,204473
Jammu and Kashmir,301755,275000,576755,179809,157978,337787,149205,127007,276212
Jharkhand,1023517,1031686,2055203,493591,508374,1001965,353128,349331,702459
Karnataka,1622911,1535279,3158190,989476,916740,1906216,581206,616710,1197916
Kerala,761333,729084,1490417,512557,488061,1000618,426175,445311,871486
Ladakh,5923,6155,12078,3520,3870,7390,2754,3405,6159
Lakshadweep,1302,1155,2457,1164,1080,2244,1030,1006,2036
Madhya Pradesh,2228271,2046802,4275073,1202941,1053461,2256402,762249,705182,1467431
Maharashtra,3107096,2739490,5846586,1996134,1729080,3725214,1483705,1314992,2798697
Manipur,78642,77141,155783,45737,45334,91071,35617,34536,70153
Meghalaya,114362,128055,242417,53179,64608,117787,25718,31065,56783
Mizoram,35362,34158,69520,19262,20775,40037,12080,12886,24966
Nagaland,49065,49404,98469,27592,29044,56636,15310,16901,32211
Odisha,1107699,1034862,2142561,684742,640721,1325463,366094,376587,742681
Puducherry,32513,30440,62953,21271,20236,41507,16810,18060,34870
Punjab,793511,662673,1456184,563801,452322,1016123,409347,348150,757497
Rajasthan,2264719,1962198,4226917,1440639,1172108,2612747,1073712,871432,1945144
Sikkim,15780,15487,31267,11347,12152,23499,7406,9212,16618
Tamil Nadu,1601099,1509666,3110765,1050966,992426,2043392,823348,906431,1729779
Telangana,928336,866417,1794753,575553,546364,1121917,388503,394584,783087
Tripura,92938,91326,184264,52692,55258,107950,32976,33882,66858
Uttar Pradesh,5732984,5391750,11124734,3344964,2734260,6079224,2546474,2116718,4663192
Uttarakhand,313092,281109,594201,200603,178065,378668,158232,153353,311585
West Bengal,2107169,2131270,4238439,1334708,1577967,2912675,899513,1032829,1932342
