"India/State /UT",Number of teachers by Gender and Classes Taught – Government Aided,,,,,,,,
"",Secondary Only,Secondary & Higher Secondary,Higher Secondary Only,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(23),(24),(25),(26),(27),(28),(29),(30),(31)
India,166613,84705,251318,10518,5495,16013,80017,52833,132850
Andaman and Nicobar Islands,4,6,10,2,0,2,5,16,21
Andhra Pradesh,78,86,164,0,0,0,909,563,1472
Arunachal Pradesh,99,37,136,40,10,50,20,4,24
Assam,5058,2101,7159,40,7,47,1849,960,2809
Bihar,860,271,1131,115,52,167,120,52,172
Chandigarh,3,14,17,7,30,37,13,54,67
Chhattisgarh,161,96,257,162,153,315,161,113,274
"Daman and Diu andDadra and Nagar Haveli",25,27,52,1,0,1,23,22,45
Delhi,295,735,1030,0,0,0,538,969,1507
Goa,531,1561,2092,0,0,0,549,1260,1809
Gujarat,18286,6561,24847,912,390,1302,10604,5379,15983
Haryana,4,34,38,17,47,64,14,37,51
Himachal Pradesh,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,0,1,1,0,0,0,0,0,0
Jharkhand,326,332,658,29,16,45,170,75,245
Karnataka,17772,7125,24897,99,29,128,4036,1916,5952
Kerala,8830,21234,30064,27,59,86,5625,11299,16924
Ladakh,5,1,6,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0
Madhya Pradesh,601,427,1028,160,160,320,434,395,829
Maharashtra,63585,23952,87537,1199,536,1735,30352,15448,45800
Manipur,144,125,269,8,2,10,54,36,90
Meghalaya,2525,2114,4639,63,73,136,405,587,992
Mizoram,682,292,974,0,0,0,188,145,333
Nagaland,0,0,0,0,0,0,0,0,0
Odisha,17614,3199,20813,0,0,0,3379,1503,4882
Puducherry,16,65,81,13,22,35,26,63,89
Punjab,571,1175,1746,0,0,0,508,1052,1560
Rajasthan,0,0,0,0,0,0,0,0,0
Sikkim,15,24,39,3,6,9,18,13,31
Tamil Nadu,3903,6799,10702,1490,2038,3528,4390,6631,11021
Telangana,173,432,605,0,0,0,144,206,350
Tripura,213,98,311,39,11,50,281,179,460
Uttar Pradesh,23253,5176,28429,5646,1484,7130,14400,3328,17728
Uttarakhand,889,534,1423,359,266,625,754,482,1236
West Bengal,92,71,163,87,104,191,48,46,94
