"India/State /UT",Number of Teachers in Private Unaided Recognized Schools,,,,,,,,,,
"",Total,Primary,Upper Primary,Secondary,Higher Secondary,,,,,,
"",,(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12),(11-12)
(1),(2),(3),(4),(5),( 6),(7),( 8),( 9),(10),( 11),( 12)
India,3647674,510641,929701,76376,713621,84870,52214,1015033,86237,76638,102343
Andaman and Nicobar Islands,1075,212,243,0,136,0,0,484,0,0,0
Andhra Pradesh,127549,26528,25384,620,22459,33656,0,200,0,0,18702
Arunachal Pradesh,5967,1093,2800,0,1475,0,0,567,0,32,0
Assam,89762,8138,21223,456,43351,685,1333,8996,498,582,4500
Bihar,113864,5249,61091,70,11007,522,4358,23015,255,1612,6685
Chandigarh,3952,116,183,0,609,0,0,2990,54,0,0
Chhattisgarh,85636,10318,28033,416,10960,96,191,33500,638,1469,15
"Daman and Diu andDadra and Nagar Haveli",1453,155,165,0,380,0,0,753,0,0,0
Delhi,64761,6628,11016,33,5740,71,0,40868,329,76,0
Goa,1893,855,90,10,400,34,0,470,0,0,34
Gujarat,144525,6570,62133,1305,11377,128,3357,43965,753,11678,3259
Haryana,137915,4667,23429,33,23680,190,0,84849,1014,30,23
Himachal Pradesh,34609,2741,6666,0,10176,0,8,14629,184,134,71
Jammu and Kashmir,69689,11255,20919,0,24427,0,7,12851,54,146,30
Jharkhand,35115,160,2315,47,9208,2959,788,16396,129,29,3084
Karnataka,200527,14692,48942,548,78262,650,12547,18069,257,1017,25543
Kerala,72414,3816,6991,121,21968,225,153,37309,974,451,406
Ladakh,1586,184,576,0,604,16,0,206,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,291841,15275,141427,195,41780,264,855,87332,1336,3293,84
Maharashtra,219168,30407,51538,353,58501,11055,3425,44024,4534,1268,14063
Manipur,21937,480,4639,45,11284,55,76,3965,96,91,1206
Meghalaya,12454,4325,1568,554,1734,208,1979,903,89,225,869
Mizoram,7910,1162,4176,351,107,10,1228,0,0,11,865
Nagaland,12415,875,1876,0,5221,10,0,4198,19,0,216
Odisha,79933,9415,42227,517,14220,1158,744,7081,90,0,4481
Puducherry,7143,312,396,0,1947,0,0,4430,33,0,25
Punjab,150873,5803,23243,6,39273,63,9,79375,396,709,1996
Rajasthan,350221,15597,113501,50,72463,438,54,143312,3848,939,19
Sikkim,3753,1428,1440,0,479,0,0,406,0,0,0
Tamil Nadu,259191,50778,10161,29,39260,1230,0,150933,6551,84,165
Telangana,177712,4248,36190,0,115680,2751,0,3169,15,0,15659
Tripura,6061,1330,1267,0,1730,10,0,1724,0,0,0
Uttar Pradesh,705775,205026,141971,66388,23052,26943,20945,107526,61298,52421,205
Uttarakhand,57176,9787,20648,1007,4540,398,157,18561,1692,332,54
West Bengal,91819,51016,11234,3222,6131,1045,0,17977,1101,9,84
