"India/State/ UT",Total Schools,Number of schools having drinking water facility within school premises – Government aided,"No. of Govt.aided schools nothaving drinkingwater facilitywithin schoolpremises","% of Govt. aidedschools havingdrinking waterfacility withinschool premises",,,,,,
"","Any source ofdrinkingwater",Tap Water,Packed Water,Hand Pump,Well,"UnprotectedWell","Othersources",,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
India,84295,81308,53222,730,17017,6053,263,4023,2987,96.46
Andaman and Nicobar Islands,2,2,2,0,0,0,0,0,0,100
Andhra Pradesh,2121,2060,2060,0,0,0,0,0,61,97.12
Arunachal Pradesh,67,65,60,0,1,1,0,3,2,97.01
Assam,4983,4369,334,10,3502,249,66,208,614,87.68
Bihar,735,733,162,5,561,0,0,5,2,99.73
Chandigarh,7,7,7,0,0,0,0,0,0,100
Chhattisgarh,430,429,225,4,194,5,0,1,1,99.77
"Daman and Diu andDadra and Nagar Haveli",8,8,8,0,0,0,0,0,0,100
Delhi,250,250,250,0,0,0,0,0,0,100
Goa,522,522,518,0,0,3,0,1,0,100
Gujarat,5640,5640,4710,88,447,181,9,205,0,100
Haryana,17,17,17,0,0,0,0,0,0,100
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,1,1,1,0,0,0,0,0,0,100
Jharkhand,1175,1157,313,2,776,30,2,34,18,98.47
Karnataka,7182,7179,6630,76,174,142,5,152,3,99.96
Kerala,7191,7185,2888,37,131,3863,25,241,6,99.92
Ladakh,29,29,15,0,10,0,0,4,0,100
Lakshadweep,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,773,737,353,3,282,20,2,77,36,95.34
Maharashtra,23924,23909,18047,171,2383,1231,27,2050,15,99.94
Manipur,585,548,74,55,22,25,0,372,37,93.68
Meghalaya,4176,2170,1534,22,83,214,120,197,2006,51.96
Mizoram,231,230,173,2,0,0,1,54,1,99.57
Nagaland,0,0,0,0,0,0,0,0,0,0
Odisha,5844,5747,2069,29,3597,34,4,14,97,98.34
Puducherry,33,33,33,0,0,0,0,0,0,100
Punjab,455,455,399,0,12,1,0,43,0,100
Rajasthan,0,0,0,0,0,0,0,0,0,0
Sikkim,19,19,19,0,0,0,0,0,0,100
Tamil Nadu,8326,8326,7833,140,133,33,1,186,0,100
Telangana,700,700,555,36,36,5,0,68,0,100
Tripura,43,41,30,0,6,3,0,2,2,95.35
Uttar Pradesh,8125,8055,3322,42,4586,10,0,95,70,99.14
Uttarakhand,614,599,512,4,71,2,0,10,15,97.56
West Bengal,87,86,69,4,10,1,1,1,1,98.85
