"India/State /UT",Number of teachers by Gender and Classes Taught – All Types of Management,,,,,,,,
"",Primary & Upper Primary,Upper Primary Only,Upper Primary & Secondary,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22)
India,320975,417857,738832,1111960,1034219,2146179,330292,276568,606860
Andaman and Nicobar Islands,80,144,224,322,592,914,240,393,633
Andhra Pradesh,1230,2068,3298,33326,35664,68990,27669,20441,48110
Arunachal Pradesh,1946,1559,3505,2694,2580,5274,655,445,1100
Assam,8141,9282,17423,57777,28646,86423,22275,15433,37708
Bihar,34026,19430,53456,163035,109717,272752,6384,2906,9290
Chandigarh,123,555,678,228,912,1140,525,1954,2479
Chhattisgarh,5470,10515,15985,35617,24675,60292,2483,3340,5823
"Daman and Diu andDadra and Nagar Haveli",61,110,171,438,667,1105,25,43,68
Delhi,0,0,0,10750,26533,37283,0,0,0
Goa,26,152,178,384,1407,1791,546,1685,2231
Gujarat,3304,7651,10955,53120,61659,114779,1492,2088,3580
Haryana,2825,10203,13028,19279,25648,44927,9417,12906,22323
Himachal Pradesh,1054,4132,5186,9123,8480,17603,8323,8296,16619
Jammu and Kashmir,1734,2592,4326,32125,26742,58867,1089,954,2043
Jharkhand,17425,9434,26859,33145,20293,53438,4409,3502,7911
Karnataka,59005,83852,142857,12883,27271,40154,3286,5362,8648
Kerala,554,3821,4375,13810,50980,64790,691,3086,3777
Ladakh,274,108,382,1075,1063,2138,150,66,216
Lakshadweep,51,46,97,53,55,108,25,31,56
Madhya Pradesh,15247,18466,33713,103066,100661,203727,5241,6085,11326
Maharashtra,20212,23089,43301,77682,61116,138798,22582,16658,39240
Manipur,2180,2616,4796,3202,3154,6356,2008,1722,3730
Meghalaya,314,730,1044,7694,8105,15799,426,668,1094
Mizoram,358,374,732,4963,3390,8353,32,17,49
Nagaland,861,1332,2193,4542,4545,9087,626,612,1238
Odisha,39873,41268,81141,26710,18751,45461,10787,9310,20097
Puducherry,200,928,1128,316,801,1117,728,1459,2187
Punjab,0,0,0,13836,49524,63360,0,0,0
Rajasthan,46039,37554,83593,92814,60233,153047,67958,31379,99337
Sikkim,88,140,228,1157,1535,2692,333,396,729
Tamil Nadu,10053,51667,61720,23392,55213,78605,23769,46728,70497
Telangana,12087,28362,40449,9775,19434,29209,35567,32670,68237
Tripura,461,293,754,4485,2039,6524,901,424,1325
Uttar Pradesh,30720,36248,66968,204467,151358,355825,20926,15204,36130
Uttarakhand,1491,4286,5777,10708,12019,22727,3663,3256,6919
West Bengal,3462,4850,8312,43967,28757,72724,45061,27049,72110
