"India/State/ UT",Enrolment of age group 14-15 years,,,,,
"",Secondary (9-10),Higher Secondary (11-12),,,,
"",Boys,Girls,Total,Boys,Girls,Total
(1),(59),(60),(61),(62),(63),(64)
India,13392206,12280374,25672580,2344416,2226072,4570488
Andaman and Nicobar Islands,4273,4040,8313,416,582,998
Andhra Pradesh,699938,653283,1353221,0,0,0
Arunachal Pradesh,13448,14356,27804,2227,2652,4879
Assam,349785,400778,750563,19185,20036,39221
Bihar,1064140,1076241,2140381,330292,314066,644358
Chandigarh,16001,13525,29526,2310,2256,4566
Chhattisgarh,304721,320393,625114,20856,24125,44981
"Daman and Diu andDadra and Nagar Haveli",6560,6047,12607,515,743,1258
Delhi,258822,231344,490166,54277,38661,92938
Goa,19621,17783,37404,1677,1804,3481
Gujarat,735458,579248,1314706,71213,64989,136202
Haryana,312499,242667,555166,88649,88087,176736
Himachal Pradesh,83165,72724,155889,21481,21731,43212
Jammu and Kashmir,104622,91479,196101,28569,24247,52816
Jharkhand,330073,336899,666972,52720,48711,101431
Karnataka,782148,721848,1503996,59794,76176,135970
Kerala,402675,383030,785705,45103,49120,94223
Ladakh,2087,2260,4347,168,267,435
Lakshadweep,985,926,1911,41,40,81
Madhya Pradesh,730129,645264,1375393,113596,104972,218568
Maharashtra,1300140,1150875,2451015,105832,105339,211171
Manipur,32874,32527,65401,5247,5118,10365
Meghalaya,28575,33955,62530,854,1084,1938
Mizoram,10238,11230,21468,911,978,1889
Nagaland,17702,18452,36154,1292,1455,2747
Odisha,340767,317846,658613,630,283,913
Puducherry,13648,13750,27398,3954,3981,7935
Punjab,487242,393394,880636,19444,16324,35768
Rajasthan,831179,679036,1510215,195921,158215,354136
Sikkim,5673,6171,11844,405,669,1074
Tamil Nadu,667344,608137,1275481,303870,350447,654317
Telangana,367514,343031,710545,5928,13572,19500
Tripura,41660,44076,85736,1267,1256,2523
Uttar Pradesh,1922704,1568780,3491484,652812,542347,1195159
Uttarakhand,122562,109538,232100,33930,31993,65923
West Bengal,981234,1135441,2116675,99030,109746,208776
