"India/State /UT",Number of Teachers in Government Schools,,,,,,,,,,
"",Total,Primary,Upper Primary,Secondary,Higher Secondary,,,,,,
"",,(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12),(11-12)
(1),(2),(3),(4),(5),( 6),(7),( 8),( 9),(10),( 11),( 12)
India,4947608,1958385,1094788,379645,195593,296057,83924,302010,465049,149418,22739
Andaman and Nicobar Islands,4335,675,731,10,751,50,0,1465,495,158,0
Andhra Pradesh,186086,76179,25645,0,6011,71907,0,1041,2030,0,3273
Arunachal Pradesh,16566,3763,6792,430,2228,564,8,846,1027,908,0
Assam,225216,105393,20690,19440,16479,30403,4005,5204,16243,479,6880
Bihar,410444,131962,203045,1907,19260,420,4294,13524,794,34370,868
Chandigarh,5105,68,304,0,2053,0,0,2625,30,25,0
Chhattisgarh,178829,83568,761,48563,449,37,8712,2162,533,33973,71
Dadra and Nagar Haveli,2143,379,1198,3,10,0,117,35,22,357,22
Daman and Diu,853,247,33,215,17,0,99,0,37,200,5
Delhi,82433,20112,46,374,707,2505,0,33418,25209,62,0
Goa,3212,1543,301,0,0,935,7,144,143,0,139
Gujarat,207365,26881,170021,1699,267,348,2652,1076,1549,2286,586
Haryana,98992,37906,73,10504,49,10671,0,1216,38482,91,0
Himachal Pradesh,67574,22735,51,6391,88,6610,0,804,30895,0,0
Jammu and Kashmir,104184,25676,41786,678,14661,4305,352,3719,2428,10526,53
Jharkhand,118100,41296,53850,102,12356,435,1079,2990,2727,2617,648
Karnataka,241622,47626,131522,480,7231,5106,31013,752,1111,12740,4041
Kerala,66549,12237,11136,485,3979,662,381,15159,16657,5754,99
Ladakh,4497,753,2183,53,618,257,22,75,75,442,19
Lakshadweep,1059,181,316,0,51,0,0,157,226,128,0
Madhya Pradesh,323475,189398,107,72713,204,1300,17094,1783,738,40138,0
Maharashtra,257939,104535,130246,33,11306,2179,936,7150,1214,50,290
Manipur,19307,8704,3797,118,2990,981,0,765,911,832,209
Meghalaya,23629,12883,73,8673,279,658,8,362,582,27,84
Mizoram,12911,4481,41,5833,26,35,1891,62,50,0,492
Nagaland,19886,6282,7095,208,2428,2071,51,138,1575,32,6
Odisha,225473,75448,89065,4769,31878,13182,6403,1233,2174,0,1321
Puducherry,4845,1373,531,15,638,525,0,158,1362,175,68
Punjab,116932,39275,97,11605,470,17878,0,4119,43108,27,353
Rajasthan,382689,61847,113675,754,37277,617,0,161792,5553,1174,0
Sikkim,10252,2348,2293,0,2283,27,0,3218,83,0,0
Tamil Nadu,225022,60497,48030,152,490,31931,10,2240,81630,42,0
Telangana,141343,48102,18183,0,6899,56292,0,3841,4990,0,3036
Tripura,38986,7955,9426,6,9500,75,0,10558,1466,0,0
Uttar Pradesh,588074,410091,898,153116,1030,143,3680,11978,6205,925,8
Uttarakhand,58724,24313,85,8014,103,4992,1110,1411,17760,880,56
West Bengal,472957,261673,662,22302,527,27956,0,4790,154935,0,112
