"","Table 3.5: Enrolment of students by school management and level of school education, 2018-19",,,,,,,,,,,,,,,,,,,,,,
"India/State /UT",,Enrolment – Other Schools,,,,,,,,,,,,,,,,,,,,,
"",,,Total,,Pre- Primary,"Primary(1 to 5)",,Upper,,"Elementary(1-8)","Secondary(9-10)",,Higher,,,,,,,,,,
"",,Primary,Elementary,Secondary,,,,,,,,,,,,,,,,,,,
"",,,,(Pre-primary,Pre- Primary,Primary,Secondary,,,,,,,,,,,,,,,,
"",,,,,,,,,,(1 to 5),(1-8),(9-10),,,,,,,,,,,
"",,,,to 12),(6-8),(11-12),,,,,,,,,,,,,,,,,
"",(1),,,(2),,,(3),,,(4),,,(5),,,(6),,,(7),,,(8),
"",India,,9007271,1037877,5376365,1639334,7015699,523925,429770,,,,,,,,,,,,,,
Andaman and Nicobar Islands,37,29,8,0,8,0,0,,,,,,,,,,,,,,,,
Andhra Pradesh,28476,0,22010,5450,27460,390,626,,,,,,,,,,,,,,,,
Arunachal Pradesh,5108,755,3473,583,4056,43,254,,,,,,,,,,,,,,,,
Assam,408827,25802,275280,34824,310104,53359,19562,,,,,,,,,,,,,,,,
Bihar,2324665,337235,1380442,473964,1854406,81869,51155,,,,,,,,,,,,,,,,
Chandigarh,9522,4179,4527,727,5254,69,20,,,,,,,,,,,,,,,,
Chhattisgarh,14642,156,11013,3473,14486,0,0,,,,,,,,,,,,,,,,
Dadra and Nagar Haveli,152,62,90,0,90,0,0,,,,,,,,,,,,,,,,
Daman and Diu,285,0,183,40,223,29,33,,,,,,,,,,,,,,,,
Delhi,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Goa,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Gujarat,1410,0,518,357,875,449,86,,,,,,,,,,,,,,,,
Haryana,167566,34154,102870,26945,129815,2768,829,,,,,,,,,,,,,,,,
Himachal Pradesh,16,0,16,0,16,0,0,,,,,,,,,,,,,,,,
Jammu and Kashmir,4135,878,2929,158,3087,113,57,,,,,,,,,,,,,,,,
Jharkhand,1601427,356020,874856,298019,1172875,62733,9799,,,,,,,,,,,,,,,,
Karnataka,1023,9,738,213,951,63,0,,,,,,,,,,,,,,,,
Kerala,263881,57933,156182,35560,191742,9926,4280,,,,,,,,,,,,,,,,
Ladakh,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Lakshadweep,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Madhya Pradesh,137659,1321,100321,36017,136338,0,0,,,,,,,,,,,,,,,,
Maharashtra,166466,29258,104188,25616,129804,6519,885,,,,,,,,,,,,,,,,
Manipur,25531,7375,14811,3197,18008,148,0,,,,,,,,,,,,,,,,
Meghalaya,33700,8802,14359,4195,18554,4773,1571,,,,,,,,,,,,,,,,
Mizoram,5794,1342,2327,544,2871,977,604,,,,,,,,,,,,,,,,
Nagaland,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Odisha,461511,27358,161194,40664,201858,11472,220823,,,,,,,,,,,,,,,,
Puducherry,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Punjab,93992,15726,38766,17625,56391,9903,11972,,,,,,,,,,,,,,,,
Rajasthan,177544,5113,148351,20277,168628,2870,933,,,,,,,,,,,,,,,,
Sikkim,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Tamil Nadu,79398,27576,37478,9312,46790,3198,1834,,,,,,,,,,,,,,,,
Telangana,13524,141,10941,2234,13175,208,0,,,,,,,,,,,,,,,,
Tripura,17489,3347,12896,1002,13898,210,34,,,,,,,,,,,,,,,,
Uttar Pradesh,2102906,17014,1603334,346331,1949665,108867,27360,,,,,,,,,,,,,,,,
Uttarakhand,63397,4767,45098,10816,55914,2220,496,,,,,,,,,,,,,,,,
West Bengal,797188,71525,247166,241191,488357,160749,76557,,,,,,,,,,,,,,,,
"India/State /UT"
""
""
Pre- Primary
Pre- Primary
"Primary(1 to 5)"
Primary
(1 to 5)
"Elementary(1-8)"
Elementary
(1-8)
"Secondary(9-10)"
Secondary
(9-10)
