"India/State/ UT",Total Schools,Number of schools with ramps for CWSN,% of Schools with ramps for CWSN,,,,,,,,,,,,,
"","Allmanagement",Govt.,"Govt.aided","Pvt.unaided",Others,,"Allmanagement",Govt.,"Govt.aided","Pvt.unaided",Others,"Allmanagement",Govt.,"Govt.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),,(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1551000,1083747,84623,326228,56402,,988097,798811,45812,129198,14276,63.71,73.71,54.14,39.6,25.31
Andaman and Nicobar Islands,414,339,2,72,1,,196,178,0,18,0,47.34,52.51,0,25,0
Andhra Pradesh,63621,45013,2346,15862,400,,24006,20260,358,3323,65,37.73,45.01,15.26,20.95,16.25
Arunachal Pradesh,3793,3179,64,503,47,,776,701,11,61,3,20.46,22.05,17.19,12.13,6.38
Assam,66324,47223,5065,6084,7952,,37291,36337,268,520,166,56.23,76.95,5.29,8.55,2.09
Bihar,89224,72630,698,6249,9647,,62687,57309,299,2088,2991,70.26,78.91,42.84,33.41,31
Chandigarh,229,121,7,74,27,,163,98,3,56,6,71.18,80.99,42.86,75.68,22.22
Chhattisgarh,56274,48671,434,6842,327,,35694,33674,146,1812,62,63.43,69.19,33.64,26.48,18.96
Dadra and Nagar Haveli,346,300,10,35,1,,286,276,2,8,0,82.66,92,20,22.86,0
Daman and Diu,140,112,4,23,1,,113,100,2,11,0,80.71,89.29,50,47.83,0
Delhi,5703,2784,253,2666,0,,4240,2472,127,1641,0,74.35,88.79,50.2,61.55,0
Goa,1486,833,514,139,0,,801,701,84,16,0,53.9,84.15,16.34,11.51,0
Gujarat,54581,35202,5734,13641,4,,44129,33969,3375,6782,3,80.85,96.5,58.86,49.72,75
Haryana,23534,14516,26,7913,1079,,14836,10726,17,3787,306,63.04,73.89,65.38,47.86,28.36
Himachal Pradesh,18212,15433,0,2778,1,,12255,11859,0,396,0,67.29,76.84,0,14.25,0
Jammu and Kashmir,28654,23167,1,5439,47,,9796,8954,0,842,0,34.19,38.65,0,15.48,0
Jharkhand,45908,35954,1177,1400,7377,,28574,26160,285,470,1659,62.24,72.76,24.21,33.57,22.49
Karnataka,78233,50184,7417,20604,28,,37323,29114,2454,5754,1,47.71,58.01,33.09,27.93,3.57
Kerala,16701,5011,7195,3156,1339,,11284,4329,5842,816,297,67.56,86.39,81.2,25.86,22.18
Ladakh,1054,913,28,113,0,,324,303,4,17,0,30.74,33.19,14.29,15.04,0
Lakshadweep,45,45,0,0,0,,41,41,0,0,0,91.11,91.11,0,0,0
Madhya Pradesh,154064,122056,874,29182,1952,,114405,95841,633,17096,835,74.26,78.52,72.43,58.58,42.78
Maharashtra,109942,66033,23554,19400,955,,97659,62907,20083,14189,480,88.83,95.27,85.26,73.14,50.26
Manipur,4844,3073,587,1003,181,,2316,2015,143,142,16,47.81,65.57,24.36,14.16,8.84
Meghalaya,14669,7802,4181,2220,466,,3053,2485,423,120,25,20.81,31.85,10.12,5.41,5.36
Mizoram,3913,2564,231,1025,93,,1735,1604,45,80,6,44.34,62.56,19.48,7.8,6.45
Nagaland,2752,2007,0,745,0,,963,870,0,93,0,34.99,43.35,0,12.48,0
Odisha,68717,55483,5770,4957,2507,,47911,42157,2047,2504,1203,69.72,75.98,35.48,50.51,47.99
Puducherry,739,423,33,283,0,,467,392,7,68,0,63.19,92.67,21.21,24.03,0
Punjab,28637,19404,458,8495,280,,17894,14375,158,3235,126,62.49,74.08,34.5,38.08,45
Rajasthan,105883,67607,0,35776,2500,,59711,43731,0,15732,248,56.39,64.68,0,43.97,9.92
Sikkim,1290,854,19,417,0,,230,181,1,48,0,17.83,21.19,5.26,11.51,0
Tamil Nadu,59152,37728,8355,12439,630,,37183,29768,4225,3081,109,62.86,78.9,50.57,24.77,17.3
Telangana,42355,29822,707,11621,205,,16371,13629,106,2581,55,38.65,45.7,14.99,22.21,26.83
Tripura,4945,4309,46,343,247,,2499,2378,24,67,30,50.54,55.19,52.17,19.53,12.15
Uttar Pradesh,273235,163142,8090,87433,14570,,180934,133156,4411,38645,4722,66.22,81.62,54.52,44.2,32.41
Uttarakhand,23559,16934,616,5519,490,,12902,11554,156,1108,84,54.76,68.23,25.32,20.08,17.14
West Bengal,97828,82876,127,11777,3048,,67049,64207,73,1991,778,68.54,77.47,57.48,16.91,25.52
