"","Table 3.4: Enrolment of students by school management and level of school education, 2018-19",,,,,,,,,,,,,,,,,,,,,,
"",,Enrolment – Private Unaided Recognized Schools,,,,,,,,,,,,,,,,,,,,,
"India/State /UT",,Total,,Pre- Primary,"Primary(1 to 5)",,Upper,,"Elementary(1-8)","Secondary(9-10)",,Higher,,,,,,,,,,,
"",India/,Primary,Elementary,Secondary,,,,,,,,,,,,,,,,,,,
"",,,(Pre-primary,Pre- Primary,Primary,Secondary,,,,,,,,,,,,,,,,,
"",State /UT,(1 to 5),(1-8),(9-10),,,,,,,,,,,,,,,,,,,
"",,,to 12),(6-8),(11-12),,,,,,,,,,,,,,,,,,
"",(1),,,(2),,,(3),,,(4),,,(5),,,(6),,,(7),,,(8),
"",India,,92194512,8071713,41583378,19569512,61152890,12893437,10076472,,,,,,,,,,,,,,
Andaman and Nicobar Islands,22835,5089,10428,4223,14651,1994,1101,,,,,,,,,,,,,,,,
Andhra Pradesh,3672881,0,1760639,815657,2576296,508117,588468,,,,,,,,,,,,,,,,
Arunachal Pradesh,97052,14441,56773,18252,75025,5727,1859,,,,,,,,,,,,,,,,
Assam,1520773,230592,721525,300975,1022500,168739,98942,,,,,,,,,,,,,,,,
Bihar,2552522,257088,1009500,449881,1459381,374265,461788,,,,,,,,,,,,,,,,
Chandigarh,94048,14740,33760,19831,53591,12909,12808,,,,,,,,,,,,,,,,
Chhattisgarh,1728537,241466,789219,363666,1152885,197551,136635,,,,,,,,,,,,,,,,
Dadra and Nagar Haveli,24524,3208,12121,5226,17347,2556,1413,,,,,,,,,,,,,,,,
Daman and Diu,15432,2261,8353,2884,11237,1517,417,,,,,,,,,,,,,,,,
Delhi,1880160,182355,900104,411155,1311259,217510,169036,,,,,,,,,,,,,,,,
Goa,43667,9292,27111,3926,31037,2075,1263,,,,,,,,,,,,,,,,
Gujarat,4497916,259661,2122176,1172021,3294197,548940,395118,,,,,,,,,,,,,,,,
Haryana,3560430,282622,1514707,837106,2351813,556360,369635,,,,,,,,,,,,,,,,
Himachal Pradesh,621166,95838,274467,130607,405074,76600,43654,,,,,,,,,,,,,,,,
Jammu and Kashmir,1215889,253842,529431,258055,787486,129781,44780,,,,,,,,,,,,,,,,
Jharkhand,1227223,67303,315535,255950,571485,284598,303837,,,,,,,,,,,,,,,,
Karnataka,5434481,586012,2623560,1136461,3760021,637225,451223,,,,,,,,,,,,,,,,
Kerala,1734002,216451,849287,365251,1214538,197051,105962,,,,,,,,,,,,,,,,
Ladakh,28961,6506,13059,6160,19219,2641,595,,,,,,,,,,,,,,,,
Lakshadweep,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Madhya Pradesh,6704433,564105,3210063,1556912,4766975,818604,554749,,,,,,,,,,,,,,,,
Maharashtra,6453934,566226,3161092,1322942,4484034,775351,628323,,,,,,,,,,,,,,,,
Manipur,451131,53000,185517,107104,292621,61655,43855,,,,,,,,,,,,,,,,
Meghalaya,247283,56182,114026,28221,142247,30299,18555,,,,,,,,,,,,,,,,
Mizoram,149083,27445,70352,27758,98110,13139,10389,,,,,,,,,,,,,,,,
Nagaland,284617,46401,113525,61924,175449,39007,23760,,,,,,,,,,,,,,,,
Odisha,1361354,75506,641547,254955,896502,107987,281359,,,,,,,,,,,,,,,,
Puducherry,157260,22611,65007,32856,97863,20452,16334,,,,,,,,,,,,,,,,
Punjab,3220607,516915,1309618,673717,1983335,415224,305133,,,,,,,,,,,,,,,,
Rajasthan,8852298,1039608,3884208,1889253,5773461,1133707,905522,,,,,,,,,,,,,,,,
Sikkim,48199,13648,22844,7116,29960,3171,1420,,,,,,,,,,,,,,,,
Tamil Nadu,6447472,1193013,2853941,1139914,3993855,696939,563665,,,,,,,,,,,,,,,,
Telangana,3754303,140951,1825063,785929,2610992,497164,505196,,,,,,,,,,,,,,,,
Tripura,123667,25506,58469,23889,82358,10942,4861,,,,,,,,,,,,,,,,
Uttar Pradesh,20640711,320049,8760100,4558421,13318521,4128218,2873923,,,,,,,,,,,,,,,,
Uttarakhand,1255452,121576,614134,281742,895876,136314,101686,,,,,,,,,,,,,,,,
West Bengal,2070209,560204,1122117,259572,1381689,79108,49208,,,,,,,,,,,,,,,,
"India/State /UT"
India/
State /UT
Pre- Primary
Pre- Primary
"Primary(1 to 5)"
Primary
(1 to 5)
"Elementary(1-8)"
Elementary
(1-8)
"Secondary(9-10)"
Secondary
(9-10)
