"India/State/ UT",Projected population by age group – Scheduled Tribes,,,,,,,,
"",Age 3-5,Age 6-10,Age 11-13,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
India,4452736,4176855,8629591,6152757,5885912,12038669,3608734,3461321,7070055
Andaman and Nicobar Islands,1107,1075,2182,1384,1193,2578,816,718,1535
Andhra Pradesh,88862,82592,171454,130783,122630,253413,77370,72726,150096
Arunachal Pradesh,31996,30268,62264,56312,54670,110982,36966,37300,74266
Assam,137903,125882,263785,202073,192731,394803,131720,128932,260652
Bihar,68709,64508,133217,95077,91358,186435,55894,54377,110271
Chandigarh,-,-,-,-,-,-,-,-,-
Chhattisgarh,343056,334181,677236,457516,443750,901266,256830,253497,510327
Dadra and Nagar Haveli,8936,8680,17616,13547,12342,25889,8657,8081,16739
Daman and Diu,530,510,1041,868,804,1671,545,487,1033
Delhi,-,-,-,-,-,-,-,-,-
Goa,4472,4274,8747,6846,6319,13165,4476,4085,8561
Gujarat,407067,369055,776122,511264,487219,998483,298368,284311,582679
Haryana,-,-,-,-,-,-,-,-,-
Himachal Pradesh,11499,10899,22398,17272,15873,33145,11093,10350,21443
Jammu and Kashmir,49020,47266,96285,89542,82243,171785,57938,50826,108764
Jharkhand,376065,354969,731035,531170,512313,1043483,323840,319738,643578
Karnataka,150007,141288,291295,201499,194045,395545,123718,119034,242753
Kerala,14803,13968,28772,21868,20403,42271,13269,12900,26169
Ladakh,9542,9143,18685,13078,11854,24932,8442,7511,15953
Lakshadweep,2129,2015,4144,3211,2990,6202,1906,2141,4046
Madhya Pradesh,835796,793106,1628902,1037625,1012381,2050006,559394,552682,1112076
Maharashtra,392148,366948,759097,595420,559931,1155351,364074,334616,698690
Manipur,33424,30050,63474,65941,60051,125993,46012,42049,88061
Meghalaya,101668,96206,197875,152803,147591,300394,96921,95056,191977
Mizoram,31545,29813,61359,50347,48340,98687,32438,31069,63508
Nagaland,54399,49473,103872,95844,88990,184833,65414,60545,125959
Odisha,387645,380798,768444,561270,556225,1117496,306871,299487,606358
Puducherry,-,-,-,-,-,-,-,-,-
Punjab,-,-,-,-,-,-,-,-,-
Rajasthan,483216,435845,919061,621699,573630,1195329,343443,316588,660030
Sikkim,4633,4356,8989,9259,8994,18253,6886,6724,13610
Tamil Nadu,28825,25604,54429,40152,37136,77288,22689,21293,43982
Telangana,118834,103863,222697,174743,160549,335292,107991,98556,206548
Tripura,37531,35211,72742,58529,55567,114097,40457,38299,78756
Uttar Pradesh,61484,56351,117835,76020,71596,147616,40941,38971,79912
Uttarakhand,8651,7673,16324,13638,12349,25986,9720,8966,18685
West Bengal,167232,160984,328215,246156,239845,486001,153637,149404,303041
