"India/State/ UT",Gross Enrolment Ratio (GER)  – All Social Groups,,,,,,,,,,,,,,
"",Primary (1 to 5),Upper Primary (6 to 8),Elementary (1 to 8),Secondary (9-10),Higher Secondary (11-12),,,,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,100.8,101.8,101.3,87.0,88.5,87.7,95.5,96.7,96.1,76.9,76.9,76.9,49.5,50.8,50.1
Andaman and Nicobar Islands,81.1,85.1,83.0,77.7,79.4,78.5,79.8,82.8,81.2,70.4,78.8,74.3,50.3,61.6,55.6
Andhra Pradesh,98.8,93.6,96.3,88.5,86.6,87.5,94.8,90.9,92.9,80.0,79.4,79.7,45.4,48.5,46.9
Arunachal Pradesh,111.1,111.1,111.1,84.2,90.4,87.3,100.5,102.8,101.6,67.6,69.8,68.7,37.5,39.2,38.3
Assam,111.5,114.8,113.1,86.4,95.3,90.7,101.9,107.2,104.5,67.1,78.7,72.8,31.0,30.9,30.9
Bihar,91.6,94.7,93.1,74.9,82.1,78.4,85.4,90.0,87.6,54.8,60.8,57.7,26.4,26.3,26.4
Chandigarh,85.3,94.2,89.3,98.9,106.3,102.2,90.5,98.8,94.2,87.2,100.0,92.7,80.2,88.9,83.8
Chhattisgarh,98.1,97.1,97.6,93.7,94.3,94.0,96.4,96.1,96.3,81.7,91.6,86.6,48.5,55.7,52.1
Dadra and Nagar Haveli,97.5,100.9,99.1,80.8,80.6,80.7,91.4,93.3,92.3,89.0,95.1,91.8,45.2,62.1,52.3
Daman and Diu,90.4,92.9,91.5,85.5,88.1,86.7,88.6,91.1,89.8,68.8,85.8,76.0,25.7,51.6,34.5
Delhi,118.8,121.9,120.2,117.9,122.8,120.2,118.5,122.3,120.2,107.6,113.7,110.4,67.0,73.9,70.1
Goa,99.1,103.0,100.9,93.3,94.4,93.8,96.9,99.7,98.2,91.1,92.8,91.9,67.2,77.3,71.9
Gujarat,93.8,96.0,94.9,94.1,93.4,93.8,93.9,95.0,94.4,81.8,69.5,76.1,42.0,40.3,41.2
Haryana,104.5,103.6,104.1,97.8,97.4,97.6,102.0,101.2,101.6,95.7,91.8,93.9,56.0,55.9,56.0
Himachal Pradesh,106.3,107.9,107.0,97.7,98.9,98.4,102.9,104.4,103.7,105.5,106.1,105.8,79.6,84.3,81.8
Jammu and Kashmir,83.7,87.4,85.4,65.5,68.2,66.8,76.4,79.7,77.9,58.2,57.9,58.1,42.6,42.0,42.4
Jharkhand,105.2,103.8,104.5,81.3,85.2,83.2,96.1,96.6,96.4,59.0,62.8,60.9,38.5,39.3,38.9
Karnataka,109.4,107.3,108.4,99.0,97.4,98.2,105.5,103.5,104.5,84.6,82.8,83.7,40.3,48.8,44.4
Kerala,98.8,98.6,98.6,96.7,96.5,96.5,98.0,97.8,97.8,98.5,97.4,98.0,75.9,84.9,80.3
Ladakh,80.1,87.1,83.4,62.6,72.8,67.4,73.3,81.5,77.2,54.9,64.1,59.4,33.9,44.0,38.8
Lakshadweep,75.0,77.0,76.0,61.6,59.6,60.5,70.0,69.7,69.9,76.7,77.9,77.3,77.7,75.9,76.8
Madhya Pradesh,94.5,93.3,93.9,90.3,87.4,88.9,92.9,91.1,92.1,80.0,74.6,77.4,44.7,42.7,43.7
Maharashtra,105.6,105.2,105.4,98.5,97.5,98.0,102.8,102.2,102.5,92.5,89.6,91.1,70.6,67.1,68.9
Manipur,127.6,130.2,128.8,86.4,89.1,87.7,110.9,113.5,112.2,68.7,71.2,69.9,56.3,53.3,54.8
Meghalaya,151.2,155.1,153.1,99.7,114.1,106.8,131.2,139.1,135.1,72.2,87.0,79.5,37.6,45.9,41.7
Mizoram,133.6,131.7,132.7,100.3,100.2,100.3,120.6,119.4,120.0,92.1,94.5,93.3,49.2,55.2,52.1
Nagaland,88.5,90.7,89.6,68.4,73.6,70.9,80.4,83.9,82.1,55.1,62.0,58.4,32.4,35.6,34.0
Odisha,96.7,95.6,96.2,91.8,88.8,90.3,94.8,92.9,93.9,81.0,80.4,80.7,62.3,69.6,65.9
Puducherry,86.0,88.9,87.4,83.0,84.6,83.8,84.9,87.2,86.0,80.3,86.2,83.1,62.8,77.2,69.7
Punjab,107.5,107.6,107.6,99.5,100.4,99.9,104.4,104.8,104.6,93.0,93.3,93.2,67.6,68.9,68.2
Rajasthan,104.7,104.8,104.8,89.9,83.7,87.0,99.2,96.8,98.1,86.2,76.5,81.6,61.4,51.2,56.5
Sikkim,99.8,91.6,95.8,89.5,92.7,91.1,95.4,92.1,93.8,93.4,106.2,99.7,50.7,64.7,57.6
Tamil Nadu,100.3,99.9,100.1,95.6,95.0,95.3,98.5,98.0,98.3,90.0,91.0,90.5,65.0,80.1,72.3
Telangana,108.7,108.1,108.4,92.9,93.3,93.1,102.6,102.3,102.4,83.7,85.9,84.8,52.6,60.7,56.5
Tripura,110.3,112.5,111.4,95.0,98.1,96.5,104.1,106.6,105.3,86.7,93.8,90.2,38.1,39.2,38.7
Uttar Pradesh,98.4,102.7,100.4,75.3,78.9,77.0,89.7,93.7,91.6,67.3,63.2,65.4,47.0,45.1,46.1
Uttarakhand,111.8,113.3,112.5,95.8,97.9,96.8,105.5,107.2,106.3,88.2,90.0,88.9,63.5,69.5,66.2
West Bengal,107.3,107.9,107.6,83.2,89.9,86.4,97.8,100.8,99.3,72.4,91.1,81.5,47.2,56.6,51.7
