"India/State/ UT",Enrolment – Government,,,,,,,,,,,
"",Pre-Primary,Primary (1 to 5),Upper Primary (6-8),Elementary (1-8),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,1195327,1201738,2397065,33288965,34250863,67539828,17039895,18091453,35131348,50328860,52342316,102671176
Andaman and Nicobar Islands,1643,1684,3327,9481,9388,18869,6891,6689,13580,16372,16077,32449
Andhra Pradesh,0,0,0,848904,879936,1728840,581339,627157,1208496,1430243,1507093,2937336
Arunachal Pradesh,842,898,1740,48009,51767,99776,28852,34609,63461,76861,86376,163237
Assam,132676,133979,266655,1309412,1361073,2670485,572479,642890,1215369,1881891,2003963,3885854
Bihar,791,991,1782,5223519,5429269,10652788,2702278,2952076,5654354,7925797,8381345,16307142
Chandigarh,3595,3617,7212,27884,26114,53998,23028,20243,43271,50912,46357,97269
Chhattisgarh,15784,15825,31609,898558,906174,1804732,550499,576091,1126590,1449057,1482265,2931322
Dadra and Nagar Haveli,8,2,10,13916,13999,27915,7034,6876,13910,20950,20875,41825
Daman and Diu,83,115,198,4720,4907,9627,2847,2954,5801,7567,7861,15428
Delhi,40701,48479,89180,415665,443360,859025,318964,341978,660942,734629,785338,1519967
Goa,363,356,719,12861,12336,25197,4246,3995,8241,17107,16331,33438
Gujarat,5612,6215,11827,1618896,1613993,3232889,995090,982882,1977972,2613986,2596875,5210861
Haryana,6186,6692,12878,446022,478392,924414,279799,308448,588247,725821,786840,1512661
Himachal Pradesh,2909,2869,5778,151222,154974,306196,105060,105271,210331,256282,260245,516527
Jammu and Kashmir,37519,39468,76987,267840,283670,551510,152434,157977,310411,420274,441647,861921
Jharkhand,58067,58539,116606,1312161,1361642,2673803,631067,712643,1343710,1943228,2074285,4017513
Karnataka,633,685,1318,1179432,1288241,2467673,729849,778769,1508618,1909281,2067010,3976291
Kerala,61617,60594,122211,273830,267235,541065,188488,180006,368494,462318,447241,909559
Ladakh,2113,2098,4211,4008,5047,9055,2270,3126,5396,6278,8173,14451
Lakshadweep,585,543,1128,2470,2364,4834,1206,1308,2514,3676,3672,7348
Madhya Pradesh,3191,3148,6339,2055132,2151784,4206916,1277568,1331030,2608598,3332700,3482814,6815514
Maharashtra,54069,53602,107671,2088564,2063112,4151676,576862,614335,1191197,2665426,2677447,5342873
Manipur,3602,3640,7242,58316,58806,117122,18696,20416,39112,77012,79222,156234
Meghalaya,51653,48701,100354,129108,126269,255377,48650,53449,102099,177758,179718,357476
Mizoram,4622,4225,8847,32599,30109,62708,17134,15709,32843,49733,45818,95551
Nagaland,20641,20353,40994,35882,37934,73816,17521,20670,38191,53403,58604,112007
Odisha,26433,26595,53028,1389149,1387701,2776850,850165,828657,1678822,2239314,2216358,4455672
Puducherry,3374,3578,6952,12676,13056,25732,9807,10497,20304,22483,23553,46036
Punjab,110179,110199,220378,457693,443577,901270,318290,302548,620838,775983,746125,1522108
Rajasthan,3777,3967,7744,1942253,2108636,4050889,1022238,1101807,2124045,2964491,3210443,6174934
Sikkim,2802,2814,5616,13670,12116,25786,13095,13534,26629,26765,25650,52415
Tamil Nadu,7077,6825,13902,857228,873434,1730662,627845,660302,1288147,1485073,1533736,3018809
Telangana,745,708,1453,559815,605278,1165093,415968,451419,867387,975783,1056697,2032480
Tripura,950,757,1707,124790,127904,252694,81014,84032,165046,205804,211936,417740
Uttar Pradesh,11530,9581,21111,5981886,6156878,12138764,1977130,2170871,4148001,7959016,8327749,16286765
Uttarakhand,228,197,425,191255,202489,393744,114846,131277,246123,306101,333766,639867
West Bengal,518727,519199,1037926,3290139,3257899,6548038,1769346,1834912,3604258,5059485,5092811,10152296
