"India/State/ UT",Age-Specific Enrolment Rat (ASER),,,,,,,,,,,,,,
"",Age 6-10 years,Age 11-13 years,Age 6-13 years,Age 14-15 years,Age 16-17 years,,,,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,93.6,95.0,94.3,88.0,89.2,88.6,91.4,92.8,92.1,72.0,72.3,72.1,44.2,45.1,44.6
Andaman and Nicobar Islands,75.9,79.5,77.6,74.8,77.0,75.9,75.5,78.5,76.9,64.3,73.0,68.4,47.5,56.8,51.8
Andhra Pradesh,94.3,90.7,92.6,88.9,86.4,87.7,92.2,89.0,90.7,71.9,70.3,71.1,33.1,31.8,32.4
Arunachal Pradesh,92.7,93.2,92.9,83.3,87.0,85.1,89.0,90.7,89.8,68.8,74.0,71.3,40.1,42.2,41.2
Assam,100.0,100.0,100.0,82.2,90.0,86.0,97.3,100.0,99.8,64.7,75.6,70.0,31.3,33.2,32.3
Bihar,89.3,92.5,90.8,84.4,92.2,88.2,87.4,92.4,89.9,45.4,49.3,47.3,17.3,18.0,17.6
Chandigarh,78.8,87.4,82.6,98.9,100.0,100.0,86.4,95.6,90.5,87.4,95.9,91.0,68.7,76.1,71.8
Chhattisgarh,91.9,92.2,92.1,93.4,93.9,93.7,92.5,92.8,92.7,75.9,83.3,79.5,46.8,53.9,50.3
Dadra and Nagar Haveli,80.3,84.7,82.3,86.9,90.0,88.4,82.7,86.6,84.5,66.8,82.8,73.6,28.3,48.7,35.2
Daman and Diu,90.2,93.6,91.7,95.4,96.4,95.9,92.1,94.6,93.3,80.9,89.7,84.9,38.9,49.5,43.4
Delhi,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.9,100.0,99.7,58.8,67.1,62.6
Goa,91.0,95.7,93.2,92.2,93.7,92.9,91.5,94.9,93.1,83.9,88.1,85.9,63.4,69.6,66.3
Gujarat,88.2,90.4,89.3,89.3,88.1,88.7,88.6,89.5,89.1,75.3,66.2,71.1,41.2,37.5,39.5
Haryana,95.3,95.3,95.3,97.4,95.8,96.6,96.1,95.5,95.8,83.9,81.2,82.7,49.3,45.5,47.6
Himachal Pradesh,100.0,100.0,100.0,97.2,98.5,97.9,100.0,100.0,100.0,91.0,93.0,91.9,62.5,64.3,63.3
Jammu and Kashmir,77.9,81.3,79.4,63.2,65.6,64.3,72.0,75.0,73.4,48.5,50.0,49.2,32.1,31.3,31.8
Jharkhand,97.4,96.2,96.8,84.3,86.9,85.6,92.4,92.6,92.5,63.6,67.1,65.3,29.3,31.3,30.3
Karnataka,100.0,100.0,100.0,97.4,95.6,96.5,100.0,100.0,100.0,69.4,67.7,68.6,38.3,43.9,41.0
Kerala,94.5,94.3,94.3,97.1,96.8,96.9,95.5,95.2,95.3,94.3,94.8,94.6,64.7,71.1,67.8
Ladakh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lakshadweep,75.0,77.2,76.1,68.9,65.2,66.9,72.7,72.2,72.5,66.1,77.0,71.4,60.5,62.1,61.4
Madhya Pradesh,83.7,83.1,83.4,90.1,87.6,88.9,86.1,84.8,85.4,73.6,69.0,71.4,43.8,41.4,42.6
Maharashtra,97.1,97.4,97.2,96.0,95.1,95.6,96.7,96.5,96.6,88.6,87.3,88.0,66.5,64.3,65.5
Manipur,100.0,100.0,100.0,88.0,91.0,89.4,100.0,100.0,100.0,67.3,70.6,68.9,44.6,41.7,43.2
Meghalaya,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,86.8,100.0,94.2,56.9,66.8,61.8
Mizoram,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.0,98.8,97.4,66.0,67.9,66.9
Nagaland,75.5,77.8,76.6,69.5,73.3,71.3,73.1,76.0,74.5,58.5,65.0,61.6,35.5,40.3,37.9
Odisha,76.7,76.8,76.7,95.5,92.9,94.2,83.9,83.0,83.5,86.8,83.7,85.3,60.0,62.1,61.1
Puducherry,84.0,86.8,85.3,83.2,84.5,83.9,83.7,85.9,84.8,73.4,85.2,78.9,43.2,51.8,47.3
Punjab,77.2,81.4,79.2,100.0,100.0,100.0,86.5,90.0,88.1,92.4,93.8,93.0,77.0,79.2,78.0
Rajasthan,91.1,90.6,90.8,91.6,85.5,88.7,91.3,88.7,90.1,82.2,73.2,77.9,56.2,48.2,52.4
Sikkim,82.6,80.1,81.4,79.5,80.8,80.1,81.3,80.4,80.9,82.1,85.6,83.9,59.7,69.0,64.3
Tamil Nadu,89.3,90.0,89.7,95.5,95.5,95.5,91.7,92.1,91.9,90.6,92.2,91.4,72.5,83.6,77.9
Telangana,100.0,100.0,100.0,91.9,92.1,92.0,97.3,98.6,97.9,72.5,71.7,72.2,46.4,47.3,46.8
Tripura,100.0,100.0,100.0,93.4,96.3,94.8,100.0,100.0,100.0,82.0,88.5,85.1,40.7,42.7,41.7
Uttar Pradesh,94.8,98.9,96.7,76.1,78.3,77.1,87.7,91.1,89.3,62.9,61.0,62.0,36.4,35.1,35.8
Uttarakhand,100.0,100.0,100.0,96.6,97.1,96.8,100.0,100.0,100.0,82.0,84.9,83.3,51.4,54.9,53.0
West Bengal,100.0,100.0,100.0,84.3,90.6,87.4,95.4,98.0,96.7,73.3,89.3,81.1,43.9,54.8,49.2
