"India/State/ UT",Projected population by age group – Scheduled Castes,,,,,,,,
"",Age 6-13,Age 14-15,Age 16-17,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(11),(12),(13),(14),(15),(16),(17),(18),(19)
India,17411512,16158442,33569955,4472704,4078705,8551410,4510007,4034713,8544720
Andaman and Nicobar Islands,-,-,-,-,-,-,-,-,-
Andhra Pradesh,579118,566852,1145971,157296,154816,312112,158034,152191,310226
Arunachal Pradesh,-,-,-,-,-,-,-,-,-
Assam,182797,176083,358880,50371,49997,100369,52424,50892,103317
Bihar,1984050,1857302,3841352,437797,371842,809639,405810,333161,738971
Chandigarh,20682,17368,38050,5499,4603,10102,5982,4794,10777
Chhattisgarh,298497,289927,588424,75706,72821,148527,77505,73872,151377
Dadra and Nagar Haveli,543,492,1035,150,118,268,141,150,290
Daman and Diu,502,480,983,157,120,277,189,124,313
Delhi,232609,205964,438573,64722,58573,123296,68797,62319,131116
Goa,1908,1825,3734,537,470,1007,523,514,1037
Gujarat,332148,293690,625838,90175,80077,170252,94605,84543,179148
Haryana,470534,409774,880307,121578,105772,227350,124957,105928,230885
Himachal Pradesh,125602,117537,243139,32974,30864,63838,33890,30908,64798
Jammu and Kashmir,81006,68989,149995,22789,19606,42395,24117,20263,44381
Jharkhand,422412,405076,827488,102405,93954,196359,98707,87498,186205
Karnataka,806966,771101,1578067,213202,198465,411667,214415,195319,409735
Kerala,178357,171240,349597,47953,45616,93568,46105,44528,90634
Ladakh,15,9,24,2,2,5,3,2,5
Lakshadweep,-,-,-,-,-,-,-,-,-
Madhya Pradesh,1092952,1012694,2105646,278023,249669,527693,282505,243641,526146
Maharashtra,981454,906880,1888334,264614,240342,504956,275211,243444,518655
Manipur,8228,7766,15994,2194,2064,4258,1930,1834,3764
Meghalaya,1472,1359,2831,386,338,724,427,382,809
Mizoram,85,71,156,11,20,30,19,16,35
Nagaland,-,-,-,-,-,-,-,-,-
Odisha,557032,532646,1089677,146634,144642,291276,147620,145178,292798
Puducherry,17607,16563,34170,4549,4306,8855,4309,4159,8468
Punjab,685396,613327,1298723,188554,166621,355175,194038,164791,358829
Rajasthan,1240798,1116783,2357581,310391,275809,586200,310948,268948,579896
Sikkim,2345,2206,4551,657,555,1212,695,689,1384
Tamil Nadu,975604,931262,1906866,257180,248377,505557,259714,250748,510461
Telangana,374772,361455,736227,107625,104582,212207,111117,106359,217476
Tripura,44055,41692,85748,12446,11919,24365,14406,13070,27476
Uttar Pradesh,4175071,3770340,7945411,1058088,935368,1993456,1075267,932325,2007592
Uttarakhand,174058,157635,331693,45590,41435,87025,46272,41153,87425
West Bengal,1362837,1332055,2694891,372446,364942,737388,379325,370968,750293
