"India/State /UT",Number of teachers by Gender and Classes Taught – Others,,,,,,,,,,,
"",Total,Pre-Primary Only,Pre-Primary & Primary,Primary Only,,,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,185634,173377,359011,486,1426,1912,1150,1657,2807,79226,91279,170505
Andaman and Nicobar Islands,2,2,4,0,0,0,2,2,4,0,0,0
Andhra Pradesh,329,551,880,0,0,0,6,2,8,100,177,277
Arunachal Pradesh,149,229,378,5,0,5,0,4,4,75,146,221
Assam,17976,8211,26187,5,13,18,69,41,110,10891,4915,15806
Bihar,53225,35241,88466,241,350,591,359,343,702,9404,8160,17564
Chandigarh,33,412,445,0,49,49,2,27,29,7,148,155
Chhattisgarh,455,633,1088,0,0,0,0,0,0,311,400,711
Dadra and Nagar Haveli,0,9,9,0,3,3,0,0,0,0,6,6
Daman and Diu,26,0,26,0,0,0,0,0,0,10,0,10
Delhi,0,0,0,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,19,36,55,0,0,0,0,0,0,2,10,12
Haryana,1938,6970,8908,8,154,162,8,40,48,1041,4940,5981
Himachal Pradesh,1,2,3,0,0,0,0,0,0,1,2,3
Jammu and Kashmir,139,78,217,6,6,12,11,6,17,100,44,144
Jharkhand,30265,33500,63765,27,138,165,65,225,290,13126,17050,30176
Karnataka,33,40,73,1,0,1,0,0,0,13,31,44
Kerala,923,12694,13617,3,141,144,1,60,61,416,7916,8332
Ladakh,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2654,3888,6542,0,1,1,1,1,2,898,1269,2167
Maharashtra,1274,4696,5970,2,155,157,20,141,161,626,3126,3752
Manipur,741,1166,1907,4,49,53,5,61,66,356,720,1076
Meghalaya,461,1629,2090,3,19,22,23,128,151,103,662,765
Mizoram,290,295,585,2,23,25,5,13,18,59,101,160
Nagaland,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,6649,13099,19748,4,0,4,0,0,0,4008,9591,13599
Puducherry,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,528,4037,4565,0,0,0,0,0,0,101,1718,1819
Rajasthan,4407,2798,7205,27,86,113,196,162,358,3233,2053,5286
Sikkim,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,364,4250,4614,0,22,22,0,5,5,160,3350,3510
Telangana,208,306,514,0,0,0,0,0,0,142,228,370
Tripura,806,275,1081,8,13,21,39,39,78,656,211,867
Uttar Pradesh,42740,26558,69298,136,150,286,327,329,656,26292,16863,43155
Uttarakhand,1219,1376,2595,4,54,58,11,28,39,832,951,1783
West Bengal,17780,10396,28176,0,0,0,0,0,0,6263,6491,12754
