"India/State /UT",Number of teachers by Gender and Classes Taught – Private Unaided Recognized,,,,,,,,
"",Primary & Upper Primary,Upper Primary Only,Upper Primary & Secondary,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22)
India,56293,110509,166802,364923,540402,905325,100922,106422,207344
Andaman and Nicobar Islands,10,20,30,71,221,292,9,12,21
Andhra Pradesh,397,797,1194,9393,17274,26667,19463,14452,33915
Arunachal Pradesh,350,363,713,696,798,1494,69,65,134
Assam,4040,5536,9576,10520,10333,20853,3190,2899,6089
Bihar,2751,1853,4604,26265,20475,46740,2272,1192,3464
Chandigarh,64,424,488,25,532,557,62,518,580
Chhattisgarh,4688,9784,14472,4613,8884,13497,2036,2990,5026
Dadra and Nagar Haveli,2,13,15,51,182,233,2,4,6
Daman and Diu,21,75,96,8,55,63,19,33,52
Delhi,0,0,0,1920,12598,14518,0,0,0
Goa,8,78,86,18,124,142,17,69,86
Gujarat,634,1866,2500,12469,31407,43876,445,656,1101
Haryana,2151,7201,9352,7119,17288,24407,3824,7866,11690
Himachal Pradesh,886,3336,4222,2295,5899,8194,1055,2592,3647
Jammu and Kashmir,991,1468,2459,10066,14741,24807,764,656,1420
Jharkhand,685,832,1517,2780,3059,5839,1017,811,1828
Karnataka,775,3827,4602,9911,35091,45002,1186,2839,4025
Kerala,150,1523,1673,1777,16200,17977,215,1282,1497
Ladakh,10,35,45,246,379,625,17,25,42
Lakshadweep,0,0,0,0,0,0,0,0,0
Madhya Pradesh,1209,1914,3123,62889,88327,151216,608,734,1342
Maharashtra,2341,6826,9167,9722,26877,36599,3262,6130,9392
Manipur,1442,1839,3281,2112,2268,4380,1094,804,1898
Meghalaya,200,368,568,507,1000,1507,71,169,240
Mizoram,236,252,488,1133,1154,2287,0,0,0
Nagaland,388,549,937,1432,2131,3563,226,217,443
Odisha,1180,1922,3102,6762,9621,16383,249,177,426
Puducherry,119,596,715,141,623,764,207,528,735
Punjab,0,0,0,5352,33253,38605,0,0,0
Rajasthan,15720,18934,34654,45763,35175,80938,30439,16698,47137
Sikkim,41,90,131,256,503,759,8,16,24
Tamil Nadu,2208,8698,10906,9123,43945,53068,12748,24441,37189
Telangana,5512,15516,21028,3691,9822,13513,6013,7583,13596
Tripura,118,96,214,664,565,1229,95,54,149
Uttar Pradesh,6150,11472,17622,96839,69108,165947,9242,8035,17277
Uttarakhand,532,1874,2406,4437,8470,12907,669,1064,1733
West Bengal,284,532,816,13857,12020,25877,329,811,1140
