"India/State/ UT",Enrolment of age group 16-17 years,,,,,
"",Secondary (9-10),,Higher Secondary (11-12),,,
"",Boys,Girls,Total,Boys,Girls,Total
(1),(74),(75),(76),(77),(78),(79)
India,3503717,3023442,6527159,7989408,7671804,15661212
Andaman and Nicobar Islands,1178,1050,2228,2853,3185,6038
Andhra Pradesh,42608,22928,65536,249355,243035,492390
Arunachal Pradesh,5021,5011,10032,6408,6683,13091
Assam,66682,76066,142748,148348,140429,288777
Bihar,116438,131130,247568,366021,324845,690866
Chandigarh,3438,2754,6192,15824,12532,28356
Chhattisgarh,84257,84390,168647,175401,207231,382632
Dadra and Nagar Haveli,869,605,1474,2234,2308,4542
Daman and Diu,603,427,1030,1285,1293,2578
Delhi,54955,58998,113953,160922,151942,312864
Goa,5631,4394,10025,11839,12828,24667
Gujarat,155033,104085,259118,368494,308773,677267
Haryana,90181,60872,151053,189422,151956,341378
Himachal Pradesh,12933,10386,23319,67870,63424,131294
Jammu and Kashmir,19441,16569,36010,69551,60542,130093
Jharkhand,70805,76989,147794,160189,155245,315434
Karnataka,39516,23352,62868,392954,440472,833426
Kerala,42403,40248,82651,305644,325077,630721
Ladakh,668,632,1300,1495,1628,3123
Lakshadweep,108,49,157,739,867,1606
Madhya Pradesh,293187,241828,535015,424690,382523,807213
Maharashtra,503102,405637,908739,951610,844886,1796496
Manipur,3241,3003,6244,22339,20615,42954
Meghalaya,18041,21047,39088,15013,17233,32246
Mizoram,7692,6815,14507,6342,7440,13782
Nagaland,6838,7105,13943,9014,10303,19317
Odisha,234781,217824,452605,241809,262830,504639
Puducherry,609,716,1325,10480,11375,21855
Punjab,256388,187845,444233,134171,145566,279737
Rajasthan,321915,259842,581757,585283,439594,1024877
Sikkim,4428,4846,9274,2982,3940,6922
Tamil Nadu,280457,226534,506991,584691,712941,1297632
Telangana,68602,41420,110022,240043,257285,497328
Tripura,8556,8787,17343,22500,21258,43758
Uttar Pradesh,483539,409846,893385,1370451,1172281,2542732
Uttarakhand,28131,25323,53454,89444,87034,176478
West Bengal,171442,234089,405531,581698,660405,1242103
