"India/State/ UT",Total Schools,Number of schools having drinking water facility within school premises – Government aided,"No. of Govt.aided schools nothaving drinkingwater facilitywithin schoolpremises","% of Govt. aidedschools havingdrinking waterfacility withinschool premises",,,,,,
"",,"Any source ofdrinkingwater",Tap Water,Packed Water,Hand Pump,Well,"UnprotectedWell","Othersources",,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
India,84623,80531,47027,1961,18571,7422,328,5222,4092,95.16
Andaman and Nicobar Islands,2,2,1,0,0,0,0,1,0,100
Andhra Pradesh,2346,2341,1841,0,231,24,0,245,5,99.79
Arunachal Pradesh,64,59,53,0,1,3,0,2,5,92.19
Assam,5065,4207,232,8,3405,266,60,236,858,83.06
Bihar,698,696,118,3,570,0,0,5,2,99.71
Chandigarh,7,7,7,0,0,0,0,0,0,100
Chhattisgarh,434,431,138,0,292,1,0,0,3,99.31
Dadra and Nagar Haveli,10,10,9,0,1,0,0,0,0,100
Daman and Diu,4,4,4,0,0,0,0,0,0,100
Delhi,253,253,252,0,0,0,0,1,0,100
Goa,514,514,480,5,0,10,0,19,0,100
Gujarat,5734,5734,4561,73,486,236,19,359,0,100
Haryana,26,26,25,0,0,0,0,1,0,100
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,1,1,1,0,0,0,0,0,0,100
Jharkhand,1177,1130,195,1,882,27,0,25,47,96.01
Karnataka,7417,7391,5181,0,667,823,15,705,26,99.65
Kerala,7195,7184,2349,38,167,4264,66,300,11,99.85
Ladakh,28,23,13,0,9,0,0,1,5,82.14
Lakshadweep,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,874,774,340,1,285,23,3,122,100,88.56
Maharashtra,23554,23491,17288,114,2581,1332,44,2132,63,99.73
Manipur,587,527,75,40,23,21,2,366,60,89.78
Meghalaya,4181,1879,1324,11,67,185,114,178,2302,44.94
Mizoram,231,224,166,0,0,0,1,57,7,96.97
Nagaland,0,0,0,0,0,0,0,0,0,0
Odisha,5770,5770,606,1473,3559,132,0,0,0,100
Puducherry,33,33,33,0,0,0,0,0,0,100
Punjab,458,454,398,0,12,0,0,44,4,99.13
Rajasthan,0,0,0,0,0,0,0,0,0,0
Sikkim,19,19,19,0,0,0,0,0,0,100
Tamil Nadu,8355,8075,7542,147,141,36,1,208,280,96.65
Telangana,707,663,516,10,40,15,0,82,44,93.78
Tripura,46,42,28,0,5,4,0,5,4,91.3
Uttar Pradesh,8090,7854,2663,32,5036,12,2,109,236,97.08
Uttarakhand,616,587,485,5,82,2,1,12,29,95.29
West Bengal,127,126,84,0,29,6,0,7,1,99.21
