"India/State/ UT",Total Schools,Schools with CWSN friendly toilet,Schools with functional CWSN friendly toilet,,,,,,,,,,,,,
"","Allmanagement",Govt.,"Govt.aided","Pvt.unaided",Others,"Allmanagement",Govt.,"Govt.aided","Pvt.unaided",Others,"Allmanagement",Govt.,"Govt.aided","Pvt.unaided",Others,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),
India,1551000,1083747,84623,326228,56402,272043,187416,15423,61907,7297,258013,176733,14933,59317,7030,
Andaman and Nicobar Islands,414,339,2,72,1,83,71,0,12,0,82,70,0,12,0,
Andhra Pradesh,63621,45013,2346,15862,400,1575,15,51,1495,14,1575,15,51,1495,14,
Arunachal Pradesh,3793,3179,64,503,47,213,147,6,56,4,194,130,6,54,4,
Assam,66324,47223,5065,6084,7952,8932,7970,123,726,113,8621,7717,112,688,104,
Bihar,89224,72630,698,6249,9647,9540,7134,80,940,1386,9293,6940,78,919,1356,
Chandigarh,229,121,7,74,27,137,83,4,47,3,137,83,4,47,3,
Chhattisgarh,56274,48671,434,6842,327,30173,27189,139,2754,91,25945,23023,137,2699,86,
Dadra and Nagar Haveli,346,300,10,35,1,260,249,2,9,0,242,231,2,9,0,
Daman and Diu,140,112,4,23,1,65,60,0,5,0,65,60,0,5,0,
Delhi,5703,2784,253,2666,0,5011,2547,170,2294,0,5011,2547,170,2294,0,
Goa,1486,833,514,139,0,56,17,27,12,0,54,15,27,12,0,
Gujarat,54581,35202,5734,13641,4,7393,6031,369,993,0,6811,5561,328,922,0,
Haryana,23534,14516,26,7913,1079,6377,5487,2,800,88,6163,5313,2,765,83,
Himachal Pradesh,18212,15433,0,2778,1,4156,3248,0,908,0,4011,3122,0,889,0,
Jammu and Kashmir,28654,23167,1,5439,47,991,351,1,635,4,944,313,1,626,4,
Jharkhand,45908,35954,1177,1400,7377,636,393,18,66,159,588,359,18,65,146,
Karnataka,78233,50184,7417,20604,28,4952,2725,292,1933,2,3827,1936,220,1671,0,
Kerala,16701,5011,7195,3156,1339,1995,1168,498,240,89,1811,1032,466,229,84,
Ladakh,1054,913,28,113,0,20,14,0,6,0,18,12,0,6,0,
Lakshadweep,45,45,0,0,0,11,11,0,0,0,11,11,0,0,0,
Madhya Pradesh,154064,122056,874,29182,1952,2054,1557,10,478,9,1884,1416,10,449,9,
Maharashtra,109942,66033,23554,19400,955,37679,20965,7920,8449,345,34954,18722,7665,8229,338,
Manipur,4844,3073,587,1003,181,334,107,13,185,29,323,101,11,184,27,
Meghalaya,14669,7802,4181,2220,466,237,133,63,40,1,218,120,60,37,1,
Mizoram,3913,2564,231,1025,93,613,570,16,26,1,541,502,15,24,0,
Nagaland,2752,2007,0,745,0,83,67,0,16,0,74,60,0,14,0,
Odisha,68717,55483,5770,4957,2507,46701,38921,3178,3048,1554,46701,38921,3178,3048,1554,
Puducherry,739,423,33,283,0,284,187,9,88,0,270,173,9,88,0,
Punjab,28637,19404,458,8495,280,11589,9404,81,2024,80,10841,8710,79,1976,76,
Rajasthan,105883,67607,0,35776,2500,18320,5763,0,12262,295,16463,5082,0,11143,238,
Sikkim,1290,854,19,417,0,111,96,1,14,0,99,85,1,13,0,
Tamil Nadu,59152,37728,8355,12439,630,15440,11742,834,2726,138,15440,11742,834,2726,138,
Telangana,42355,29822,707,11621,205,1145,881,7,253,4,1145,881,7,253,4,
Tripura,4945,4309,46,343,247,286,254,7,21,4,257,229,6,19,3,
Uttar Pradesh,273235,163142,8090,87433,14570,28590,10331,1454,14986,1819,27459,10012,1390,14361,1696,
Uttarakhand,23559,16934,616,5519,490,943,579,20,327,17,883,538,18,313,14,
West Bengal,97828,82876,127,11777,3048,25058,20949,28,3033,1048,25058,20949,28,3033,1048,
