"India/State/ UT",% of Schools with CWSN friendly toilet,% of Schools with functional CWSN friendly toilet,,,,,,,,
"","Allmanagement",Govt.,Govt. aided,Pvt. unaided,Others,"Allmanagement",Govt.,Govt. aided,Pvt. unaided,Others
(1),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26)
India,17.54,17.29,18.23,18.98,12.94,16.64,16.31,17.65,18.18,12.46
Andaman and Nicobar Islands,20.05,20.94,0,16.67,0,19.81,20.65,0,16.67,0
Andhra Pradesh,2.48,0.03,2.17,9.43,3.5,2.48,0.03,2.17,9.43,3.5
Arunachal Pradesh,5.62,4.62,9.38,11.13,8.51,5.11,4.09,9.38,10.74,8.51
Assam,13.47,16.88,2.43,11.93,1.42,13,16.34,2.21,11.31,1.31
Bihar,10.69,9.82,11.46,15.04,14.37,10.42,9.56,11.17,14.71,14.06
Chandigarh,59.83,68.6,57.14,63.51,11.11,59.83,68.6,57.14,63.51,11.11
Chhattisgarh,53.62,55.86,32.03,40.25,27.83,46.1,47.3,31.57,39.45,26.3
Dadra and Nagar Haveli,75.14,83,20,25.71,0,69.94,77,20,25.71,0
Daman and Diu,46.43,53.57,0,21.74,0,46.43,53.57,0,21.74,0
Delhi,87.87,91.49,67.19,86.05,0,87.87,91.49,67.19,86.05,0
Goa,3.77,2.04,5.25,8.63,0,3.63,1.8,5.25,8.63,0
Gujarat,13.55,17.13,6.44,7.28,0,12.48,15.8,5.72,6.76,0
Haryana,27.1,37.8,7.69,10.11,8.16,26.19,36.6,7.69,9.67,7.69
Himachal Pradesh,22.82,21.05,0,32.69,0,22.02,20.23,0,32,0
Jammu and Kashmir,3.46,1.52,100,11.67,8.51,3.29,1.35,100,11.51,8.51
Jharkhand,1.39,1.09,1.53,4.71,2.16,1.28,1,1.53,4.64,1.98
Karnataka,6.33,5.43,3.94,9.38,7.14,4.89,3.86,2.97,8.11,0
Kerala,11.95,23.31,6.92,7.6,6.65,10.84,20.59,6.48,7.26,6.27
Ladakh,1.9,1.53,0,5.31,0,1.71,1.31,0,5.31,0
Lakshadweep,24.44,24.44,0,0,0,24.44,24.44,0,0,0
Madhya Pradesh,1.33,1.28,1.14,1.64,0.46,1.22,1.16,1.14,1.54,0.46
Maharashtra,34.27,31.75,33.62,43.55,36.13,31.79,28.35,32.54,42.42,35.39
Manipur,6.9,3.48,2.21,18.44,16.02,6.67,3.29,1.87,18.34,14.92
Meghalaya,1.62,1.7,1.51,1.8,0.21,1.49,1.54,1.44,1.67,0.21
Mizoram,15.67,22.23,6.93,2.54,1.08,13.83,19.58,6.49,2.34,0
Nagaland,3.02,3.34,0,2.15,0,2.69,2.99,0,1.88,0
Odisha,67.96,70.15,55.08,61.49,61.99,67.96,70.15,55.08,61.49,61.99
Puducherry,38.43,44.21,27.27,31.1,0,36.54,40.9,27.27,31.1,0
Punjab,40.47,48.46,17.69,23.83,28.57,37.86,44.89,17.25,23.26,27.14
Rajasthan,17.3,8.52,0,34.27,11.8,15.55,7.52,0,31.15,9.52
Sikkim,8.6,11.24,5.26,3.36,0,7.67,9.95,5.26,3.12,0
Tamil Nadu,26.1,31.12,9.98,21.91,21.9,26.1,31.12,9.98,21.91,21.9
Telangana,2.7,2.95,0.99,2.18,1.95,2.7,2.95,0.99,2.18,1.95
Tripura,5.78,5.89,15.22,6.12,1.62,5.2,5.31,13.04,5.54,1.21
Uttar Pradesh,10.46,6.33,17.97,17.14,12.48,10.05,6.14,17.18,16.43,11.64
Uttarakhand,4,3.42,3.25,5.92,3.47,3.75,3.18,2.92,5.67,2.86
West Bengal,25.61,25.28,22.05,25.75,34.38,25.61,25.28,22.05,25.75,34.38
