"India/State /UT",Number of teachers by Classes Taught – Government Aided,,,,,,,,,
"",Total,"Pre-PrimaryOnly","Pre-PrimaryandPrimary","PrimaryOnly","PrimaryandUpperPrimary","UpperPrimaryOnly","UpperPrimaryandSecondary","SecondaryOnly","SecondaryandHigherSecondary","HigherSecondaryOnly"
(1),(2),(3),(4),(5),( 6),(7),( 8),(9),(10),(11)
India,819847,6091,2253,156705,19119,195210,46194,254023,11230,129022
Andaman and Nicobar Islands,73,1,0,17,0,19,1,15,0,20
Andhra Pradesh,8815,0,1265,3287,0,1270,2905,37,0,51
Arunachal Pradesh,924,0,5,275,169,165,89,154,42,25
Assam,37131,0,4,53,43,26203,466,7503,50,2809
Bihar,3677,0,1,193,105,1868,254,1072,103,81
Chandigarh,289,7,2,43,19,10,84,21,46,57
Chhattisgarh,2674,0,0,1024,112,588,59,301,257,333
Dadra and Nagar Haveli,82,0,0,33,0,30,0,19,0,0
Daman and Diu,142,0,7,13,12,27,7,33,1,42
Delhi,5018,19,0,981,0,1368,0,1089,0,1561
Goa,8551,68,4,1496,22,1504,1264,2385,0,1808
Gujarat,49787,0,8,1351,9,2403,5,27472,611,17928
Haryana,568,2,1,163,32,38,108,55,80,89
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,17,0,0,6,0,11,0,0,0,0
Jharkhand,5496,0,0,1565,245,2176,460,772,16,262
Karnataka,55044,4903,69,7528,898,10164,853,23968,1557,5104
Kerala,111995,159,5,34738,61,30364,184,30435,106,15943
Ladakh,67,0,0,60,0,7,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,4905,1,0,1125,24,1618,8,1188,45,896
Maharashtra,298860,96,205,57018,15499,65061,20432,94418,1505,44626
Manipur,2669,1,1,1362,118,540,193,305,11,138
Meghalaya,17882,103,623,5864,16,5023,302,4822,102,1027
Mizoram,1826,0,0,0,0,512,0,977,0,337
Nagaland,0,0,0,0,0,0,0,0,0,0
Odisha,31873,685,14,747,160,3110,3313,18299,20,5525
Puducherry,955,3,0,301,128,94,174,135,28,92
Punjab,5669,0,0,1416,0,842,0,1917,0,1494
Rajasthan,0,0,0,0,0,0,0,0,0,0
Sikkim,211,0,1,65,0,58,9,40,7,31
Tamil Nadu,76030,27,0,29710,885,17969,10616,5302,1697,9824
Telangana,3234,0,0,1359,252,247,732,548,1,95
Tripura,1214,0,0,198,0,135,0,338,1,542
Uttar Pradesh,77729,14,36,3986,292,20191,3197,28655,4392,16966
Uttarakhand,4913,2,2,207,11,1194,390,1490,439,1178
West Bengal,1527,0,0,521,7,401,89,258,113,138
