"India/State/ UT",Enrolment of age group 14-15 years,,,,,
"",Secondary (9-10),Higher Secondary (11-12),,,,
"",Boys,Girls,Total,Boys,Girls,Total
(1),(59),(60),(61),(62),(63),(64)
India,12554037,11673178,24227215,2327375,2154319,4481694
Andaman and Nicobar Islands,3709,3818,7527,485,570,1055
Andhra Pradesh,428656,389213,817869,129050,149426,278476
Arunachal Pradesh,13156,13658,26814,2495,2526,5021
Assam,339342,384749,724091,20047,19820,39867
Bihar,883399,900270,1783669,293762,269844,563606
Chandigarh,15831,13408,29239,2634,2372,5006
Chhattisgarh,326087,362481,688568,17152,22437,39589
Dadra and Nagar Haveli,4681,4181,8862,773,910,1683
Daman and Diu,2349,2131,4480,189,324,513
Delhi,242453,223015,465468,50578,38452,89030
Goa,17413,16685,34098,798,933,1731
Gujarat,709068,531002,1240070,89967,76137,166104
Haryana,306325,239575,545900,85180,80906,166086
Himachal Pradesh,84584,75544,160128,22239,22336,44575
Jammu and Kashmir,95657,85711,181368,24772,23411,48183
Jharkhand,330575,334629,665204,97438,87645,185083
Karnataka,654908,596058,1250966,66914,78650,145564
Kerala,399916,378245,778161,58042,62822,120864
Ladakh,1997,2345,4342,188,255,443
Lakshadweep,805,839,1644,106,168,274
Madhya Pradesh,805079,701104,1506183,138253,122769,261022
Maharashtra,1292446,1142744,2435190,107180,108762,215942
Manipur,29884,29891,59775,6006,6533,12539
Meghalaya,26557,31319,57876,677,861,1538
Mizoram,10514,11293,21807,969,1158,2127
Nagaland,17272,17806,35078,1592,1473,3065
Odisha,398063,385362,783425,694,530,1224
Puducherry,14030,13506,27536,4750,6182,10932
Punjab,190669,188658,379327,2379,3394,5773
Rajasthan,810939,651598,1462537,194870,144701,339571
Sikkim,5899,6518,12417,321,482,803
Tamil Nadu,762419,769400,1531819,3324,5658,8982
Telangana,352870,337866,690736,35632,51543,87175
Tripura,50219,51277,101496,1431,1706,3137
Uttar Pradesh,1923823,1625810,3549633,704178,585620,1289798
Uttarakhand,120989,110652,231641,34745,32190,66935
West Bengal,881454,1040817,1922271,127565,140813,268378
