"India/State/ UT",Enrolment of age group  < 6 years,,,,,,,,
"",All,Pre-Primary,Primary (1 to 5),,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(20),(21),(22),(23),(24),(25),(26),(27),(28)
India,9992910,8710102,18703012,6492773,5462859,11955632,3500137,3247243,6747380
Andaman and Nicobar Islands,5355,5094,10449,4413,4092,8505,942,1002,1944
Andhra Pradesh,229449,250337,479786,0,0,0,229449,250337,479786
Arunachal Pradesh,18264,16524,34788,9248,8192,17440,9016,8332,17348
Assam,355382,327189,682571,273452,250111,523563,81930,77078,159008
Bihar,548444,380687,929131,368392,228833,597225,180052,151854,331906
Chandigarh,16556,14761,31317,14125,12395,26520,2431,2366,4797
Chhattisgarh,185876,169551,355427,145997,128176,274173,39879,41375,81254
Dadra and Nagar Haveli,1945,1543,3488,1869,1411,3280,76,132,208
Daman and Diu,1906,1761,3667,1306,1153,2459,600,608,1208
Delhi,242715,215697,458412,143385,129143,272528,99330,86554,185884
Goa,16969,15986,32955,15014,14365,29379,1955,1621,3576
Gujarat,407470,344573,752043,154507,119753,274260,252963,224820,477783
Haryana,357299,302615,659914,187558,142750,330308,169741,159865,329606
Himachal Pradesh,96082,83125,179207,55553,46063,101616,40529,37062,77591
Jammu and Kashmir,276169,246741,522910,176338,155428,331766,99831,91313,191144
Jharkhand,399333,321743,721076,311115,243514,554629,88218,78229,166447
Karnataka,558536,498738,1057274,326896,269651,596547,231640,229087,460727
Kerala,365945,345859,711804,281291,263774,545065,84654,82085,166739
Ladakh,6710,6262,12972,5568,5149,10717,1142,1113,2255
Lakshadweep,585,545,1130,585,543,1128,0,2,2
Madhya Pradesh,653262,559479,1212741,316983,256770,573753,336279,302709,638988
Maharashtra,591659,524163,1115822,469420,406240,875660,122239,117923,240162
Manipur,53658,50523,104181,35299,33149,68448,18359,17374,35733
Meghalaya,127332,121630,248962,114325,109045,223370,13007,12585,25592
Mizoram,23291,22068,45359,19280,18354,37634,4011,3714,7725
Nagaland,48565,44803,93368,45545,41850,87395,3020,2953,5973
Odisha,94016,77375,171391,85983,70516,156499,8033,6859,14892
Puducherry,23789,22295,46084,16684,15367,32051,7105,6928,14033
Punjab,413491,348435,761926,410213,345180,755393,3278,3255,6533
Rajasthan,974138,802235,1776373,594716,457749,1052465,379422,344486,723908
Sikkim,10899,10431,21330,9945,9472,19417,954,959,1913
Tamil Nadu,663026,577540,1240566,661392,575942,1237334,1634,1598,3232
Telangana,234439,239726,474165,78359,66157,144516,156080,173569,329649
Tripura,18628,15680,34308,16729,13888,30617,1899,1792,3691
Uttar Pradesh,928737,783381,1712118,204057,155087,359144,724680,628294,1352974
Uttarakhand,124125,104564,228689,71099,56430,127529,53026,48134,101160
West Bengal,918865,856443,1775308,866132,807167,1673299,52733,49276,102009
