"India/State /UT"
India/
State /UT
"","Table 3.1: Enrolment of students by school management and level of school education, 2018-19",,,,,,,,,,,,,,,,,,,,,,
"",,Enrolment – all types of management,,,,,,,,,,,,,,,,,,,,,
"India/State /UT",,Total,,Pre- Primary,"Primary(1 to 5)",,Upper,,"Elementary(1-8)","Secondary(9-10)",,Higher,,,,,,,,,,,
"",India/,Primary,Elementary,Secondary,,,,,,,,,,,,,,,,,,,
"",,,,(Pre-primary,Pre- Primary,Primary,Secondary,,,,,,,,,,,,,,,,
"",State /UT,(1 to 5),(1-8),(9-10),,,,,,,,,,,,,,,,,,,
"",,,,to 12),(6-8),(11-12),,,,,,,,,,,,,,,,,
"",(1),,,(2),,,(3),,,(4),,,(5),,,(6),,,(7),,,(8),
"",India,,260294216,11955632,120230170,64267026,184497196,38334571,25506817,,,,,,,,,,,,,,
Andaman and Nicobar Islands,77500,8505,29835,18257,48092,11872,9031,,,,,,,,,,,,,,,,
Andhra Pradesh,7861899,0,3612123,2094322,5706445,1336626,818828,,,,,,,,,,,,,,,,
Arunachal Pradesh,346878,17440,169434,87722,257156,47657,24625,,,,,,,,,,,,,,,,
Assam,7454002,523563,3669733,1851782,5521515,988137,420787,,,,,,,,,,,,,,,,
Bihar,24913334,597225,13095697,6636971,19732668,3161078,1422363,,,,,,,,,,,,,,,,
Chandigarh,268890,26520,94201,65455,159656,41833,40881,,,,,,,,,,,,,,,,
Chhattisgarh,5953354,274173,2636281,1517322,4153603,946427,579151,,,,,,,,,,,,,,,,
Dadra and Nagar Haveli,85575,3280,41488,19762,61250,13561,7484,,,,,,,,,,,,,,,,
Daman and Diu,41909,2459,19079,10398,29477,6320,3653,,,,,,,,,,,,,,,,
Delhi,4416771,272528,1803500,1123438,2926938,731032,486273,,,,,,,,,,,,,,,,
Goa,311524,29379,123882,71957,195839,48172,38134,,,,,,,,,,,,,,,,
Gujarat,11755612,274260,5418484,3256808,8675292,1806596,999464,,,,,,,,,,,,,,,,
Haryana,5894485,330308,2546529,1456517,4003046,967567,593564,,,,,,,,,,,,,,,,
Himachal Pradesh,1475751,101616,580679,340938,921617,252131,200387,,,,,,,,,,,,,,,,
Jammu and Kashmir,2538513,331766,1083956,568676,1652632,322717,231398,,,,,,,,,,,,,,,,
Jharkhand,8163423,554629,4028871,1993556,6022427,967609,618758,,,,,,,,,,,,,,,,
Karnataka,11950522,596547,5502503,3072217,8574720,1800265,978990,,,,,,,,,,,,,,,,
Kerala,6361611,545065,2464299,1483643,3947942,1020276,848328,,,,,,,,,,,,,,,,
Ladakh,56670,10717,22517,11625,34142,7113,4698,,,,,,,,,,,,,,,,
Lakshadweep,12803,1128,4834,2514,7348,2122,2205,,,,,,,,,,,,,,,,
Madhya Pradesh,16284778,573753,7564100,4231322,11795422,2488687,1426916,,,,,,,,,,,,,,,,
Maharashtra,23231693,875660,9921352,5826700,15748052,3723213,2884768,,,,,,,,,,,,,,,,
Manipur,706939,68448,334342,155573,489915,84981,63595,,,,,,,,,,,,,,,,
Meghalaya,1144831,223370,520149,231668,751817,111350,58294,,,,,,,,,,,,,,,,
Mizoram,306818,37634,137152,66456,203608,41198,24378,,,,,,,,,,,,,,,,
Nagaland,463696,87395,187341,100115,287456,55946,32899,,,,,,,,,,,,,,,,
Odisha,8258830,156499,3605539,2127043,5732582,1293007,1076742,,,,,,,,,,,,,,,,
Puducherry,271093,32051,101839,61419,163258,41591,34193,,,,,,,,,,,,,,,,
Punjab,6020083,755393,2307018,1369944,3676962,900190,687538,,,,,,,,,,,,,,,,
Rajasthan,17520027,1052465,8083448,4033575,12117023,2555115,1795424,,,,,,,,,,,,,,,,
Sikkim,146469,19417,49594,34840,84434,26316,16302,,,,,,,,,,,,,,,,
Tamil Nadu,13416691,1237334,5304545,3137263,8441808,2052424,1685125,,,,,,,,,,,,,,,,
Telangana,6701217,144516,3052115,1684041,4736156,1074334,746211,,,,,,,,,,,,,,,,
Tripura,741376,30617,331381,197683,529064,124535,57160,,,,,,,,,,,,,,,,
Uttar Pradesh,44489558,359144,22786858,10614373,33401231,6205449,4523734,,,,,,,,,,,,,,,,
Uttarakhand,2453141,127529,1061590,592558,1654148,378842,292622,,,,,,,,,,,,,,,,
West Bengal,18195950,1673299,7933882,4118573,12052455,2698282,1771914,,,,,,,,,,,,,,,,
Pre- Primary
Pre- Primary
"Primary(1 to 5)"
Primary
(1 to 5)
"Elementary(1-8)"
Elementary
(1-8)
"Secondary(9-10)"
Secondary
(9-10)
