"India/State/ UT",Enrolment – Government,,,,,,,,,,,
"",Secondary (9-10),Higher Secondary (11-12),Primary to Higher Secondary (1-12),Total (Pre-Primary to Higher Secondary),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25)
India,8214637,8778029,16992666,4322979,4729548,9052527,62866476,65849893,128716369,64061803,67051631,131113434
Andaman and Nicobar Islands,4790,4685,9475,3592,3902,7494,24754,24664,49418,26397,26348,52745
Andhra Pradesh,378214,407227,785441,82398,91868,174266,1890855,2006188,3897043,1890855,2006188,3897043
Arunachal Pradesh,19367,19914,39281,10693,11163,21856,106921,117453,224374,107763,118351,226114
Assam,303158,362543,665701,126615,120695,247310,2311664,2487201,4798865,2444340,2621180,5065520
Bihar,1298894,1352030,2650924,455330,436175,891505,9680021,10169550,19849571,9680812,10170541,19851353
Chandigarh,14483,13065,27548,13202,11664,24866,78597,71086,149683,82192,74703,156895
Chhattisgarh,334658,395208,729866,193186,234351,427537,1976901,2111824,4088725,1992685,2127649,4120334
Dadra and Nagar Haveli,5518,5042,10560,2967,3104,6071,29435,29021,58456,29443,29023,58466
Daman and Diu,1770,1850,3620,798,937,1735,10135,10648,20783,10218,10763,20981
Delhi,231016,247034,478050,133386,156893,290279,1099031,1189265,2288296,1139732,1237744,2377476
Goa,3047,2694,5741,2417,2181,4598,22571,21206,43777,22934,21562,44496
Gujarat,79009,75905,154914,25477,26195,51672,2718472,2698975,5417447,2724084,2705190,5429274
Haryana,195690,208535,404225,106639,113140,219779,1028150,1108515,2136665,1034336,1115207,2149543
Himachal Pradesh,89079,86452,175531,78369,78364,156733,423730,425061,848791,426639,427930,854569
Jammu and Kashmir,98638,94185,192823,97210,89351,186561,616122,625183,1241305,653641,664651,1318292
Jharkhand,275703,300343,576046,133625,149983,283608,2352556,2524611,4877167,2410623,2583150,4993773
Karnataka,327535,335366,662901,127023,183554,310577,2363839,2585930,4949769,2364472,2586615,4951087
Kerala,155760,143012,298772,169311,182816,352127,787389,773069,1560458,849006,833663,1682669
Ladakh,1980,2492,4472,1846,2257,4103,10104,12922,23026,12217,15020,27237
Lakshadweep,1079,1043,2122,1087,1118,2205,5842,5833,11675,6427,6376,12803
Madhya Pradesh,820520,808634,1629154,409806,424383,834189,4563026,4715831,9278857,4566217,4718979,9285196
Maharashtra,122830,118003,240833,41878,38653,80531,2830134,2834103,5664237,2884203,2887705,5771908
Manipur,9412,10199,19611,8799,9350,18149,95223,98771,193994,98825,102411,201236
Meghalaya,4965,5336,10301,4911,5130,10041,187634,190184,377818,239287,238885,478172
Mizoram,8956,8858,17814,3992,4540,8532,62681,59216,121897,67303,63441,130744
Nagaland,7703,9236,16939,4424,4715,9139,65530,72555,138085,86171,92908,179079
Odisha,393730,383221,776951,104847,117790,222637,2737891,2717369,5455260,2764324,2743964,5508288
Puducherry,7437,8117,15554,6468,8579,15047,36388,40249,76637,39762,43827,83589
Punjab,217367,205433,422800,159154,151476,310630,1152504,1103034,2255538,1262683,1213233,2475916
Rajasthan,692931,725607,1418538,454279,434690,888969,4111701,4370740,8482441,4115478,4374707,8490185
Sikkim,10556,11748,22304,6404,7774,14178,43725,45172,88897,46527,47986,94513
Tamil Nadu,416813,446540,863353,297009,396404,693413,2198895,2376680,4575575,2205972,2383505,4589477
Telangana,262641,294902,557543,103884,128528,232412,1342308,1480127,2822435,1343053,1480835,2823888
Tripura,51618,55547,107165,22727,22529,45256,280149,290012,570161,281099,290769,571868
Uttar Pradesh,160916,199884,360800,98369,129122,227491,8218301,8656755,16875056,8229831,8666336,16896167
Uttarakhand,87320,98872,186192,62559,79187,141746,455980,511825,967805,456208,512022,968230
West Bengal,1119534,1329267,2448801,768298,866987,1635285,6947317,7289065,14236382,7466044,7808264,15274308
