"India/State/ UT",Enrolment of age group 14-15 years,,,,,,,,
"",All,Primary (1 to 5),Upper Primary (1to 8),,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(50),(51),(52),(53),(54),(55),(56),(57),(58)
India,18734543,17229100,35963643,103962,83132,187094,3749169,3318471,7067640
Andaman and Nicobar Islands,5453,5468,10921,15,11,26,1244,1069,2313
Andhra Pradesh,619861,573165,1193026,3399,1947,5346,58756,32579,91335
Arunachal Pradesh,24175,25314,49489,553,550,1103,7971,8580,16551
Assam,448349,502718,951067,1272,1052,2324,87688,97097,184785
Bihar,1293204,1298539,2591743,3470,4251,7721,112573,124174,236747
Chandigarh,22535,18523,41058,51,28,79,4019,2715,6734
Chhattisgarh,421236,448074,869310,2017,1278,3295,75980,61878,137858
Dadra and Nagar Haveli,6595,5950,12545,48,37,85,1093,822,1915
Daman and Diu,3210,2909,6119,41,14,55,631,440,1071
Delhi,346090,313944,660034,612,540,1152,52447,51937,104384
Goa,23362,21678,45040,47,22,69,5104,4038,9142
Gujarat,955630,731032,1686662,3307,3135,6442,153288,120758,274046
Haryana,473881,378056,851937,3361,2040,5401,79015,55535,134550
Himachal Pradesh,114829,104314,219143,139,88,227,7867,6346,14213
Jammu and Kashmir,140169,126660,266829,426,424,850,19314,17114,36428
Jharkhand,517217,520495,1037712,3682,3269,6951,85522,94952,180474
Karnataka,769066,705898,1474964,1442,1038,2480,45802,30152,75954
Kerala,501884,482910,984794,611,448,1059,43315,41395,84710
Ladakh,3012,3400,6412,52,27,79,775,773,1548
Lakshadweep,930,1030,1960,0,1,1,19,22,41
Madhya Pradesh,1228898,1065569,2294467,9343,8407,17750,276223,233289,509512
Maharashtra,1915598,1679135,3594733,5368,2995,8363,510604,424634,935238
Manipur,41842,41984,83826,374,306,680,5578,5254,10832
Meghalaya,61669,70286,131955,4315,4006,8321,30120,34100,64220
Mizoram,21690,21306,42996,730,507,1237,9477,8348,17825
Nagaland,29309,29751,59060,865,833,1698,9580,9639,19219
Odisha,709614,657182,1366796,9284,7381,16665,301573,263909,565482
Puducherry,19327,20175,39502,2,1,3,545,486,1031
Punjab,492382,406632,899014,14887,8743,23630,284447,205837,490284
Rajasthan,1351688,1087968,2439656,11296,9219,20515,334583,282450,617033
Sikkim,10967,11158,22125,426,169,595,4321,3989,8310
Tamil Nadu,1058104,1015454,2073558,1625,1091,2716,290736,239305,530041
Telangana,473444,440985,914429,2376,1349,3725,82566,50227,132793
Tripura,58185,59404,117589,83,68,151,6452,6353,12805
Uttar Pradesh,3147118,2736604,5883722,14274,13828,28102,504843,511346,1016189
Uttarakhand,185043,169888,354931,1133,905,2038,28176,26141,54317
West Bengal,1238977,1445542,2684519,3036,3124,6160,226922,260788,487710
