"India/State/ UT",Projected population by age group – All Social Categories,,,,,,,,
"",Age 3-5,Age 6-10,Age 11-13,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
India,45135133,40487667,85623200,62039000,56710000,118748600,38112200,35134600,73245200
Andaman and Nicobar Islands,12216,11713,23929,18809,17152,35962,11973,11275,23248
Andhra Pradesh,1371467,1260667,2631533,1931600,1818800,3750200,1225400,1166400,2392400
Arunachal Pradesh,44999,42332,87332,77597,74878,152475,50616,49917,100534
Assam,1165067,1072133,2237800,1661600,1582800,3245000,1037200,1003600,2041200
Bihar,5323467,4812400,10136133,7261600,6800200,14061400,4352600,4116000,8468800
Chandigarh,38670,33547,72217,58709,46794,105503,36047,28016,64063
Chhattisgarh,1044200,991400,2034600,1377200,1324000,2701000,820000,794400,1614000
Dadra and Nagar Haveli,16131,14931,31062,22461,19412,41873,13015,11485,24500
Daman and Diu,8797,7741,16538,11285,9566,20851,6496,5497,11993
Delhi,572267,485800,1057667,808600,691600,1501000,507200,427800,934600
Goa,44071,41349,85420,64618,58112,122730,40143,36542,76685
Gujarat,2286267,1946067,4232200,3059400,2654400,5712800,1854200,1619400,3473600
Haryana,977333,815333,1792933,1338000,1108600,2446200,818200,674000,1492200
Himachal Pradesh,189333,172200,361533,285600,256800,542600,183600,163400,346600
Jammu and Kashmir,358867,329333,687800,676600,592000,1268800,455200,396600,851600
Jharkhand,1402667,1287200,2690267,1979600,1875200,3855200,1221200,1175200,2395400
Karnataka,1868533,1724200,3592133,2616600,2461000,5077400,1606400,1520800,3127800
Kerala,896933,861067,1757400,1274400,1222800,2498400,783600,752600,1537200
Ladakh,10317,9876,20193,14176,12821,26998,9129,8118,17247
Lakshadweep,2178,2080,4258,3292,3071,6363,1959,2195,4154
Madhya Pradesh,3243333,2978467,6221667,4173400,3881600,8054000,2462600,2296400,4758600
Maharashtra,3407933,2979667,6388000,4990800,4422800,9414600,3142600,2800800,5943000
Manipur,79067,71853,150920,134183,125325,259508,91224,86116,177340
Meghalaya,114628,108279,222907,173113,166563,339676,109910,107040,216950
Mizoram,33158,31312,64470,52780,50596,103376,33915,32366,66282
Nagaland,62137,56844,118981,108629,100508,209138,73572,67599,141171
Odisha,1346000,1266400,2612400,1926800,1822200,3749000,1205600,1150200,2355800
Puducherry,38886,37830,76716,60850,55672,116522,37838,35472,73310
Punjab,793800,692467,1486267,1163200,982000,2144600,752400,619000,1371400
Rajasthan,3083800,2675933,5760133,4085400,3632400,7717200,2433400,2206400,4639200
Sikkim,13767,12688,26455,26312,25453,51765,19476,18781,38257
Tamil Nadu,1930867,1763200,3694467,2741000,2558400,5299400,1691400,1600600,3292600
Telangana,1029467,929067,1958533,1460800,1354400,2816200,930800,877800,1809000
Tripura,98657,92279,190935,152770,144704,297474,104904,99980,204883
Uttar Pradesh,9338533,8185933,17524600,11978000,10708200,22686200,7236600,6548000,13783400
Uttarakhand,346867,293733,640600,505200,438600,943400,325000,287400,612400
West Bengal,2540467,2390333,4931200,3764000,3610600,7374800,2426800,2337400,4764800
