"India/State /UT",Number of teachers by Gender and Classes Taught – All Types of Management,,,,,,,,
"",Secondary Only,Secondary & Higher Secondary,Higher Secondary Only,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(23),(24),(25),(26),(27),(28),(29),(30),(31)
India,638489,493887,1132376,145238,91294,236532,349460,276081,625541
Andaman and Nicobar Islands,277,474,751,54,76,130,345,370,715
Andhra Pradesh,14827,10085,24912,749,681,1430,9635,13645,23280
Arunachal Pradesh,1379,897,2276,295,110,405,665,313,978
Assam,31999,16384,48383,4837,3424,8261,10505,7298,17803
Bihar,31081,9498,40579,6028,1991,8019,11712,3488,15200
Chandigarh,132,503,635,132,497,629,214,741,955
Chhattisgarh,10317,8863,19180,16420,12825,29245,8068,6094,14162
Dadra and Nagar Haveli,206,272,478,0,4,4,105,162,267
Daman and Diu,150,128,278,47,35,82,72,67,139
Delhi,8605,16998,25603,0,0,0,10423,17796,28219
Goa,882,2225,3107,22,29,51,671,1442,2113
Gujarat,32629,18379,51008,1437,1236,2673,21477,12953,34430
Haryana,7110,10065,17175,13590,15499,29089,8024,9996,18020
Himachal Pradesh,5580,5564,11144,2672,2248,4920,9429,6181,15610
Jammu and Kashmir,14056,10602,24658,151,99,250,6022,3465,9487
Jharkhand,8228,5213,13441,1174,564,1738,4613,2501,7114
Karnataka,55384,46096,101480,4352,3574,7926,18894,12677,31571
Kerala,16587,44597,61184,245,875,1120,11137,25593,36730
Ladakh,486,330,816,20,5,25,220,106,326
Lakshadweep,86,66,152,48,32,80,64,67,131
Madhya Pradesh,38492,28704,67196,1274,873,2147,19367,13314,32681
Maharashtra,88218,52766,140984,2437,2193,4630,41919,25122,67041
Manipur,2985,2422,5407,460,317,777,1775,1640,3415
Meghalaya,4302,4531,8833,147,134,281,976,1642,2618
Mizoram,2916,1433,4349,5,0,5,968,814,1782
Nagaland,2243,2104,4347,91,92,183,610,884,1494
Odisha,32362,14994,47356,194,100,294,7109,3910,11019
Puducherry,458,868,1326,279,361,640,760,805,1565
Punjab,21017,50850,71867,0,0,0,12376,23997,36373
Rajasthan,34139,15091,49230,56172,21163,77335,31104,11718,42822
Sikkim,722,755,1477,128,161,289,524,505,1029
Tamil Nadu,15122,24168,39290,2911,3628,6539,18469,27409,45878
Telangana,13290,16042,29332,2402,2458,4860,7429,3443,10872
Tripura,4658,2139,6797,36,36,72,3667,2564,6231
Uttar Pradesh,87616,40496,128112,20750,11094,31844,43959,18655,62614
Uttarakhand,11231,7032,18263,2085,1598,3683,7802,3713,11515
West Bengal,38717,22253,60970,3594,3282,6876,18351,10991,29342
