"India/State/ UT",Gross Enrolment Ratio (GER)  – Scheduled Tribes,,,,,,,,,,,,,,
"",Primary (1 to 5),Upper Primary (6 to 8),Elementary (1 to 8),Secondary (9-10),Higher Secondary (11-12),,,,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,111.1,109.1,110.1,96.9,95.5,96.2,105.8,104.1,105.0,77.7,78.7,78.2,43.5,44.4,43.9
Andaman and Nicobar Islands,101.4,114.9,107.7,107.9,118.0,112.6,103.8,116.0,109.5,60.1,72.5,65.9,53.4,54.4,53.9
Andhra Pradesh,109.6,106.7,108.2,88.0,88.8,88.4,101.6,100.0,100.8,67.8,71.0,69.4,40.4,42.6,41.5
Arunachal Pradesh,104.8,106.5,105.6,80.6,86.6,83.6,95.2,98.4,96.8,66.5,67.5,67.0,41.9,42.7,42.3
Assam,121.1,124.6,122.8,100.4,103.4,101.9,112.9,116.1,114.5,88.3,90.8,89.5,44.6,39.7,42.1
Bihar,194.7,190.5,192.6,134.1,143.1,138.5,172.2,172.8,172.5,110.0,120.6,115.2,65.4,66.7,66.1
Chandigarh,"#","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
Chhattisgarh,95.6,94.1,94.9,90.8,90.9,90.8,93.9,92.9,93.4,73.0,84.5,78.7,42.9,50.4,46.6
Dadra and Nagar Haveli,76.6,83.1,79.7,58.9,59.7,59.3,69.7,73.9,71.7,79.6,83.2,81.3,41.6,49.3,45.2
Daman and Diu,87.7,90.5,89.0,89.9,88.6,89.3,88.6,89.8,89.1,101.3,102.6,101.9,24.4,44.4,33.3
Delhi,"#","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
Goa,69.6,72.1,70.8,74.9,82.6,78.6,71.7,76.2,73.8,86.6,90.9,88.6,75.1,79.5,77.2
Gujarat,98.8,96.4,97.6,95.6,92.4,94.0,97.6,94.9,96.3,72.7,69.3,71.1,35.1,38.8,36.8
Haryana,"#","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
Himachal Pradesh,100.3,102.4,101.3,90.3,93.2,91.7,96.4,98.8,97.6,106.8,101.8,104.3,83.6,83.7,83.7
Jammu and Kashmir,110.6,110.53,110.57,76.64,77.84,77.2,97.26,98.05,97.63,60.57,59.19,59.94,34.36,34.14,34.26
Jharkhand,111.3,110.0,110.6,80.4,82.6,81.5,99.6,99.4,99.5,51.6,54.3,52.9,29.0,29.9,29.4
Karnataka,109.6,106.0,107.8,98.1,95.5,96.8,105.2,102.0,103.6,76.3,73.4,74.9,35.7,41.3,38.4
Kerala,103.4,103.9,103.7,106.9,102.2,104.6,104.7,103.3,104.0,118.2,114.0,116.1,80.0,92.4,86.0
Ladakh,81.0,87.9,84.3,63.9,75.1,69.2,74.3,83.0,78.4,57.9,66.0,61.9,36.3,46.8,41.4
Lakshadweep,75.8,77.4,76.6,62.2,60.0,61.1,70.7,70.2,70.4,78.1,78.6,78.3,79.6,76.4,78.0
Madhya Pradesh,97.1,92.3,94.8,93.6,84.5,89.1,95.9,89.6,92.8,69.9,66.0,68.0,29.6,30.0,29.8
Maharashtra,104.2,103.7,103.9,97.1,97.6,97.3,101.5,101.4,101.4,87.4,82.6,85.1,53.5,47.7,50.7
Manipur,117.9,123.7,120.7,67.3,71.7,69.4,97.1,102.3,99.6,50.1,52.7,51.3,33.8,34.1,34.0
Meghalaya,156.3,159.9,158.0,101.4,116.6,108.9,135.0,142.9,138.9,72.7,88.6,80.6,38.0,46.9,42.4
Mizoram,137.4,135.5,136.5,102.7,102.4,102.6,123.8,122.5,123.2,94.3,96.0,95.1,50.8,56.5,53.6
Nagaland,83.1,86.0,84.5,66.5,71.7,69.0,76.4,80.2,78.2,54.1,61.3,57.5,33.0,35.2,34.1
Odisha,101.2,98.1,99.7,103.0,99.2,101.1,101.8,98.5,100.2,78.8,79.1,79.0,43.5,47.1,45.3
Puducherry,"#","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
Punjab,"#","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
Rajasthan,111.5,108.5,110.1,92.4,84.0,88.3,104.7,99.8,102.3,84.0,79.3,81.8,56.2,49.4,52.9
Sikkim,105.5,90.8,98.3,89.8,94.4,92.1,98.8,92.3,95.6,89.6,110.2,99.7,51.6,67.7,59.7
Tamil Nadu,112.8,110.8,111.9,143.7,139.1,141.5,124.0,121.1,122.6,110.5,114.7,112.5,60.1,70.8,65.1
Telangana,105.2,100.7,103.0,88.9,89.7,89.3,98.9,96.6,97.8,76.6,79.3,77.9,60.1,66.7,63.2
Tripura,112.1,114.2,113.2,93.1,94.2,93.6,104.4,106.1,105.2,83.9,88.6,86.2,29.1,28.3,28.8
Uttar Pradesh,151.2,151.5,151.3,134.6,139.9,137.2,145.4,147.4,146.4,114.8,119.2,116.9,70.7,78.1,74.2
Uttarakhand,101.8,104.5,103.1,85.1,89.2,87.0,94.9,98.1,96.4,83.3,85.3,84.2,67.0,70.1,68.5
West Bengal,515.19,523.62,519.3,424.9,453.25,438.75,481.68,497.42,489.35,336.66,426.1,379.09,193.79,219.65,206.04
