"India/State /UT",Repetition Rate,,,,,,,,
"",Primary (1 to 5),Upper Primary (6-8),Secondary (9-10),,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
India,0.6,0.5,0.6,0.6,0.5,0.5,3.2,2.9,3.0
Andaman and Nicobar Islands,0.6,0.5,0.5,0.3,0.4,0.5,18.5,13.3,16.0
Andhra Pradesh,1.4,0.2,0.9,1.8,1.8,1.8,2.2,2.1,2.1
Arunachal Pradesh,3.2,2.8,3.0,3.3,3.0,3.2,2.7,2.3,2.5
Assam,0.4,0.3,0.4,0.6,0.5,0.6,4.4,4.7,4.5
Bihar,0.4,0.4,0.4,0.3,0.3,0.3,0.5,0.6,0.6
Chandigarh,0.0,0.0,0.0,0.0,0.2,0.2,7.0,4.3,5.8
Chhattisgarh,0.9,0.8,0.9,0.6,0.3,0.5,9.7,8.0,8.8
Dadra and Nagar Haveli,0.7,0.8,0.7,1.0,0.5,0.8,5.2,2.2,3.8
Daman and Diu,1.3,1.4,1.5,0.3,0.0,0.2,8.8,4.3,6.7
Delhi,0.0,0.0,0.0,0.2,0.1,0.1,10.7,11.2,11.0
Goa,0.0,0.0,0.0,0.0,0.0,0.0,10.4,6.2,8.4
Gujarat,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.5,0.7
Haryana,0.0,0.0,0.0,0.4,0.3,0.3,6.7,6.4,6.6
Himachal Pradesh,0.6,0.5,0.6,0.6,0.5,0.6,7.6,5.7,6.7
Jammu and Kashmir,0.7,0.7,0.7,1.1,0.9,1.0,3.1,2.5,2.8
Jharkhand,1.3,1.3,1.3,1.1,1.0,1.1,1.8,1.7,1.8
Karnataka,0.0,0.0,0.0,0.2,0.2,0.2,1.2,0.6,0.9
Kerala,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1
Ladakh,-,-,-,-,-,-,-,-,-
Lakshadweep,0.0,0.0,0.0,0.0,0.0,0.0,8.4,2.3,5.3
Madhya Pradesh,0.8,0.8,0.8,0.8,0.7,0.7,7.3,6.7,7.0
Maharashtra,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.1,1.1
Manipur,1.2,1.2,1.2,1.0,0.9,0.9,1.5,1.4,1.5
Meghalaya,4.1,2.7,3.4,4.9,3.9,4.4,10.2,9.1,9.6
Mizoram,0.8,0.7,0.7,0.3,0.1,0.2,8.8,7.4,8.1
Nagaland,4.8,3.8,4.3,5.6,4.8,5.2,10.6,10.0,10.3
Odisha,0.6,0.5,0.5,0.3,0.2,0.2,2.3,2.0,2.2
Puducherry,0.0,0.0,0.0,0.0,0.0,0.0,2.7,2.3,2.5
Punjab,0.2,0.2,0.2,0.2,0.1,0.1,3.9,2.1,3.1
Rajasthan,1.7,1.6,1.7,1.7,1.6,1.7,4.7,4.8,4.7
Sikkim,0.6,0.4,0.5,0.9,0.8,0.8,8.3,7.2,7.7
Tamil Nadu,0.0,0.0,0.0,0.0,0.0,0.0,2.9,1.6,2.2
Telangana,0.2,0.2,0.2,0.1,0.1,0.1,0.0,0.0,0.0
Tripura,0.4,0.3,0.4,0.4,0.3,0.3,12.1,11.9,12.0
Uttar Pradesh,0.5,0.5,0.5,0.8,0.8,0.8,2.9,2.7,2.8
Uttarakhand,0.2,0.2,0.2,0.2,0.1,0.2,6.4,4.8,5.6
West Bengal,0.5,0.4,0.4,0.4,0.0,0.3,3.3,3.6,3.5
