"India/State/ UT",New Admissions in Class 1 – All types of management,,,,,,,,,,,
"",Total,Boys,Girls,,,,,,,,,
"","admitted inclass 1",with pre-school experience in,"admitted inclass 1",with pre-school experience in,"admitted inclass 1",with pre-school experience in,,,,,,
"",,"sameschool","anotherschool","anganwadi/ECCEcentre","sameschool","anotherschool","anganwadi/ECCEcentre","sameschool","anotherschool","anganwadi/ECCEcentre",,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,23013491,4628793,1677916,3207384,12018933,2457481,911568,1599718,10994558,2171312,766348,1607666
Andaman and Nicobar Islands,5520,3098,1212,402,2843,1585,623,192,2677,1513,589,210
Andhra Pradesh,704223,0,0,0,362720,0,0,0,341503,0,0,0
Arunachal Pradesh,25902,3093,1541,2607,13313,1609,870,1334,12589,1484,671,1273
Assam,829622,269075,50602,130065,424367,138647,26399,65083,405255,130428,24203,64982
Bihar,1902029,58626,35343,209317,986550,33047,19295,104462,915479,25579,16048,104855
Chandigarh,16450,9430,2969,793,8729,4949,1557,432,7721,4481,1412,361
Chhattisgarh,551603,406937,143784,882,283720,210686,72534,500,267883,196251,71250,382
Dadra and Nagar Haveli,8485,1617,1729,1683,4426,936,965,809,4059,681,764,874
Daman and Diu,3966,1227,704,331,2131,668,386,160,1835,559,318,171
Delhi,323412,182725,125276,15411,171865,89807,73555,8503,151547,92918,51721,6908
Goa,25422,10548,4882,3094,13025,5372,2577,1571,12397,5176,2305,1523
Gujarat,1107803,136466,59482,371128,586379,77200,33766,189623,521424,59266,25716,181505
Haryana,516565,136008,47039,63256,283660,77385,26767,31940,232905,58623,20272,31316
Himachal Pradesh,109564,29148,4965,14739,57395,15694,2788,7356,52169,13454,2177,7383
Jammu and Kashmir,239822,110206,11637,4622,125050,56672,6352,2310,114772,53534,5285,2312
Jharkhand,666998,123099,29613,112143,346553,66300,16570,55977,320445,56799,13043,56166
Karnataka,1127477,385161,220256,522060,589604,214887,122846,251871,537873,170274,97410,270189
Kerala,492616,211224,67324,31567,252369,108198,34816,16184,240247,103026,32508,15383
Ladakh,5114,2324,336,322,2626,1218,175,160,2488,1106,161,162
Lakshadweep,961,33,863,0,471,14,437,0,490,19,426,0
Madhya Pradesh,1138533,141116,24237,155311,590048,77404,13645,77204,548485,63712,10592,78107
Maharashtra,1947131,436956,228932,644666,1024751,236044,124442,325915,922380,200912,104490,318751
Manipur,78779,23445,15840,11972,40188,12153,7970,6070,38591,11292,7870,5902
Meghalaya,125953,77491,7817,1925,64617,39782,4050,1035,61336,37709,3767,890
Mizoram,32371,12868,2676,8349,16770,6534,1400,4448,15601,6334,1276,3901
Nagaland,29339,21510,2260,74,15158,11173,1133,33,14181,10337,1127,41
Odisha,712315,260,97144,9938,367822,133,50352,4970,344493,127,46792,4968
Puducherry,19949,11805,2827,172,10242,6206,1382,95,9707,5599,1445,77
Punjab,435132,67865,20427,18499,236856,37224,11333,9451,198276,30641,9094,9048
Rajasthan,1734659,224692,111375,211210,913914,125663,61373,102417,820745,99029,50002,108793
Sikkim,6467,3141,1044,238,3409,1644,577,117,3058,1497,467,121
Tamil Nadu,1058051,0,0,0,548597,0,0,0,509454,0,0,0
Telangana,606798,241477,102257,155188,315701,129757,54704,75707,291097,111720,47553,79481
Tripura,60491,5168,4101,18865,30627,2777,2044,9491,29864,2391,2057,9374
Uttar Pradesh,4526939,138011,123683,345229,2371901,77220,67888,172368,2155038,60791,55795,172861
Uttarakhand,222593,43914,22125,32235,119192,24635,12376,15944,103401,19279,9749,16291
West Bengal,1614437,1099029,101614,109091,831344,564258,53621,55986,783093,534771,47993,53105
