"India/State/ UT",Enrolment of age group 16-17 years,,,,,,,,
"",All,Primary (1 to 5),Upper Primary (1to 8),,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(65),(66),(67),(68),(69),(70),(71),(72),(73)
India,11775833,10935286,22711119,18617,13541,32158,264091,226499,490590
Andaman and Nicobar Islands,4132,4294,8426,1,0,1,100,59,159
Andhra Pradesh,297574,269307,566881,1126,672,1798,4485,2672,7157
Arunachal Pradesh,12997,13452,26449,85,85,170,1483,1673,3156
Assam,218460,220163,438623,92,91,183,3338,3577,6915
Bihar,488198,462357,950555,93,94,187,5646,6288,11934
Chandigarh,19563,15452,35015,4,4,8,297,162,459
Chhattisgarh,264265,294888,559153,505,361,866,4102,2906,7008
Dadra and Nagar Haveli,3219,2986,6205,5,6,11,111,67,178
Daman and Diu,1973,1758,3731,5,0,5,80,38,118
Delhi,219142,214925,434067,112,117,229,3153,3868,7021
Goa,17730,17434,35164,1,2,3,259,210,469
Gujarat,535614,421952,957566,443,215,658,11644,8879,20523
Haryana,286890,217696,504586,257,154,411,7030,4714,11744
Himachal Pradesh,81113,74058,155171,11,6,17,299,242,541
Jammu and Kashmir,90376,78427,168803,46,54,100,1338,1262,2600
Jharkhand,239651,242346,481997,364,269,633,8293,9843,18136
Karnataka,437102,467098,904200,1048,895,1943,3584,2379,5963
Kerala,349630,366609,716239,351,222,573,1232,1062,2294
Ladakh,2262,2332,4594,8,2,10,91,70,161
Lakshadweep,847,916,1763,0,0,0,0,0,0
Madhya Pradesh,744673,645786,1390459,1990,2028,4018,24806,19407,44213
Maharashtra,1476465,1265384,2741849,2161,817,2978,19592,14044,33636
Manipur,26058,24058,50116,52,47,99,426,393,819
Meghalaya,40375,46000,86375,425,387,812,6896,7333,14229
Mizoram,15698,15606,31304,106,75,181,1558,1276,2834
Nagaland,17590,19078,36668,124,109,233,1614,1561,3175
Odisha,498977,499113,998090,1937,1797,3734,20450,16662,37112
Puducherry,11103,12098,23201,0,0,0,14,7,21
Punjab,430482,356174,786656,2623,1474,4097,37300,21289,58589
Rajasthan,938701,725977,1664678,1147,748,1895,30356,25793,56149
Sikkim,8529,9644,18173,185,21,206,934,837,1771
Tamil Nadu,871309,943151,1814460,657,443,1100,5504,3233,8737
Telangana,315182,302700,617882,56,42,98,6481,3953,10434
Tripura,31345,30279,61624,7,2,9,282,232,514
Uttar Pradesh,1888600,1621672,3510272,1256,1125,2381,33354,38420,71774
Uttarakhand,119694,114275,233969,115,75,190,2004,1843,3847
West Bengal,770314,915841,1686155,1219,1102,2321,15955,20245,36200
